"dota"
{
"DOTA_Accept"	"Kabul Et"
"DOTA_Settings_Tooltip_NetworkQuality"	"Düşük seviyeli bir ağ bağlantısına sahipseniz, bu seçeneği 'DÜŞÜK' olarak ayarlamak ağınızın performansını arttırabilir."
"DOTA_Settings_Tooltip_MinimapSimple"	"Mini Haritadaki renkler oyuncular yerine takımlar için belirlenir."
"DOTA_Settings_Tooltip_MinimapDrawHeroes"	"ALT tuşuna basıldığında, Mini Haritada kahraman adı yerine, bir kahraman simgesi kullanın."
"DOTA_Settings_Tooltip_MinimapNamesIcon"	"Mini haritada her zaman kahraman simgesi veya kahraman adını gösterin, ALT tuşuna basılı tutmak geçici olarak X ve O şeklinde gösterecektir."
"DOTA_Settings_Tooltip_ShopHotkeys"	"Dükkan açıldığında, dükkan kısayolları diğer fonksiyonlar için atanmış tüm tuşları geçersiz kılacaktır."
"DOTA_Settings_LegacyKeysActive"	"Dota 1'de kullanılan Eski Tip Tuşlar şu anda aktif. Kısayol tuşlarını özelleştirmek için, öncelikle Eski Tip Tuşları kapatın."
"DOTA_create_bot_practice_desc"	"Eşleştirmeyi kullanarak takım arkadaşlarını bul ve botlara karşı bir oyun oyna."
"DOTA_Lobby_BotDifficulty"	"Bot Zorluğu"
"DOTA_Lobby_BotDifficulty_no_bot"	"Bot Yok"
"DOTA_Lobby_BotDifficulty_passive"	"Pasif"
"DOTA_Lobby_BotDifficulty_easy"	"Kolay"
"DOTA_Lobby_BotDifficulty_medium"	"Orta"
"DOTA_Lobby_BotDifficulty_hard"	"Zor"
"DOTA_Lobby_BotDifficulty_unfair"	"Aşırı Zor"
"DOTA_Lobby_BotTeam"	"Takım Seç"
"DOTA_create_bot_practice_solo"	"Solo"
"DOTA_create_bot_practice_solo_desc"	"Yerel bir oyunda Botlara karşı alıştırma yapın. Eşleştirmeyi kullanmayın, böylece istediğiniz zaman oyundan ayrılabilirsiniz."
"DOTA_create_bot_practice_coop"	"Eşli"
"DOTA_create_bot_practice_coop_desc"	"Diğer oyuncularla botlara karşı oynamak için eşleştirmeyi kullanın. <font color='#dd6666'>NOT:</font> Bu bot oyununu terketmek ceza ile sonuçlanacaktır."
"DOTA_Lobby_BotDifficulty_bot_passive"	"Pasif Bot"
"DOTA_Lobby_BotDifficulty_bot_easy"	"Kolay Bot"
"DOTA_Lobby_BotDifficulty_bot_medium"	"Orta Bot"
"DOTA_Lobby_BotDifficulty_bot_hard"	"Zor Bot"
"DOTA_Lobby_BotDifficulty_bot_unfair"	"Aşırı Zor Bot"
"dota_lobby_title"	"{s:lobby_name}"
"dota_lobby_title_local_game"	"Yerel Lobi"
"dota_lobby_title_default"	"Lobi"
"lobby_row_player_name"	"{s:player_name}"
"dota_lobby_row_game_name"	"{s:game_name}"
"dota_lobby_row_slots"	"{s:slots}"
"dota_lobby_row_game_mode"	"{s:game_mode}"
"dota_lobby_row_join"	"Katıl"
"dota_lobby_row_leave"	"Ayrıl"
"dota_lobby_coaches_title"	"Koçlar"
"dota_lobby_browser_all_game_modes"	"Tüm Oyun Modları"
"dota_lobby_browser_title"	"Dota Lobilerine Gözat"
"dota_lobby_browser_num_available"	"( {d:lobbies_available} lobi mevcut )"
"dota_lobby_browser_no_lobbies"	"Lobi Bulunamadı"
"dota_lobby_browser_no_matching_lobbies"	"Aramanızla eşleşen Lobi bulunamadı"
"dota_lobby_browser_updating"	"Lobi Listesi Güncelleniyor..."
"dota_lobby_browser_search_placeholder"	"Lobi Ara"
"dota_lobby_browser_game_mode"	"Oyun Modu"
"dota_lobby_browser_refresh"	"Yenile"
"dota_lobby_browser_filter_title"	"Lobileri Filtrele"
"dota_lobby_submit_filter"	"Gönder"
"dota_popup_lobby_password_title"	"Lobi Parolası Gir"
"DOTA_AttackCapability_Melee"	"Yakın Dövüşçü"
"DOTA_AttackCapability_Ranged"	"Menzilli"
"DOTA_Item_OnMarket"	"Pazar"
"DOTA_Items_DefaultSet"	"Varsayılan Set"
"DOTA_Items_SetEquipped_Label"	"Kuşanılmış"
"DOTA_EquippedItem_Label"	"Kuşanıldı"
"DOTA_PreviewingItem_Label"	"Önizleme"
"DOTA_EquippedItem_Rarity"	"{s:equipped_econ_set_rarity}"
"DOTA_EquippedItem_SetName"	"{s:equipped_econ_set_name}"
"DOTA_EquippedItem_DefaultSet"	"Varsayılan Set"
"DOTA_EquippedItem_PartialSet"	"Kısmı Set"
"DOTA_EquippedItem_Style"	"{i:equipped_econ_set_style_count} Stil"
"DOTA_EquippedItem_Button_Details"	"{s:equipped_details_button_text}"
"DOTA_EquippedItem_Customize"	"Özelleştir"
"DOTA_EquippedItem_CustomSet"	"Özel Set"
"DOTA_EquippedItem_Equip"	"Kuşan"
"DOTA_EquippedItem_Unpack_And_Equip"	"Aç ve Kuşan"
"DOTA_EquippedItem_Details"	"{s:equipped_econ_set_type_name} Detayları"
"DOTA_EquippedItem_Purchase_Button"	"Satın Al"
"DOTA_EquippedItem_Marketplace_Button"	"Pazar"
"DOTA_EquippedItem_BundleName"	"\"{s:equipped_econ_set_bundle}\" Paketinden"
"DOTA_EquippedItem_FilterText"	"İnceleniyor"
"DOTA_EquippedItem_SaleAmount"	"-{i:equipped_econ_set_sale_amount}%"
"DOTA_EquippedItem_RegularSetPrice"	"{s:equipped_econ_regular_set_price}"
"DOTA_EquippedItem_SetPrice"	"{s:equipped_econ_set_price}"
"DOTA_EquippedItem_TreasurePrice"	"{s:equipped_econ_treasure_price}"
"DOTA_HeroDemo_Button"	"{s:econ_item_category_name} eşyasını dene"
"DOTA_HeroDemo_Button_Tooltip"	"Bu kahramanın yeteneklerini ve eşya setlerini gözden geçirmek için Deneme moduna geçiş yapın"
"DOTA_HeroDemo_Button_Return"	"Deneme Moduna Geri Dön"
"DOTA_HeroDemo_Button_Return_Tooltip"	"Deneme moduna geri dönün ve seçtiğiniz kahramanlardan ya da eşya setlerinden herhangi birini yükleyin"
"DOTA_HeroDemo_Button_DBQuit"	"Deneme Modundan Çık"
"DOTA_EquippedItem_Bundle"	"Paket"
"DOTA_EquippedItem_ItemSet"	"Set"
"DOTA_EquippedItem_Item"	"Eşya"
"DOTA_EconItemSet_Name"	"{s:econ_set_name}"
"DOTA_EconItemSet_Rarity"	"{s:econ_set_rarity}"
"DOTA_EconItemSet_Status"	"{s:econ_set_status}"
"DOTA_EconItemSet_Price"	"{s:econ_set_price}"
"DOTA_EconItemSet_SaleAmount"	"-{i:econ_sale_amount}%"
"DOTA_EconItemSet_DeveloperOnly"	"Sadece Geliştiriciye Açık"
"DOTA_EconItemSet_Tooltip_InBundle"	"Bu set bir paketin içinde bulunmaktadır"
"DOTA_EconItemSet_Tooltip_PartialSet"	"Eşya setinin sadece bir kısmını içerir"
"DOTA_EconItemSet_Tooltip_MultipleStyles"	"Birden çok stile sahip"
"DOTA_HeroRole_Carry"	"Sırtlayıcı"
"DOTA_HeroRole_Support"	"Destek"
"DOTA_HeroRole_Nuker"	"Ani Hasarcı"
"DOTA_HeroRole_Disabler"	"Engelleyici"
"DOTA_HeroRole_Jungler"	"Ormancı"
"DOTA_HeroRole_Durable"	"Dayanıklı"
"DOTA_HeroRole_Escape"	"Kaçış"
"DOTA_HeroRole_LaneSupport"	"Kulvar Desteği"
"DOTA_HeroRole_Pusher"	"İttirici"
"DOTA_HeroRole_Initiator"	"Tetikleyici"
"DOTA_HeroRole_Description_Carry"	"Büyük bir altın avantajı kazanabilirse oyun sonrasında çok daha işe yarar olacaktır."
"DOTA_HeroRole_Description_Support"	"Altın ve eşya toplamaya daha az, yeteneklerini kullanmaya daha çok odaklanarak takımına avantaj sağlar."
"DOTA_HeroRole_Description_Nuker"	"Yüksek hasarlı ve düşük dolum süreli büyüleriyle düşmanlar çabucak öldürebilir."
"DOTA_HeroRole_Description_Disabler"	"Bir ya da daha fazla büyüsü kesinlikle devre dışı bırakma özelliğine sahiptir."
"DOTA_HeroRole_Description_Jungler"	"Oyunun başlarında ormanın içindeki tarafsız yaratıklarla etkili bir şekilde kasabilir."
"DOTA_HeroRole_Description_Durable"	"Takım savaşlarında daha uzun süre kalma yeteneğine sahiptir."
"DOTA_HeroRole_Description_Escape"	"Ölümden hızlıca kaçabilme yeteneğine sahiptir."
"DOTA_HeroRole_Description_LaneSupport"	"Oyun başında kulvarda takımın sırtlayıcısını korumakta çok faydalıdır ve kasmasına yardımcı olur."
"DOTA_HeroRole_Description_Pusher"	"Oyunun her aşamasında kule ve barakaları çabucak kuşatıp yok edebilir."
"DOTA_HeroRole_Description_Initiator"	"Takım çarpışması başlatmakta iyidir."
"DOTA_HeroGrid_OptionCategory_Role"	"Roller:"
"DOTA_HeroGrid_OptionCategory_Attributes"	"Özellikler:"
"DOTA_HeroGrid_OptionCategory_AttackType"	"Saldırı Tipi:"
"DOTA_HeroLoadout_PreviousHeroName"	"{s:previous_hero_name}"
"DOTA_HeroLoadout_NextHeroName"	"{s:next_hero_name}"
"DOTA_HeroLoadout_CurrentHeroName"	"{s:hero_name}"
"DOTA_HeroLoadout_AttackType"	"{s:hero_attack_type}"
"DOTA_HeroLoadout_HeroFilterName"	"Kahraman"
"DOTA_HeroLoadout_Search"	"{s:hero_name} Eşyalarını Ara"
"DOTA_HeroCustomize_Title"	"Kahramanı Özelleştir"
"DOTA_HeroCustomize_OwnedItems"	"Sahip Olunan Eşyalar"
"DOTA_HeroCustomize_Slot"	"Yuva"
"DOTA_HeroCustomize_SlotName"	"{s:slot_name}"
"DOTA_HeroCustomize_SlotEquippedItemName"	"{s:equipped_item_name}"
"DOTA_HeroCustomize_DefaultItemName"	"Varsayılan Eşya"
"DOTA_HeroCustomize_PreviewItemName"	"{s:preview_item_name}"
"DOTA_HeroCustomize_PreviewStyle"	"{s:preview_style_name}"
"DOTA_HeroCustomize_PreviewItemSlot"	"{s:preview_item_slot}"
"DOTA_HeroCustomize_Rarity"	"{s:preview_item_rarity}"
"DOTA_HeroCustomize_StyleLocked"	"Kuşanmak İçin Ön Koşul Gerekli"
"DOTA_UIEconItem_StyleIndex"	"{i:style_index}"
"dota_ready_up_num_accepted"	"{i:num_accepted} / {i:total_players} Kabul etti"
"returning_top_of_queue"	"Yüksek öncelikli eşleştirmeye dönülüyor..."
"returning_to_lobby"	"Daha fazla oyuncu bulmak için lobiye dönülüyor..."
"GC_reconnecting"	"Dota 2 oyun koordinatörüne yeniden bağlanılıyor..."
"GC_nosteam"	"Steam bağlantısı kaybedildi"
"GC_searching"	"Dota 2 oyun koordinatörü aranıyor..."
"GC_noconnection"	"Dota 2 oyun koordinatörüne bağlı değil."
"GC_connecting"	"Dota 2 oyun koordinatörüne bağlanılıyor..."
"GC_connected"	"Dota 2 oyun koordinatörüne bağlanıldı."
"GC_down"	"Dota 2 oyun koordinatörü geçici olarak çevrimdışı."
"GC_Network_Full"	"Dota 2 oyun koordinatörü şu anda dolu."
"GC_Queue_Position"	"Dota 2 oyun koordinatörü şu anda dolu. Sıradaki konumun: %s1"
"GC_Queue_Wait_Time"	"Dota 2 oyun koordinatörü şu anda dolu. Sıradaki konumun: {i:gc_queue_position}, Tahmini bekleme süresi: {s:gc_queue_wait_time}"
"GC_Wait_Time"	"Tahmini bekleme süresi: %s1"
"GC_Wait_Time_Unknown"	"Bilinmiyor"
"GC_suspended"	"Dota 2'ye eklenen harici araçların Valve Anti Hile Sistemi tarafından belirlenmesi sonucu hesap askıya alındı."
"dota_practice_vs_bots"	"Botlu Alıştırmaya Başla"
"dota_practice_vs_bots_desc"	"Botlara karşı bir alıştırma maçı oynayın. Bu oyun eşleştirmeyi kullanmaz ve istediğiniz zaman oyundan ayrılabilirsiniz"
"dota_practice_vs_bots_difficulty"	"Bot Zorluk Derecesi"
"dota_practice_vs_bots_team"	"Hangi takım olarak oynayacaksın?"
"DOTA_practice_vs_bots_team_radiant"	"Radiant"
"DOTA_practice_vs_bots_team_dire"	"Dire"
"DOTA_practice_vs_bots_team_random"	"Rastgele"
"DOTA_EmoticonUpsell"	"İfadeler belirli kahraman eşyaları veya lig biletleri satın alınarak açılır."
"DOTA_CurrentTime"	"{t:t:current_time}"
"DOTA_MonthlyPlayers"	"{s:users_last_month}"
"DOTA_MonthlyPlayersLabel"	"Geçen Ay Oynayan Kişi Sayısı"
"DOTA_CurrentPlayers"	"{s:current_users}"
"DOTA_CurrentPlayersLabel"	"Oyuncu Şu Anda Oyunda"
"DOTA_Search_NoResults"	"Sonuç Yok"
"DOTA_Search_ItemShortDescription"	"<span class=\"ItemRarityColor\">{s:item_rarity}</span> {s:item_slot}"
"join_error_already_in_game"	"Alıştırma lobisine girilemiyor. Zaten oyundasın."
"join_error_invalid_lobby"	"Seçtiğiniz lobi artık bulunmuyor."
"join_error_incorrect_password"	"Parola hatalı."
"join_error_access_denied"	"Erişim reddedildi."
"join_error_generic"	"Alıştırma lobisine girilemiyor."
"join_error_in_team_party"	"Alıştırma lobisine girilemedi. Alıştırma oyununa girmeden önce takım partini dağıtmalısın."
"join_error_lobby_full"	"Lobi dolu."
"join_error_timed_out"	"İstek zaman aşımına uğradı."
"DOTA_Friends_Ready_To_Play"	"Açık Oyunlar"
"DOTA_Friend_Finding_Match"	"Maç Aranıyor..."
"DOTA_Friend_In_Match"	"Oyunda"
"DOTA_Friend_Solo_Open_Party"	"{s:player_name} oyun oynamak istiyor"
"DOTA_Friend_In_Party_Open"	"{s:player_name} açık partide"
"DOTA_Friend_Solo_Open_Party_Self"	"Parti üyesi arıyorsun"
"DOTA_Friend_In_Open_Party_Self"	"Açık partidesiniz"
"DOTA_Friends_In_Party_Open"	"{d:num_friends} arkadaş açık partide"
"DOTA_Friend_Lobby_Mode_Self"	"{s:game_mode} Lobisindesin"
"DOTA_Friend_Lobby_Mode_1_Friend"	"{s:player_name} {s:game_mode} Lobisinde"
"DOTA_Friend_Lobby_Mode_N_Friends"	"{d:num_friends} arkadaş {s:game_mode} Lobisinde"
"DOTA_Friend_Lobby_Mode_Small"	"{s:game_mode} Lobisi"
"DOTA_Friend_Lobby_Players"	"{d:player_count} / {d:max_player_count}"
"DOTA_Friend_Lobby_Join_Button"	"{s:join_button_text}"
"DOTA_Friend_Lobby_Friend_Count"	"+{d:extra_friend_count}"
"DOTA_Friend_Invite_To_Party"	"Partiye davet et"
"DOTA_Friend_SuggestInviteToParty"	"Partiye davet öner"
"DOTA_Request_Join_Party"	"Partiye katılma isteği gönder"
"DOTA_Request_Merge_Parties"	"Partileri birleştime isteği gönder"
"DOTA_Request_Merge_Parties_NotLeader"	"Parti lideri partileri birleştirme isteği gönderebilir."
"DOTA_Friend_PartyInvitePending"	"Parti daveti bekleniyor"
"DOTA_Friend_PartyInvitePending_Leader"	"Parti daveti bekleniyor<br/>İptal etmek için tıkla"
"DOTA_Friend_PartyMergeRequestPending"	"Parti davet isteği bekleniyor"
"DOTA_Friend_PartyMergeRequestPending_Leader"	"Parti davet isteği bekleniyor<br/>İptal etmek için tıkla"
"DOTA_Friend_JoinParty"	"Partiye Katıl"
"DOTA_Friend_Watch"	"İzle"
"DOTA_PartyVisTooltip_SoloTitleOpen"	"Oynamak istiyor"
"DOTA_PartyMerge_Error_Title"	"Parti katılma/birleştirme başarısız"
"DOTA_PartyMerge_Error_NOT_LEADER"	"Parti işlemleri sadece lider tarafından yapılabilir"
"DOTA_PartyMerge_Error_TOO_MANY_PLAYERS"	"Partiler birleştirilemez çünkü çok fazla oyuncu var."
"DOTA_PartyMerge_Error_TOO_MANY_COACHES"	"Partiler birleştirilemez çünkü çok fazla koç var."
"DOTA_PartyMerge_Error_ENGINE_MISMATCH"	"Partiler birleşemez çünkü Dota'nın farklı versiyonlarında oynuyorlar"
"DOTA_PartyMerge_Error_NO_SUCH_GROUP"	"Parti artık yok."
"DOTA_PartyMerge_Error_OTHER_GROUP_NOT_OPEN"	"Parti katılma/birleştirme isteklerine açık değil."
"DOTA_Feed_Timestamp_Recently"	"Az önce"
"DOTA_Feed_Timestamp_MinutesAgo"	"{i:value} dakika önce"
"DOTA_Feed_Timestamp_HourAgo"	"{i:value} saat önce"
"DOTA_Feed_Timestamp_HoursAgo"	"{i:value} saat önce"
"DOTA_Feed_Timestamp_Yesterday"	"Dün"
"DOTA_Feed_Timestamp_Date"	"{s:day} {s:month}"
"dota_lobby_type_general"	"Derecesiz Maç"
"dota_lobby_type_practice"	"Alıştırma"
"dota_lobby_type_practice_game_mode_custom"	"Özel Oyun"
"dota_lobby_type_tournament"	"Turnuva"
"dota_lobby_type_coop_bot"	"Botlu Eşli Oyun"
"dota_lobby_type_competitive"	"Dereceli Maç"
"dota_lobby_type_casual_1v1"	"1v1 Maç"
"dota_lobby_unknown"	"Bilinmeyen"
"DOTA_Lobby_No_Players_Title"	"BİR TAKIMDA OYUNCU YOK"
"DOTA_Lobby_No_Players_Desc"	"Radiant ya da Dire takımında en az bir oyuncu olması gereklidir."
"dota_match_result_won"	"Galibiyet"
"dota_match_result_lost"	"Mağlubiyet"
"dota_match_result_none"	"???"
"dota_social_feed_loading"	"Yükleniyor..."
"DOTA_LoadingPlayerUnknown"	"-"
"DOTA_LoadingPlayerLoading"	"Yükleniyor..."
"DOTA_LoadingPlayerFullyConnected"	"Hazır"
"DOTA_LoadingPlayerFailed"	"Başarısız"
"LoadingScreenTimer"	"{t:d:countdown_timer_seconds}"
"HeroSelectionTimer"	"{i:timer_seconds}"
"LoadingScreenMapInfo"	"Harita: {s:map_name}"
"LoadingScreenPlayersInfo"	"Oyuncu: {i:players_loaded}/{i:players_total}"
"LoadingScreenSpectatorsInfo"	"İzleyiciler: {i:spectators_loaded}/{i:spectators_total}"
"custom_end_screen_victory_message"	"{s:winning_team_name} Zaferi!"
"custom_end_screen_legend_player"	"Oyuncu"
"custom_end_screen_legend_level"	"Seviye"
"custom_end_screen_legend_hero"	"Kahraman"
"custom_end_screen_legend_kills"	"L"
"custom_end_screen_legend_deaths"	"Ö"
"custom_end_screen_legend_assists"	"A"
"custom_end_screen_legend_items"	"Eşyalar"
"custom_end_screen_legend_gold"	"Altın"
"custom_end_screen_legend_team_score"	"Skor"
"custom_scoreboard_hero_name_and_desc"	"Svy {i:hero_level} {s:hero_name}"
"CustomEndScreenClose"	"Kapat"
"DOTA_Armory_Category_Heroes"	"Kahramanlar"
"DOTA_Armory_Category_Companions"	"Yoldaşlar"
"DOTA_Armory_Category_Couriers"	"Kuryeler"
"DOTA_Armory_Category_Pets"	"Evcil Hayvanlar"
"DOTA_Armory_Category_World"	"Dünya"
"DOTA_Armory_Category_Wards"	"Gözler"
"DOTA_Armory_Category_Weather"	"Hava Durumu Efektleri"
"DOTA_Armory_Category_Effigies"	"Heykeller"
"DOTA_Armory_Category_Interface"	"Arayüz"
"DOTA_Armory_Category_Emoticons"	"İfadeler"
"DOTA_Armory_Category_LoadingScreens"	"Yükleme Ekranları"
"DOTA_Armory_Category_HUDs"	"Gösterge Görünümleri"
"DOTA_Armory_Category_CursorPacks"	"İmleç Paketleri"
"DOTA_Armory_Category_Audio"	"Ses"
"DOTA_Armory_Category_VoicePacks"	"Ses Paketleri"
"DOTA_Armory_Category_AnnouncerPacks"	"Spiker Paketleri"
"DOTA_Armory_Category_Music"	"Müzik"
"DOTA_Armory_Category_All"	"Tümü"
"DOTA_Armory_Category_Other"	"Diğer"
"DOTA_Armory_Category_View"	"Kategori Görünümü"
"DOTA_Armory_Filter"	"Filtre Ayarla"
"DOTA_Armory_SortBy"	"Sıralama Ölçütü:"
"DOTA_Armory_SortBy_Rarity"	"Nadirlik"
"DOTA_Armory_SortBy_Quality"	"Kalite"
"DOTA_Armory_SortBy_Name"	"İsim"
"DOTA_Armory_SortBy_Recent"	"Alındığı Tarih"
"DOTA_Armory_SortBy_Sockets"	"Yuva Sayısı"
"DOTA_Armory_Search"	"Cephane Eşyalarını Ara"
"DOTA_Armory_ContextMenu_Preview"	"Eşyayı Önizle"
"DOTA_Armory_ContextMenu_PreviewSet"	"Seti Önizle"
"DOTA_Armory_ContextMenu_Equip"	"Kuşan"
"DOTA_Armory_ContextMenu_Unequip"	"Çıkar"
"DOTA_Armory_ContextMenu_Socketing"	"Yuva Ekleme"
"DOTA_Armory_ContextMenu_GiftWrap"	"Hediye Olarak Paketle"
"DOTA_Armory_ContextMenu_Delete"	"Sil"
"dota_page_match_details_loading"	"Oyun Yükleniyor..."
"dota_page_match_details_victory"	"Kazanan: {s:winner}"
"dota_page_match_details_legend_player"	"Oyuncu"
"dota_page_match_details_legend_level"	"Seviye"
"dota_page_match_details_legend_hero"	"Kahraman"
"dota_page_match_details_legend_kills"	"L"
"dota_page_match_details_legend_deaths"	"Ö"
"dota_page_match_details_legend_assists"	"A"
"dota_page_match_details_legend_items"	"Eşyalar"
"dota_page_match_details_legend_gold"	"Altın"
"dota_page_match_details_legend_last_hits"	"SV"
"dota_page_match_details_legend_denies"	"RT"
"dota_page_match_details_legend_gold_per_min"	"DBA"
"dota_page_match_details_legend_xp_per_min"	"DBT"
"dota_page_match_details_legend_winner_tooltip"	"Kazanan Takım"
"dota_page_match_details_legend_kills_tooltip"	"Leşler"
"dota_page_match_details_legend_deaths_tooltip"	"Ölümler"
"dota_page_match_details_legend_assists_tooltip"	"Asistler"
"dota_page_match_details_legend_last_hits_tooltip"	"Yaratık Son Vuruşları"
"dota_page_match_details_legend_denies_tooltip"	"Yaratık Reddetmeleri"
"dota_page_match_details_legend_gold_per_min_tooltip"	"Dakika Başına Altın"
"dota_page_match_details_legend_xp_per_min_tooltip"	"Dakika Başına Tecrübe"
"dota_page_match_details_header_league_name"	"Lig Adı"
"dota_page_match_details_header_custom_game_map_name"	"Harita İsmi"
"dota_page_match_details_header_match_id"	"Maç Numarası"
"dota_page_match_details_header_game_mode"	"Oyun Modu"
"dota_page_match_details_header_duration"	"Süre"
"dota_page_match_details_header_timestamp"	"Maç Tarihi / Saati"
"dota_page_match_details_voting_votes"	"{i:num_votes} oy"
"dota_page_match_details_match_discussion"	"Oyun Tartışması"
"dota_page_match_details_comment_placeholder"	"Yorum yaz..."
"dota_page_match_details_comment_loading_comments"	"Yorumlar yükleniyor..."
"dota_page_match_details_comment_no_comments"	"Bu maç için yorum yapılmamış"
"dota_page_match_details_replay_existence_unknown"	"Tekrar Aranıyor..."
"dota_page_match_details_replay_existence_cdn_found"	"Tekrarı İndir"
"dota_page_match_details_replay_existence_not_found"	"Tekrar Mevcut Değil"
"dota_page_match_details_replay_existence_downloading"	"İndiriliyor..."
"dota_page_match_details_replay_existence_disk_found_replay"	"Tekrarı İzle"
"dota_page_match_details_replay_existence_disk_found_highlights"	"Önemli Anları İzle"
"dota_page_match_details_replay_existence_wrong_engine"	"Source 1 Tekrarları Source 2'de mevcut değildir."
"dota_profile_content_tab_activity_feed"	"Etkinlik Kaynağı"
"dota_profile_content_tab_recent_games"	"Son Oyunlar"
"dota_profile_recent_games_option_show_practice_matches"	"Alıştırma Oyunlarını Göster"
"dota_profile_recent_game_header_timestamp"	"Tarih / Zaman"
"dota_profile_recent_game_header_hero_name"	"Oynanan Kahraman"
"dota_profile_recent_game_header_result"	"Sonuç"
"dota_profile_recent_game_header_duration"	"Süre"
"dota_profile_recent_game_header_type"	"Tür"
"dota_profile_recent_game_result_win"	"Galibiyet"
"dota_profile_recent_game_result_loss"	"Yenilgi"
"dota_profile_recent_game_result_abandon"	"Terk"
"dota_profile_recent_game_icon_source1"	"S1"
"dota_profile_hero_with_index"	"{d:hero_index} {s:hero_name}"
"dota_profile_hero"	"{s:hero_name}"
"dota_replay_manager_error_not_found"	"İçerik İletim Ağında tekrar bulunamadı."
"dota_replay_manager_error_existing_partial"	"Mevcut kısmi tekrar dosyası silinemedi."
"dota_replay_manager_error_creation_failure"	"Kısmi tekrar dosyası oluşturulamadı."
"dota_replay_manager_error_disk_full"	"Tekrar dosyası için alan yok."
"dota_replay_manager_error_chunk_failed"	"Tekrar dosyasını indirme başarısız."
"dota_replay_manager_error_write_failure"	"Kısmi tekrar dosyasına yazım yapılamadı."
"dota_replay_manager_error_partial_compressed_open_failure"	"Sıkıştırılmış tekrar dosyası açılamadı."
"dota_replay_manager_error_partial_decompressed_open_failure"	"Çıkarılmış tekrar dosyası açılamadı."
"dota_replay_manager_error_partial_decompression_failure"	"Tekrar dosyası çıkarma işlemi başarısız."
"dota_replay_manager_error_partial_decompression_write_failure"	"Çıkarılmış tekrar dosyasına yazma işlemi başarısız."
"dota_page_match_details_replay_error_not_found"	"Tekrar diskte bulunamadı."
"DOTA_tooltip_econ_item_name"	"{s:item_name}"
"DOTA_tooltip_econ_item_description"	"{s:item_description}"
"DOTA_tooltip_econ_item_set"	"Setin parçası: <font color='#dddddd'>{s:item_set}</font>"
"DOTA_tooltip_econ_item_rarity_label"	"Nadirlik: "
"DOTA_tooltip_econ_item_rarity"	"{s:item_rarity}"
"DOTA_tooltip_econ_item_slot"	"Yuva: {s:item_slot}"
"DOTA_tooltip_econ_item_gifter"	"{g:dota_persona:gifter_name}"
"DOTA_tooltip_econ_item_gift_received_date"	"Alınma Tarihi: {t:T:gift_received_date_time}"
"DOTA_tooltip_econ_item_trade_restriction_permanent"	"Takas Edilemez"
"DOTA_tooltip_econ_item_trade_restriction_date"	"Şu Tarihe Kadar Takas Edilemez: {t:T:tradable_after_date_time} {t:s:tradable_after_date_time}"
"DOTA_tooltip_econ_item_market_restriction_permanent"	"Pazarlanamaz"
"DOTA_tooltip_econ_item_gift_restriction_permanent"	"Hediye Edilemez"
"DOTA_tooltip_econ_item_gift_restriction_date"	"Şu Tarihe Kadar Hediye Edilemez: {t:T:giftable_after_date_time} {t:s:giftable_after_date_time}"
"DOTA_tooltip_econ_item_gem_type"	"{s:gem_type}"
"DOTA_tooltip_econ_item_gem_strange_count"	"{d:strange_count}"
"DOTA_tooltip_econ_item_gem_description"	"{s:gem_description}"
"DOTA_tooltip_econ_item_partner"	"{s:partner}"
"DOTA_econ_item_details_item_name"	"{s:item_name}"
"DOTA_econ_item_details_item_creation_date"	"OLUŞTURMA TARİHİ: {t:l:creation_date}"
"DOTA_econ_item_details_set_includes"	"Şunları içerir:"
"DOTA_econ_item_details_item_set"	"Parçası: <font color='#dddddd'>{s:item_set}</font>"
"DOTA_econ_item_details_rarity_label"	"Nadirlik: "
"DOTA_econ_item_details_item_rarity"	"{s:item_rarity}"
"DOTA_econ_item_details_item_slot"	"Yuva: {s:item_slot}"
"DOTA_econ_item_details_item_description"	"{s:item_description}"
"DOTA_econ_item_details_gem_type"	"{s:gem_type}"
"DOTA_econ_item_details_gem_strange_count"	"{d:strange_count}"
"DOTA_econ_item_details_gem_description"	"{s:gem_description}"
"DOTA_Treasure_Name"	"{s:treasure_name}"
"DOTA_Treasure_Rarity"	"<span class=\"ItemRarityColor\">{s:treasure_rarity}</span> Hazinesi"
"DOTA_Voice_Party"	"Parti İçi Sesli İletişim"
"custom_game_mismatch_title"	"Özel Oyun Verisi Uyumsuzluğu"
"custom_game_mismatch_desc"	"Oyun sunucusu ve istemci arasındaki özel oyun arşivi uyuşmuyor."
"custom_game_team_select"	"Takım Seçimi"
"custom_game_team_select_timer"	"{i:countdown_timer_seconds}"
"custom_game_team_select_shuffle"	"Karıştır"
"custom_game_team_select_auto_start"	"Oto-Başlat"
"custom_game_team_select_starting"	"Başlatılıyor"
"custom_game_team_select_unassigned_players"	"Atanmayan Oyuncular"
"custom_game_team_select_lock_start"	"Kilitle + Başlat"
"custom_game_team_select_cancel_unlock"	"İptal et + Kilidi aç"
"custom_game_team_select_join"	"Katıl"
"custom_game_team_select_empty_slot"	"Boş Slot"
"custom_game_team_select_auto_assign"	"Otomatik Ata"
"custom_game_default_gameinfo_text"	"Bu özel oyunla ilgili daha fazla bilgi için daha sonra tekrar ziyaret edin!"
