"dota"
{
"DOTA_Accept"	"Hyväksy"
"dota_chatwheel_label_Current_Time"	"Pelikello"
"dota_chatwheel_label_Check_Runes"	"Tarkista riimut"
"dota_chatwheel_label_Smoke_Gank"	"Smoke-ylläri!"
"dota_chatwheel_label_GLHF"	"Onnea peliin"
"dota_chatwheel_label_Nice"	"Hienoa"
"dota_chatwheel_label_Thanks"	"Kiitos"
"dota_chatwheel_label_Sorry"	"Anteeksi"
"dota_chatwheel_label_No_Give_Up"	"Älä luovuta"
"dota_chatwheel_label_Just_Happened"	"Nyt kävi näin"
"dota_chatwheel_label_Game_Is_Hard"	"Aina ei voita"
"dota_chatwheel_label_New_Meta"	"Uusi meta"
"dota_chatwheel_label_My_Bad"	"Mun moka"
"dota_chatwheel_label_Regret"	"Katumus"
"dota_chatwheel_label_Relax"	"Rauhoitu"
"dota_chatwheel_label_GG"	"GG"
"dota_chatwheel_label_GGWP"	"GGWP"
"dota_chatwheel_label_All_GG"	"(Kaikki) GG"
"dota_chatwheel_label_All_GGWP"	"(Kaikki) GGWP"
"dota_chatwheel_label_What_To_Buy"	"Mitä ostaisin?"
"dota_chatwheel_label_Im_Retreating"	"Vetäydyn"
"dota_chatwheel_label_Space_Created"	"Tilaa tehty"
"dota_chatwheel_label_Whoops"	"Hups"
"dota_chatwheel_label_Tower_then_Back"	"Torni ja pois"
"dota_chatwheel_label_Barracks_then_Back"	"Parakit ja pois"
"dota_chatwheel_label_Ward_Bottom_Rune"	"Wardaa alariimu"
"dota_chatwheel_label_Ward_Top_Rune"	"Wardaa yläriimu"
"dota_chatwheel_label_Zeus_Ult"	"Zeus Ult"
"dota_chatwheel_header_positioning"	"Sijoittuminen"
"dota_chatwheel_header_status"	"Tila"
"dota_chatwheel_header_enemy"	"Vihollinen"
"dota_chatwheel_header_lane"	"Alkupeli"
"dota_chatwheel_header_items"	"Esineet"
"dota_chatwheel_header_neutrals"	"Neutraalit"
"dota_chatwheel_header_misc"	"Sekalaiset"
"dota_chatwheel_header_flavor"	"Jutustelu"
"dota_chatwheel_message_Ok"	"Selvä. "
"dota_chatwheel_message_Care"	"Varokaa!"
"dota_chatwheel_message_GetBack"	"Perääntykää!"
"dota_chatwheel_message_NeedWards"	"Ostakaa wardeja."
"dota_chatwheel_message_Stun"	"Tainnuta!"
"dota_chatwheel_message_Help"	"Auttakaa!"
"dota_chatwheel_message_Push"	"Pusketaan"
"dota_chatwheel_message_GoodJob"	"Hienosti pelattu!"
"dota_chatwheel_message_Missing"	"Puuttuu!"
"dota_chatwheel_message_Missing_Top"	"Ylhäältä puuttuu!"
"dota_chatwheel_message_Missing_Mid"	"Keskeltä puuttuu!"
"dota_chatwheel_message_Missing_Bottom"	"Alhaalta puuttuu!"
"dota_chatwheel_message_Go"	"Mene!"
"dota_chatwheel_message_Initiate"	"Aloita taistelu!"
"dota_chatwheel_message_Follow"	"Seuratkaa minua"
"dota_chatwheel_message_Group_Up"	"Kokoonnutaan"
"dota_chatwheel_message_Spread_Out"	"Hajaannutaan"
"dota_chatwheel_message_Split_Farm"	"Hajaannutaan keräämään kultaa"
"dota_chatwheel_message_Attack"	"Hyökätään nyt!"
"dota_chatwheel_message_BRB"	"Palaan pian"
"dota_chatwheel_message_Dive"	"Syöksy perään!"
"dota_chatwheel_message_OMW"	"Olen tulossa"
"dota_chatwheel_message_Get_Ready"	"Valmistautukaa"
"dota_chatwheel_message_Bait"	"Syötti"
"dota_chatwheel_message_Heal"	"Paranna"
"dota_chatwheel_message_Mana"	"Anna manaa"
"dota_chatwheel_message_OOM"	"Mana lopussa"
"dota_chatwheel_message_Skill_Cooldown"	"Kyvyt ovat latautumassa."
"dota_chatwheel_message_Ulti_Ready"	"Ultimate valmiina"
"dota_chatwheel_message_Enemy_Returned"	"Vihollinen palasi paikalleen"
"dota_chatwheel_message_All_Missing"	"Kaikki vihollissankarit kateissa!"
"dota_chatwheel_message_Enemy_Incoming"	"Vihollinen tulossa!"
"dota_chatwheel_message_Invis_Enemy"	"Näkymätön vihollinen lähistöllä!"
"dota_chatwheel_message_Enemy_Had_Rune"	"Vihollisella on riimu"
"dota_chatwheel_message_Split_Push"	"Pusketaan eri suunnista"
"dota_chatwheel_message_Coming_To_Gank"	"Tulen väijyttämään"
"dota_chatwheel_message_Request_Gank"	"Tulkaa väijyttämään"
"dota_chatwheel_message_Fight_Under_Tower"	"Tapellaan tornin alla"
"dota_chatwheel_message_Deny_Tower"	"Evätkää torni!"
"dota_chatwheel_message_Buy_Courier"	"Osta kuriiri"
"dota_chatwheel_message_Upgrade_Courier"	"Voisiko joku päivittää kuriirin?"
"dota_chatwheel_message_Need_Detection"	"Tarvitsemme paljastimia"
"dota_chatwheel_message_They_Have_Detection"	"Vihollisella on wardeja tai jotain"
"dota_chatwheel_message_Buy_TP"	"Ostakaa Teleport Scroll"
"dota_chatwheel_message_Reuse_Courier"	"Käytä kuriiria uudelleen"
"dota_chatwheel_message_Deward"	"Poistakaa vihollisen wardit"
"dota_chatwheel_message_Building_Mek"	"Valmistan Mekansmin"
"dota_chatwheel_message_Building_Pipe"	"Valmistan Pipen"
"dota_chatwheel_message_Stack_And_Pull"	"Kasaa ja vedä neutraaleja"
"dota_chatwheel_message_Pull"	"Vedä kätyreitä"
"dota_chatwheel_message_Pulling"	"Vedän kätyreitä"
"dota_chatwheel_message_Stack"	"Kasaa neutraaleja"
"dota_chatwheel_message_Jungling"	"Viidakkoon"
"dota_chatwheel_message_Roshan"	"Roshan"
"dota_chatwheel_message_Affirmative"	"Selvä"
"dota_chatwheel_message_Wait"	"Odottakaa"
"dota_chatwheel_message_Pause"	"Pysäyttäkää peli!"
"dota_chatwheel_message_Current_Time"	"Pelikello"
"dota_chatwheel_message_Check_Runes"	"Tarkistakaa riimut"
"dota_chatwheel_message_Smoke_Gank"	"Väijytetään smoken avulla!"
"dota_chatwheel_message_GLHF"	"Onnea matkaan, pidetään hauskaa"
"dota_chatwheel_message_Nice"	"Hienoa"
"dota_chatwheel_message_Thanks"	"Kiitos!"
"dota_chatwheel_message_Sorry"	"Anteeksi"
"dota_chatwheel_message_No_Give_Up"	"Älkää luovuttako!"
"dota_chatwheel_message_Just_Happened"	"Nyt kävi näin"
"dota_chatwheel_message_Game_Is_Hard"	"Aina ei voi voittaa"
"dota_chatwheel_message_New_Meta"	"Uusi meta"
"dota_chatwheel_message_My_Bad"	"Mun moka"
"dota_chatwheel_message_Regret"	"Kadun päätöstäni jo nyt"
"dota_chatwheel_message_Relax"	"Ei hätiä mitiä"
"dota_chatwheel_message_MissingHero"	"%s1 puuttuu!"
"dota_chatwheel_message_ReturnedHero"	"%s1 palasi paikalleen!"
"dota_chatwheel_message_GG"	"Hyvä peli"
"dota_chatwheel_message_GGWP"	"Hyvä peli, hienosti pelattu"
"dota_chatwheel_message_All_GG"	"Hyvä peli"
"dota_chatwheel_message_All_GGWP"	"(GG) Hyvä peli, hyvin pelattu"
"dota_chatwheel_message_What_To_Buy"	"Mitä ostaisin?"
"dota_chatwheel_message_Im_Retreating"	"Vetäydyn"
"dota_chatwheel_message_Space_Created"	"Tilaa tehty"
"dota_chatwheel_message_Whoops"	"Hups"
"dota_chatwheel_message_Tower_then_Back"	"Tuhoa torni ja vetäydy sitten"
"dota_chatwheel_message_Barracks_then_Back"	"Tuhoa parakit ja vetäydy sitten"
"dota_chatwheel_message_Ward_Bottom_Rune"	"Wardi alariimulle"
"dota_chatwheel_message_Ward_Top_Rune"	"Wardi yläriimulle"
"dota_chatwheel_message_Zeus_Ult"	"Zeus, Ultimate nyt!"
"dota_settings_hotkeys"	"Pikanäppäimet"
"dota_settings_options"	"Asetukset"
"dota_settings_audio"	"Ääni"
"dota_settings_voice"	"Puhe"
"dota_settings_voice_level"	"Nykyinen äänitystaso"
"dota_settings_volume"	"Voimakkuus"
"dota_settings_resetkeys"	"Nollaa pikanäppäimet..."
"dota_settings_abilities"	"Kyvyt"
"dota_settings_abilities_neutrals"	"Neutraalit"
"dota_settings_abilities_primary1"	"1"
"dota_settings_abilities_primary2"	"2"
"dota_settings_abilities_primary3"	"3"
"dota_settings_abilities_secondary1"	"4"
"dota_settings_abilities_secondary2"	"5"
"dota_settings_abilities_neutral1"	"1"
"dota_settings_abilities_neutral2"	"2"
"dota_settings_abilities_neutral3"	"3"
"dota_settings_abilities_neutral4"	"4"
"dota_settings_abilities_courier1"	"1"
"dota_settings_abilities_courier2"	"2"
"dota_settings_abilities_courier3"	"3"
"dota_settings_abilities_courier4"	"4"
"dota_settings_abilities_courier5"	"5"
"dota_settings_abilities_courier6"	"6"
"dota_settings_abilities_ultimate"	"U"
"dota_settings_abilitylearn"	"Opi kyky"
"dota_settings_upgradestats"	"Kehitä piirteitä"
"dota_settings_unitactions"	"Yksikkökomennot"
"dota_settings_attack"	"Hyökkäysliike / Pakota hyökkäys"
"dota_settings_move"	"Liiku"
"dota_settings_stop"	"Pysähdy"
"dota_settings_holdposition"	"Pysy paikallaan"
"dota_settings_selecthero"	"Valitse sankari"
"dota_settings_selectall"	"Valitse kaikki yksiköt"
"dota_settings_selectallothers"	"Valitse kaikki muut yksiköt"
"dota_settings_selectcourier"	"Valitse kuriiri"
"dota_settings_courierdeliver"	"Kuriiri: tuo esineet"
"dota_settings_courierhaste"	"Kuriirin pyrähdys"
"dota_settings_items"	"Esineet"
"dota_settings_openshop"	"Avaa kauppa"
"dota_settings_purchasequickbuy"	"Osta pikaostos"
"dota_settings_purchasesticky"	"Osta suosikkiesine"
"dota_settings_grabstashitems"	"Ota esineet säilöstä"
"dota_settings_cameraactions"	"Kameran toiminnot"
"dota_settings_cameraup"	"Kamera eteenpäin"
"dota_settings_cameradown"	"Kamera taaksepäin"
"dota_settings_cameraleft"	"Kamera vasemmalle"
"dota_settings_cameraright"	"Kamera oikealle"
"dota_settings_cameragrip"	"Kameraote"
"dota_settings_recentevent"	"Näytä pingaus"
"dota_settings_inspectheroinworld"	"Esittelykamera"
"dota_settings_phrases"	"Lausahdukset"
"dota_settings_chatwheel_page"	"Chattirulla"
"dota_settings_chatteam"	"Kirjoita tiimille"
"dota_settings_chatglobal"	"Kirjoita kaikille"
"dota_settings_chatwheel_show"	"Chattirulla"
"dota_settings_playeractions"	"Pelaajan toiminnot"
"dota_settings_activateglyph"	"Aktivoi Glyphi"
"dota_settings_scoreboardtoggle"	"Pistetaulu"
"dota_settings_screenshot"	"Kuvankaappaus"
"dota_settings_console"	"Konsoli"
"dota_settings_controlgroups"	"Komentoryhmät"
"dota_settings_controlgroupcycle"	"Vaihda valittua yksikköä"
"dota_settings_group1"	"Ryhmä 1"
"dota_settings_group2"	"Ryhmä 2"
"dota_settings_group3"	"Ryhmä 3"
"dota_settings_group4"	"Ryhmä 4"
"dota_settings_group5"	"Ryhmä 5"
"dota_settings_group6"	"Ryhmä 6"
"dota_settings_group7"	"Ryhmä 7"
"dota_settings_group8"	"Ryhmä 8"
"dota_settings_group9"	"Ryhmä 9"
"dota_settings_group10"	"Ryhmä 10"
"dota_settings_spectatorcameraup"	"Katsojakamera eteen"
"dota_settings_spectatorcameradown"	"Katsojakamera taakse"
"dota_settings_spectatorcameraleft"	"Katsojakamera vasemmalle"
"dota_settings_spectatorcameraright"	"Katsojakamera oikealle"
"dota_settings_spectatorcameragrip"	"Katsojakameran ote"
"dota_settings_spectatorscoreboard"	"Katsojien pistetaulu"
"dota_settings_coaching"	"Valmennus"
"dota_settings_spectatorcoach_viewtoggle"	"Käytä opastettavan näkökulmaa"
"dota_settings_cancel"	"Peruuta"
"dota_settings_apply"	"Käytä"
"dota_settings_autoattack"	"Automaattihyökkäys"
"dota_settings_minimap"	"Kartta"
"dota_settings_cameradecel"	"Kameran hidastuvuus"
"dota_settings_cameraspeed"	"Kameran nopeus"
"dota_settings_camerareversegrip"	"Käänteinen kameraote"
"dota_settings_profile"	"Profiili"
"dota_settings_network"	"Verkko"
"dota_settings_networkquality"	"Verkon laatu"
"dota_settings_networkquality_low"	"Matala"
"dota_settings_networkquality_high"	"Korkea"
"dota_settings_usenativeresolution"	"Käytä näyttöni nykyistä näyttötarkkuutta"
"dota_settings_customresolution"	"Käytä lisäasetuksia"
"dota_settings_resolution"	"Resoluutio"
"dota_settings_aspectratio"	"Kuvasuhde"
"dota_settings_aspectratio43"	"4:3"
"dota_settings_aspectratio169"	"16:9"
"dota_settings_aspectratio1610"	"16:10"
"dota_settings_resolution_size"	"Koko"
"dota_settings_resolution_display_mode"	"Näyttötila"
"dota_settings_fullscreen"	"Kokoruutu"
"dota_settings_window"	"Ikkunassa"
"dota_settings_borderless"	"Reunaton ikkuna"
"dota_settings_videodefaults"	"Palauta oletusasetukset"
"dota_settings_basicvideosettings"	"Käytä perusasetuksia"
"dota_settings_advancedvideosettings"	"Käytä lisäasetuksia"
"dota_settings_antialiasing"	"Reunanpehmennys"
"dota_settings_specular"	"Heijastukset"
"dota_settings_bloom"	"Hohdot ja kiillot"
"dota_settings_waterquality"	"Korkealaatuinen vesi"
"dota_settings_fog"	"Tunnelmasumu"
"dota_settings_animateportrait"	"Animoitu hahmokuva"
"dota_settings_additivelight"	"Lisävalon läpäisy"
"dota_settings_worldlight"	"Maailman valaistus"
"dota_settings_ambientocclusion"	"Ympäristön varjostus"
"dota_settings_ambientcreatures"	"Metsäneläimet"
"dota_settings_normal_maps"	"Normaalikartat"
"dota_settings_vsync"	"Pystysynkronointi"
"dota_settings_shadowquality_low"	"Matala"
"dota_settings_shadowquality_med"	"Keskitaso"
"dota_settings_shadowquality_high"	"Korkea"
"dota_settings_texturequality"	"Tekstuurien laatu"
"dota_settings_texturequality_low"	"Matala"
"dota_settings_texturequality_med"	"Keskitaso"
"dota_settings_texturequality_high"	"Korkea"
"dota_settings_mastervolume"	"Päävoimakkuus"
"dota_settings_gamevolume"	"Peliäänet"
"dota_settings_musicvolume"	"Musiikki"
"dota_settings_voicevolume"	"Puhe"
"dota_settings_gamevoicevolume"	"Yksikköjen puhe"
"dota_settings_openmicthreshold"	"Avoimen mikrofonin äänikynnys"
"dota_settings_audiodefaults"	"Äänen oletusasetukset"
"dota_settings_defaultaudio"	"Oletus"
"dota_settings_sounddevice"	"Äänilaite:"
"dota_settings_speakerconfig"	"Kaiutinasetukset:"
"dota_settings_headphones"	"Kuulokkeet"
"dota_settings_2speakers"	"2 kaiutinta"
"dota_settings_4speakers"	"4 kaiutinta"
"dota_settings_5speakers"	"5.1-kaiuttimet"
"dota_settings_7speakers"	"7.1-kaiuttimet"
"dota_settings_captions"	"Käytä tekstityksiä"
"dota_settings_playsoundinbackground"	"Toista äänet ohjelman ollessa taustalla"
"dota_settings_chatsounds"	"Viestin merkkiääni"
"dota_settings_mutecobroadcasters"	"Mykistä kanssaselostajat"
"dota_settings_highqualityaudio"	"Korkealaatuinen ääni"
"dota_settings_unitspeech_off"	"Pois"
"dota_settings_unitspeech_events"	"Tapahtumat"
"dota_settings_unitspeech_all"	"Kaikki"
"OS_Default_Device"	"Oletuslaite"
"DOTA_Keybind_ARROW"	"Nuoli (oletus)"
"DOTA_Keybind_LOL"	"League of Legends"
"DOTA_Hotkeys_Tooltip_LearnAbility"	"Valitse opittava kyky, jos kykypisteitä on käytettävissä."
"DOTA_Hotkeys_Tooltip_LearnStats"	"Nosta jokaista piirrettäsi kahdella pisteellä, kun kykypisteitä on käytettävissä."
"DOTA_Hotkeys_Tooltip_HeroAttack"	"Liiku kohteeseen, mutta hyökkää vastaantuleviin vihollisiin tai mahdollisesti evää liittolaisyksikkö."
"DOTA_Hotkeys_Tooltip_HeroMove"	"Liiku kohteeseen tai seuraa yksikköä hyökkäämättä siihen."
"DOTA_Hotkeys_Tooltip_HeroStop"	"Keskeytä tämänhetkinen toiminto."
"DOTA_Hotkeys_Tooltip_HeroHold"	"Keskeytä tämänhetkinen toiminto ja pysy paikallasi."
"DOTA_Hotkeys_Tooltip_HeroSelect"	"Valitse sankarisi."
"DOTA_Hotkeys_Tooltip_SelectAll"	"Valitse kaikki hallitsemasi yksiköt."
"DOTA_Hotkeys_Tooltip_SelectAllOthers"	"Valitse kaikki muut hallitsemasi yksiköt. (Sankariasi ei valita.)"
"DOTA_Hotkeys_Tooltip_CourierSelect"	"Valitse kuriiri."
"DOTA_Hotkeys_Tooltip_CourierDeliver"	"Komenna kuriiria tuomaan säilösi esineet sinulle."
"DOTA_Hotkeys_Tooltip_CourierHaste"	"Käytä kuriirin pyrähdys, jos mahdollista."
"DOTA_Hotkeys_Tooltip_UseActionItem"	"Käytä toimintaesinettä."
"DOTA_Hotkeys_Tooltip_HeroTaunt"	"Käytä sankarin pilkkaa. Saatavilla erillisinä esineinä."
"DOTA_Hotkeys_Tooltip_ShopToggle"	"Avaa kauppapaneeli."
"DOTA_Hotkeys_Tooltip_PurchaseQuickbuy"	"Osta seuraava esine pikaostoksistasi, jos sinulla on varaa siihen."
"DOTA_Hotkeys_Tooltip_PurchaseSticky"	"Osta suosikkiesineesi, jos rahasi riittävät siihen."
"DOTA_Hotkeys_Tooltip_GrabStashItems"	"Siirrä kaikki esineet säilöstäsi sankarillesi."
"DOTA_Hotkeys_Tooltip_RecentEvent"	"Liikuta kamera viimeisimpään tapahtumaan."
"DOTA_Hotkeys_Tooltip_InspectHeroInWorld"	"Katso yksikköä lähikuvakulmasta."
"DOTA_Hotkeys_Tooltip_ChatTeam"	"Lähetä viesti jokaiselle tiimikaverillesi."
"DOTA_Hotkeys_Tooltip_ChatGlobal"	"Lähetä viesti kaikille pelaajille nykyisessä pelissä. (VAIHTO + Kirjoita tiimille -näppäin)"
"DOTA_Hotkeys_Tooltip_ChatWheel"	"Avaa chattirulla kommunikoidaksesi pikaisesti yleisiä lausahduksia käyttäen."
"DOTA_Hotkeys_Tooltip_CameraGrip"	"Liikuta kameraa pitämällä tätä pohjassa ja vetämällä maata hiirellä. Hiiren keskipainike toteuttaa saman."
"DOTA_Hotkeys_Tooltip_ActivateGlyph"	"Aktivoi Glyph of Fortificationin, joka tekee tiimisi rakennuksista vahingoittumattomia 5 sekunniksi."
"DOTA_Hotkeys_Tooltip_ScoreboardToggle"	"Avaa pistetaulu."
"DOTA_Hotkeys_Tooltip_Pause"	"Keskeytä tai jatka peliä."
"DOTA_Hotkeys_Tooltip_ScreenshotSettings"	"Ota kuvakaappaus tämänhetkisestä pelinäkymästä."
"DOTA_Hotkeys_Tooltip_Console"	"Avaa konsoli. (Vain kokeneille käyttäjille)"
"DOTA_Hotkeys_Tooltip_ControlGroupCycle"	"Vaihda seuraavaan yksikköön valitussa ryhmässä."
"DOTA_Hotkeys_Tooltip_Group"	"Valitse määrätty yksikköryhmä. Voit määritellä uuden yksikköryhmän valitsemalla haluamasi yksiköt, pitämällä Ctrl pohjassa ja painamalla yhtä seuraavista painikkeista."
"DOTA_Hotkeys_Tooltip_Legacy"	"Käytä Dota 1:n pikanäppäimiä. Kykyjen pikanäppäimet vaihtelevat sankareiden kesken."
"DOTA_Hotkeys_Tooltip_Quickcast"	"Pikakäytön avulla kyky alkaa näppäintä painettaessa välittömästi kursorin osoittamassa paikassa."
"DOTA_Hotkeys_Tooltip_Autocast"	"Käytä kykyä automaattisesti, kun se on valmiina. Toimii vain tietyillä kyvyillä."
"DOTA_Hotkeys_Tooltip_Cast"	"Pikanäppäimet sankarikykyjen käyttämiseen."
"DOTA_Hotkeys_Tooltip_ItemCast"	"Pikanäppäimet tavaraluettelosi esineiden käyttämiseen."
"DOTA_Hotkeys_Tooltip_ItemQuickcast"	"Pikakäytön avulla esineen toiminta alkaa näppäintä painettaessa välittömästi kursorin osoittamassa paikassa."
"DOTA_Settings_Tooltip_Autoattack"	"Liikkuu automaattisesti kohti lähellä olevia vihollisia ja hyökkää niihin."
"DOTA_Settings_Tooltip_AutoattackAfterSpell"	"Kun pois päältä, sankari jää loitsun jälkeen seisomaan paikalleen odottamaan seuraavaa käskyä."
"DOTA_Settings_Tooltip_AutoPurchase"	"Ostaa seuraavan esineen suositeltujen esineiden listalta kun siihen on varaa."
"DOTA_Settings_Tooltip_AutoSelectSummons"	"Kun sankari kutsuu uusia yksikköjä, ne lisätään automaattisesti samaan komentoryhmään."
"DOTA_Settings_Tooltip_DoubleTap"	"Kyvyn tai esineen kaksoisklikkaaminen (tai pikanäppäimen kaksoisnäpäytys) kohdistaa sen itseesi, jos mahdollista."
"DOTA_Settings_Tooltip_UnifiedOrders"	"Controlia pohjassa pitämällä antamasi komennot annetaan kaikille hallinnassasi oleville yksiköille."
"DOTA_Settings_Tooltip_TeleportStop"	"Liikkuminen tai loitsiminen eivät keskeytä teleporttausta. Koskee vain esineitä Teleport Scroll ja Boots of Travel."
"DOTA_Settings_Tooltip_BroadcasterStats"	"Peliä katsellessa näytä selostajan pudotusvalikosta valitsemat tilastot."
"DOTA_Settings_Tooltip_Deceleration"	"Nopeus, jolla kamera pysähtyy siirtämisen jälkeen. Suuri luku tarkoittaa nopeampaa pysähtymistä."
"DOTA_Settings_Tooltip_Screenshake"	"Jotkut kyvyt ja tainnutukset tärisyttävät kameraa."
"DOTA_Settings_Tooltip_CameraRespawn"	"Kohdistaa kameran sankariisi sen syntyessä uudelleen."
"DOTA_Settings_Tooltip_HideProfile"	"Dota 2 -profiiliasi ei voi nähdä kukaan. Steam-profiiliasi ei voi tarkastella pelin kautta."
"DOTA_Settings_Tooltip_ShareMatchData"	"Antaa kolmansille osapuolille luvan käyttää julkisten peliesi tietoja."
"DOTA_Settings_Tooltip_NetworkQuality"	"Jos verkkoyhteytesi on huono, 'MATALA' saattaa parantaa pelattavuuttasi."
"DOTA_Settings_Tooltip_MinimapSimple"	"Kartan kuvakkeet väritetään tiimin, ei pelajien mukaan."
"DOTA_Settings_Tooltip_MinimapDrawHeroes"	"Altin pohjassa pitäminen näyttää kartalla sankarin nimen sijasta kuvakkeen."
"DOTA_Settings_Tooltip_MinimapNamesIcon"	"Näyttää kartalla aina sankarin kuvakkeen tai nimen. Altin pohjassa pitäminen käyttää merkintöjä X ja O."
"DOTA_Settings_Tooltip_ShopHotkeys"	"Kun kauppa on auki, kaupan pikanäppäimet syrjäyttävät kaikki muihin toimintoihin määrätyt näppäimet."
"DOTA_create_bot_practice_desc"	"Pelaa tekoälyä vastaan. Voit täyttää tiimisi tyhjät paikat boteilla tai etsiä ihmisiä pelihaun kautta."
"DOTA_Lobby_BotDifficulty_passive"	"Passiivinen"
"DOTA_Lobby_BotDifficulty_easy"	"Lälly"
"DOTA_Lobby_BotDifficulty_medium"	"Normaali"
"DOTA_Lobby_BotDifficulty_hard"	"Vaikea"
"DOTA_Lobby_BotDifficulty_unfair"	"Epäreilu"
"dota_lobby_title_default"	"Aula"
"dota_lobby_row_join"	"Liity"
"dota_lobby_row_leave"	"Poistu"
"returning_top_of_queue"	"Palataan pelihakuun suurella prioriteetillä"
"GC_nosteam"	"Ei yhteyttä Steamiin"
"GC_Wait_Time"	"Arvioitu odotusaika: %s1"
"GC_Wait_Time_Unknown"	"Tuntematon"
"join_error_already_in_game"	"Harjoitteluaulaan ei voitu liittyä, sillä olet jo pelissä."
"join_error_invalid_lobby"	"Valitsemaasi aulaa ei ole enää olemassa."
"join_error_incorrect_password"	"Väärä salasana."
"join_error_access_denied"	"Pääsy estetty."
"join_error_in_team_party"	"Harjoitusaulaan ei voitu liittyä. Sinun tulee lakkauttaa tiimisi ryhmä ennen harjoituspeleihin liittymistä."
"DOTA_Feed_Timestamp_HourAgo"	"{i:value} tunti sitten"
"dota_lobby_type_practice"	"Harjoituspeli"
"dota_lobby_type_coop_bot"	"Yhteistyöbotti"
"dota_lobby_type_competitive"	"Ranking-ottelu"
"dota_lobby_type_casual_1v1"	"1vs1-ottelu"
"DOTA_Lobby_No_Players_Title"	"EI PELAAJIA TIIMISSÄ"
"dota_match_result_none"	"???"
"dota_social_feed_loading"	"Ladataan..."
"DOTA_LoadingPlayerUnknown"	"-"
"DOTA_LoadingPlayerLoading"	"Lataa..."
"DOTA_LoadingPlayerFullyConnected"	"Valmis"
"LoadingScreenTimer"	"{t:d:countdown_timer_seconds}"
"HeroSelectionTimer"	"{i:timer_seconds}"
"LoadingScreenPlayersInfo"	"Valmiina: {i:players_loaded}/{i:players_total}"
"custom_end_screen_victory_message"	"{s:winning_team_name} voittaa!"
"custom_end_screen_legend_player"	"Pelaaja"
"custom_end_screen_legend_level"	"Taso"
"custom_end_screen_legend_hero"	"Sankari"
"custom_end_screen_legend_items"	"Esineet"
"custom_end_screen_legend_gold"	"Kulta"
"custom_scoreboard_hero_name_and_desc"	"Tason {i:hero_level} {s:hero_name}"
"CustomEndScreenClose"	"Sulje"
"DOTA_Armory_Category_Heroes"	"Sankarit"
"DOTA_Armory_Category_Couriers"	"Kuriirit"
"DOTA_Armory_Category_Pets"	"Lemmikit"
"DOTA_Armory_Category_Wards"	"Wardit"
"DOTA_Armory_Category_Emoticons"	"Hymiöt"
"DOTA_Armory_Category_Audio"	"Ääni"
"DOTA_Armory_Category_Music"	"Musiikki"
"DOTA_Armory_ContextMenu_Equip"	"Varusta"
"dota_page_match_details_header_game_mode"	"Pelimuoto"
"dota_page_match_details_comment_placeholder"	"Kirjoita kommentti..."
"dota_page_match_details_replay_existence_disk_found_highlights"	"Katso kohokohdat"
"dota_profile_content_tab_activity_feed"	"Tapahtumasyöte"
"dota_profile_content_tab_recent_games"	"Viimeaikaiset pelit"
"dota_profile_recent_game_result_abandon"	"Hylätty"
"dota_profile_recent_game_icon_source1"	"S1"
"dota_profile_hero_with_index"	"{d:hero_index} {s:hero_name}"
"dota_profile_hero"	"{s:hero_name}"
"DOTA_tooltip_econ_item_gem_type"	"{s:gem_type}"
"custom_game_team_select_timer"	"{i:countdown_timer_seconds}"
"custom_game_team_select_join"	"Liity"
"CouldntFindCompendium"	"Turnauskirjan testitiedostoa ei löytynyt: {s:s1}"
"DOTA_GlobalItems_Audio"	"Ääni"
"DOTA_GlobalItems_Announcers"	"Kuuluttajapaketit"
"dota_lobby_settings_edit"	"Muokkaa"
"dota_lobby_browser_header_game_mode"	"Pelimuoto"
"dota_lobby_browser_region"	"Alue"
"DOTA_Credits"	"Kiitokset"
"DOTA_ActorCredits_1_Name"	"Dee Bradley Baker"
"DOTA_ActorCredits_1_Heroes"	"Techies"
"DOTA_ActorCredits_2_Name"	"Dennis Bateman"
"DOTA_ActorCredits_2_Heroes"	"Invoker"
"DOTA_ActorCredits_3_Name"	"Tom Chantler"
"DOTA_ActorCredits_4_Name"	"Merle Dandridge"
"DOTA_ActorCredits_5_Name"	"Barry Dennen"
"DOTA_ActorCredits_6_Name"	"Dave Fennoy"
"DOTA_ActorCredits_7_Name"	"Jim French"
"DOTA_ActorCredits_7_Heroes"	"Elder Titan"
"DOTA_ActorCredits_8_Name"	"Michael Gregory"
"DOTA_ActorCredits_9_Name"	"Gin Hammond"
"DOTA_ActorCredits_10_Name"	"John Patrick Lowrie"
"DOTA_ActorCredits_11_Name"	"Ellen McLain"
"DOTA_ActorCredits_12_Name"	"Bruce Miles"
"DOTA_ActorCredits_13_Name"	"Linda K. Morris"
"DOTA_ActorCredits_13_Extra"	"Kuuluttaja"
"DOTA_ActorCredits_14_Name"	"Sam A. Mowry"
"DOTA_ActorCredits_14_Extra"	"Salakaupan pitäjä"
"DOTA_ActorCredits_15_Name"	"Eric Newsome"
"DOTA_ActorCredits_16_Name"	"Nolan North"
"DOTA_ActorCredits_17_Name"	"Dempsey Pappion"
"DOTA_ActorCredits_18_Name"	"TJ Ramini"
"DOTA_ActorCredits_19_Name"	"Harry S. Robins"
"DOTA_ActorCredits_19_Heroes"	"Tinker"
"DOTA_ActorCredits_20_Name"	"Gary Schwartz"
"DOTA_ActorCredits_21_Name"	"David Scully"
"DOTA_ActorCredits_22_Name"	"Mike Shapiro"
