"dota"
{
"DOTA_Accept"	"承諾"
"dota_settings_group1"	"グループ 1"
"dota_settings_group2"	"グループ 2"
"dota_settings_group3"	"グループ 3"
"dota_settings_group4"	"グループ 4"
"dota_settings_group5"	"グループ 5"
"dota_settings_group6"	"グループ 6"
"dota_settings_group7"	"グループ 7"
"dota_settings_group8"	"グループ 8"
"dota_settings_group9"	"グループ 9"
"dota_settings_group10"	"グループ 10"
"dota_settings_spectatorstatsfantasy"	"観戦者のファンタジー統計"
"dota_settings_cancel"	"キャンセル"
"dota_settings_apply"	"適用"
"dota_settings_game"	"ゲーム"
"dota_settings_minimap"	"ミニマップ"
"dota_settings_camerascreenshake"	"画面の振動を有効化"
"dota_settings_profile"	"プロフィール"
"dota_settings_trade_friends"	"フレンドのみ"
"dota_settings_trade_anyone"	"誰でも"
"dota_settings_network"	"ネットワーク"
"dota_settings_networkquality"	"ネットワーククオリティ"
"dota_settings_networkquality_low"	"低"
"dota_settings_networkquality_high"	"高"
"dota_settings_usenativeresolution"	"現在のモニターの解像度を使用"
"dota_settings_resolution"	"解像度"
"dota_settings_aspectratio"	"アスペクト比"
"dota_settings_aspectratio43"	"4:3"
"dota_settings_aspectratio169"	"16:9"
"dota_settings_aspectratio1610"	"16:10"
"dota_settings_resolution_size"	"サイズ"
"dota_settings_resolution_display_mode"	"ディスプレイモード"
"dota_settings_fullscreen"	"特製フルスクリーン"
"dota_settings_window"	"ウィンドウ"
"dota_settings_borderless"	"枠無しウィンドウ"
"dota_settings_videodefaults"	"初期設定に戻す"
"dota_settings_antialiasing"	"アンチエイリアス"
"dota_settings_shadowquality_low"	"低"
"dota_settings_shadowquality_med"	"中"
"dota_settings_shadowquality_high"	"高"
"dota_settings_texturequality"	"テクスチャクオリティ"
"dota_settings_texturequality_low"	"低"
"dota_settings_texturequality_med"	"中"
"dota_settings_texturequality_high"	"高"
"dota_settings_headphones"	"ヘッドホン"
"dota_settings_unitspeech_off"	"オフ"
"DOTA_Keybind_WASD"	"WASD"
"DOTA_Keybind_MMO"	"MMO"
"DOTA_Keybind_LOL"	"League of Legends"
"DOTA_Keybind_HON"	"Heroes of Newerth"
"DOTA_Hotkeys_Tooltip_LearnAbility"	"使用できるスキルポイントがある場合アビリティ学習モードを試そう。"
"DOTA_Hotkeys_Tooltip_LearnStats"	"使用できるスキルポイントがある場合それぞれの統計に2ポイント追加されます。"
"DOTA_Hotkeys_Tooltip_HeroAttack"	"通り道にいる敵を攻撃しながら移動する/ディナイできるならば味方ユニットも攻撃する。"
"DOTA_Hotkeys_Tooltip_HeroMove"	"移動するか、攻撃せずにユニットに着いて行く。"
"DOTA_Hotkeys_Tooltip_HeroStop"	"現在のアクションを中断する。"
"DOTA_Hotkeys_Tooltip_HeroHold"	"現在のアクションを中断して静止する。"
"DOTA_Hotkeys_Tooltip_HeroSelect"	"ヒーローを選択する。"
"DOTA_Hotkeys_Tooltip_SelectAll"	"支配下にあるすべてのユニットを選択する。"
"DOTA_Hotkeys_Tooltip_SelectAllOthers"	"コントロールするそれ以外全てのユニットを選択。（あなたのヒーローは選択されません。）"
"DOTA_Hotkeys_Tooltip_CourierSelect"	"クーリエを選択。"
"DOTA_Hotkeys_Tooltip_CourierDeliver"	"クーリエに、スタッシュにあるアイテムをあなたまで届けさせる。"
"DOTA_Hotkeys_Tooltip_CourierHaste"	"使用可能な場合、自分のクーリエのスピードブーストを有効化する。"
"DOTA_Hotkeys_Tooltip_UseActionItem"	"アクションアイテムを使う。"
"DOTA_Hotkeys_Tooltip_HeroTaunt"	"ヒーローの挑発を使用する。装着アイテムとして入手できます。"
"DOTA_Hotkeys_Tooltip_ShopToggle"	"ショップパネルを開く。"
"DOTA_Hotkeys_Tooltip_PurchaseQuickbuy"	"高くて買えない場合にはクイックバイエリア内の次のアイテムを購入する。"
"DOTA_Hotkeys_Tooltip_GrabStashItems"	"スタッシュにある全てのアイテムをあなたのヒーローに移動させる。"
"DOTA_Hotkeys_Tooltip_RecentEvent"	"最も最近起きたイベントの場所にカメラを移動する。"
"DOTA_Hotkeys_Tooltip_ChatTeam"	"自チーム全員にメッセージを送信。"
"DOTA_Settings_Tooltip_Autoattack"	"自動で周辺にいる敵に近づき攻撃する。"
"DOTA_Settings_Tooltip_AutoattackAfterSpell"	"選択しない場合、ヒーローはスペルキャスト後にその場に留まって次のオーダーを待つ。"
"DOTA_Settings_Tooltip_AutoPurchase"	"十分なゴールドを持っていれば、次のおすすめアイテムリスト内のアイテムを購入する。"
"DOTA_Settings_Tooltip_AutoSelectSummons"	"ヒーローが新ユニットを召喚すると、彼らはあなたの選択グループに追加される。"
"DOTA_Settings_Tooltip_DoubleTap"	"アイテムあるいはアビリティが使用可能なときに、ダブルクリックするかホットキーをダブルタップすると自身にキャストする。"
"DOTA_Settings_Tooltip_UnifiedOrders"	"オーダーの最中にCTRLを長押しすると、全てのコントロールユニットに送信される。"
"DOTA_Settings_Tooltip_TeleportStop"	"移動したりスペルをキャストしても、進行中のテレポートを取り消さない。適用は Teleport Scrolls あるいは Boots of Travel のみ。"
"DOTA_Settings_Tooltip_BroadcasterStats"	"ゲーム観戦時、放送者が使用している統計ドロップダウンを表示する。"
"DOTA_Settings_Tooltip_Deceleration"	"移動の後にカメラが停止する時の速度。数が大きければ大きいほど早く停まる。"
"DOTA_Settings_Tooltip_Screenshake"	"カメラを揺らすスペルとスタンがいくつかあります。"
"DOTA_Settings_Tooltip_CameraRespawn"	"復活すると同時にカメラをあなたのヒーローにフォーカスする。"
"DOTA_Settings_Tooltip_HideProfile"	"あなたの Dota 2 プロフィールには誰もアクセスできません。あなたの Steam プロフィールは Dota 2 からアクセスできません。"
"DOTA_Settings_Tooltip_ShareMatchData"	"外部組織にあなたのパブリックゲームからのマッチデータを公開します。"
"DOTA_Settings_Tooltip_NetworkQuality"	"ローエンドのネットワーク接続の場合、これを「低」に設定することでネットワークパフォーマンスが向上するかもしれません。"
"DOTA_Settings_Tooltip_MinimapSimple"	"ミニマップの色が、個人のプレイヤーではなくチームによって決定されます。"
"DOTA_Settings_Tooltip_MinimapDrawHeroes"	"ALTを押している間、ヒーローネームの代わりにミニマップ内のヒーローアイコンを使用する。"
"DOTA_Settings_Tooltip_MinimapNamesIcon"	"ミニマップ内では常にヒーロー名あるいはヒーローアイコンを表示。ALTを押しているあいだは一時的にXとOを表示。"
"DOTA_Settings_Tooltip_ShopHotkeys"	"ショップが開かれると、ショップ内のホットキーが他の機能に割り当てられたホットキーをオーバーライドする。"
"DOTA_Lobby_BotDifficulty"	"ボットの難易度"
"DOTA_Lobby_BotDifficulty_no_bot"	"ボットなし"
"DOTA_Lobby_BotDifficulty_passive"	"パッシブ"
"DOTA_Lobby_BotDifficulty_easy"	"イージー"
"DOTA_Lobby_BotDifficulty_medium"	"ミディアム"
"DOTA_Lobby_BotDifficulty_hard"	"ハード"
"DOTA_Lobby_BotDifficulty_unfair"	"アンフェア"
"DOTA_Lobby_BotTeam"	"チーム選択"
"DOTA_create_bot_practice_solo"	"ソロ"
"DOTA_Lobby_BotDifficulty_bot_passive"	"パッシブボット"
"DOTA_Lobby_BotDifficulty_bot_easy"	"イージーボット"
"DOTA_Lobby_BotDifficulty_bot_medium"	"ミディアムボット"
"DOTA_Lobby_BotDifficulty_bot_hard"	"ハードボット"
"DOTA_Lobby_BotDifficulty_bot_unfair"	"アンフェアボット"
"dota_lobby_title"	"{s:lobby_name}"
"dota_lobby_title_local_game"	"ローカルロビー"
"dota_lobby_title_default"	"ロビー"
"lobby_row_player_name"	"{s:player_name}"
"dota_lobby_row_game_name"	"{s:game_name}"
"dota_lobby_row_slots"	"{s:slots}"
"dota_lobby_row_game_mode"	"{s:game_mode}"
"dota_lobby_row_join"	"参加"
"dota_lobby_row_leave"	"退出"
"dota_lobby_coaches_title"	"コーチ"
"dota_lobby_browser_all_game_modes"	"全てのゲームモード"
"dota_lobby_browser_game_mode"	"ゲームモード"
"DOTA_EquippedItem_Rarity"	"{s:equipped_econ_set_rarity}"
"DOTA_EquippedItem_SetName"	"{s:equipped_econ_set_name}"
"DOTA_EquippedItem_Style"	"{i:equipped_econ_set_style_count} スタイル"
"DOTA_EquippedItem_Button_Details"	"{s:equipped_details_button_text}"
"DOTA_EquippedItem_Customize"	"カスタマイズ"
"DOTA_EquippedItem_CustomSet"	"カスタムセット"
"DOTA_EquippedItem_Details"	"{s:equipped_econ_set_type_name} 詳細"
"DOTA_EquippedItem_Purchase_Button"	"購入"
"DOTA_EquippedItem_Marketplace_Button"	"マーケット"
"DOTA_EquippedItem_BundleName"	"バンドル内 \"{s:equipped_econ_set_bundle}\""
"DOTA_EquippedItem_FilterText"	"プレビュー中"
"DOTA_EquippedItem_SaleAmount"	"-{i:equipped_econ_set_sale_amount}%"
"DOTA_EquippedItem_RegularSetPrice"	"{s:equipped_econ_regular_set_price}"
"DOTA_EquippedItem_SetPrice"	"{s:equipped_econ_set_price}"
"DOTA_EquippedItem_TreasurePrice"	"{s:equipped_econ_treasure_price}"
"DOTA_HeroDemo_Button"	"デモ {s:econ_item_category_name}"
"DOTA_EquippedItem_Bundle"	"バンドル"
"DOTA_EquippedItem_ItemSet"	"セット"
"DOTA_EquippedItem_Item"	"アイテム"
"DOTA_EconItemSet_Name"	"{s:econ_set_name}"
"DOTA_EconItemSet_Rarity"	"{s:econ_set_rarity}"
"DOTA_EconItemSet_Status"	"{s:econ_set_status}"
"DOTA_EconItemSet_Price"	"{s:econ_set_price}"
"DOTA_EconItemSet_SaleAmount"	"-{i:econ_sale_amount}%"
"DOTA_EconItemSet_DeveloperOnly"	"非公開"
"DOTA_HeroRole_Carry"	"キャリー"
"DOTA_HeroRole_Support"	"サポート"
"DOTA_HeroRole_Nuker"	"ヌーカー"
"DOTA_HeroRole_Disabler"	"ディスエイブラー"
"DOTA_HeroRole_Jungler"	"ジャングラー"
"DOTA_HeroRole_Durable"	"デュラブル"
"DOTA_HeroRole_Escape"	"エスケープ"
"DOTA_HeroRole_LaneSupport"	"レーンサポート"
"DOTA_HeroRole_Pusher"	"プッシャー"
"DOTA_HeroRole_Initiator"	"イニシエーター"
"DOTA_HeroGrid_OptionCategory_Role"	"役割:"
"DOTA_HeroGrid_OptionCategory_Attributes"	"属性:"
"DOTA_HeroGrid_OptionCategory_AttackType"	"攻撃タイプ:"
"DOTA_HeroLoadout_PreviousHeroName"	"{s:previous_hero_name}"
"DOTA_HeroLoadout_NextHeroName"	"{s:next_hero_name}"
"DOTA_HeroLoadout_CurrentHeroName"	"{s:hero_name}"
"DOTA_HeroLoadout_AttackType"	"{s:hero_attack_type}"
"DOTA_HeroLoadout_HeroFilterName"	"ヒーロー"
"DOTA_HeroCustomize_Title"	"ヒーローをカスタマイズ"
"DOTA_HeroCustomize_OwnedItems"	"持っているアイテム"
"DOTA_HeroCustomize_Slot"	"スロット"
"DOTA_HeroCustomize_SlotName"	"{s:slot_name}"
"DOTA_HeroCustomize_SlotEquippedItemName"	"{s:equipped_item_name}"
"DOTA_HeroCustomize_DefaultItemName"	"デフォルトアイテム"
"DOTA_HeroCustomize_PreviewItemName"	"{s:preview_item_name}"
"DOTA_HeroCustomize_PreviewStyle"	"{s:preview_style_name}"
"DOTA_HeroCustomize_PreviewItemSlot"	"{s:preview_item_slot}"
"DOTA_HeroCustomize_Rarity"	"{s:preview_item_rarity}"
"DOTA_UIEconItem_StyleIndex"	"{i:style_index}"
"dota_ready_up_num_accepted"	"{i:num_accepted} / {i:total_players} 承認"
"returning_top_of_queue"	"優先的にマッチメイキングに戻ります..."
"GC_Wait_Time_Unknown"	"不明"
"DOTA_practice_vs_bots_team_radiant"	"Radiant"
"DOTA_practice_vs_bots_team_dire"	"Dire"
"DOTA_practice_vs_bots_team_random"	"ランダム"
"DOTA_CurrentTime"	"{t:t:current_time}"
"DOTA_MonthlyPlayers"	"{s:users_last_month}"
"DOTA_CurrentPlayers"	"{s:current_users}"
"DOTA_CurrentPlayersLabel"	"現在ゲーム内のプレイヤー"
"DOTA_Search_NoResults"	"結果なし"
"DOTA_Search_ItemShortDescription"	"<span class=\"ItemRarityColor\">{s:item_rarity}</span> {s:item_slot}"
"join_error_already_in_game"	"すでにゲーム中のため、プラクティスロビーに参加できません。"
"join_error_invalid_lobby"	"指定したロビーは現在存在していません。"
"join_error_incorrect_password"	"パスワードが間違っています。"
"join_error_access_denied"	"アクセスが拒否されました。"
"join_error_generic"	""
"join_error_in_team_party"	"プラクティスロビーに参加できません。 プラクティスゲームに参加する前に、チームパーティを解散する必要があります。"
"join_error_lobby_full"	"ロビーは満員です。"
"join_error_timed_out"	"リクエストがタイムアウトしました。"
"DOTA_Friend_Lobby_Mode_Small"	"{s:game_mode} ロビー"
"DOTA_Friend_Lobby_Players"	"{d:player_count} / {d:max_player_count}"
"DOTA_Friend_Lobby_Join_Button"	"{s:join_button_text}"
"DOTA_Friend_Lobby_Friend_Count"	"+{d:extra_friend_count}"
"DOTA_Friend_Invite_To_Party"	"パーティに招待"
"DOTA_Friend_JoinParty"	"パーティに参加"
"DOTA_Friend_Watch"	"観戦"
"DOTA_Feed_Timestamp_MinutesAgo"	"{i:value} 分前"
"DOTA_Feed_Timestamp_HourAgo"	"{i:value} 時間前"
"DOTA_Feed_Timestamp_HoursAgo"	"{i:value} 時間前"
"DOTA_Feed_Timestamp_Yesterday"	"昨日"
"DOTA_Feed_Timestamp_Date"	"{s:month} {s:day}"
"dota_lobby_type_practice"	"プラクティス"
"dota_lobby_type_practice_game_mode_custom"	"カスタムゲーム"
"dota_lobby_type_tournament"	"トーナメント"
"dota_lobby_type_coop_bot"	"協力ボット"
"dota_lobby_type_competitive"	"ランクマッチ"
"dota_lobby_type_casual_1v1"	"1v1 マッチ"
"dota_match_result_won"	"勝利"
"dota_match_result_lost"	"敗北"
"dota_match_result_none"	"???"
"dota_social_feed_loading"	"ロード中..."
"DOTA_LoadingPlayerUnknown"	"-"
"DOTA_LoadingPlayerLoading"	"ロード中..."
"DOTA_LoadingPlayerFullyConnected"	"準備完了"
"DOTA_LoadingPlayerFailed"	"失敗"
"LoadingScreenTimer"	"{t:d:countdown_timer_seconds}"
"HeroSelectionTimer"	"{i:timer_seconds}"
"LoadingScreenMapInfo"	"マップ: {s:map_name}"
"LoadingScreenPlayersInfo"	"プレイヤー: {i:players_loaded}/{i:players_total}"
"LoadingScreenSpectatorsInfo"	"観戦者: {i:spectators_loaded}/{i:spectators_total}"
"custom_end_screen_victory_message"	"{s:winning_team_name} の勝利！"
"custom_end_screen_legend_player"	"プレイヤー"
"custom_end_screen_legend_level"	"レベル"
"custom_end_screen_legend_hero"	"ヒーロー"
"custom_end_screen_legend_kills"	"K"
"custom_end_screen_legend_deaths"	"D"
"custom_end_screen_legend_assists"	"A"
"custom_end_screen_legend_items"	"アイテム"
"custom_end_screen_legend_gold"	"ゴールド"
"custom_end_screen_legend_team_score"	"スコア"
"custom_scoreboard_hero_name_and_desc"	"レベル {i:hero_level} {s:hero_name}"
"CustomEndScreenClose"	"閉じる"
"DOTA_Armory_Category_Heroes"	"ヒーロー"
"DOTA_Armory_Category_Couriers"	"クーリエ"
"DOTA_Armory_Category_Pets"	"ペット"
"DOTA_Armory_Category_World"	"ワールド"
"DOTA_Armory_Category_Wards"	"ワード"
"DOTA_Armory_Category_Weather"	"天候エフェクト"
"DOTA_Armory_Category_Effigies"	"彫像"
"DOTA_Armory_Category_Interface"	"インターフェース"
"DOTA_Armory_Category_Emoticons"	"絵文字"
"DOTA_Armory_Category_LoadingScreens"	"ローディング画面"
"DOTA_Armory_Category_HUDs"	"HUD"
"DOTA_Armory_Category_CursorPacks"	"カーソルパック"
"DOTA_Armory_Category_Audio"	"オーディオ"
"DOTA_Armory_Category_VoicePacks"	"ボイスパック"
"DOTA_Armory_Category_AnnouncerPacks"	"アナウンサーパック"
"DOTA_Armory_Category_Music"	"ミュージック"
"DOTA_Armory_Category_All"	"全て"
"DOTA_Armory_Category_Other"	"その他"
"DOTA_Armory_Category_View"	"カテゴリー表示"
"DOTA_Armory_SortBy"	"並び替え:"
"DOTA_Armory_SortBy_Rarity"	"希少性"
"DOTA_Armory_SortBy_Quality"	"クオリティ"
"DOTA_Armory_SortBy_Name"	"名前"
"DOTA_Armory_SortBy_Recent"	"入手日"
"DOTA_Armory_SortBy_Sockets"	"ソケット数"
"DOTA_Armory_Search"	"保管庫アイテムを検索"
"DOTA_Armory_ContextMenu_Preview"	"アイテムをプレビュー"
"DOTA_Armory_ContextMenu_GiftWrap"	"アイテムをギフト包装"
"DOTA_Armory_ContextMenu_Delete"	"削除"
"dota_page_match_details_victory"	"勝者: {s:winner}"
"dota_page_match_details_legend_player"	"プレイヤー"
"dota_page_match_details_legend_level"	"レベル"
"dota_page_match_details_legend_hero"	"ヒーロー"
"dota_page_match_details_legend_kills"	"K"
"dota_page_match_details_legend_deaths"	"D"
"dota_page_match_details_legend_assists"	"A"
"dota_page_match_details_legend_items"	"アイテム"
"dota_page_match_details_legend_gold"	"ゴールド"
"dota_page_match_details_legend_last_hits"	"LH"
"dota_page_match_details_legend_denies"	"DN"
"dota_page_match_details_legend_gold_per_min"	"GPM"
"dota_page_match_details_legend_xp_per_min"	"XPM"
"dota_page_match_details_legend_winner_tooltip"	"勝利チーム"
"dota_page_match_details_legend_kills_tooltip"	"キル数"
"dota_page_match_details_legend_deaths_tooltip"	"死亡回数"
"dota_page_match_details_legend_assists_tooltip"	"アシスト数"
"dota_page_match_details_legend_last_hits_tooltip"	"クリープラストヒット数"
"dota_page_match_details_legend_denies_tooltip"	"クリープディナイ数"
"dota_page_match_details_legend_gold_per_min_tooltip"	"ゴールド／分"
"dota_page_match_details_legend_xp_per_min_tooltip"	"XP／分"
"dota_page_match_details_header_league_name"	"リーグ名"
"dota_page_match_details_header_custom_game_map_name"	"マップ名"
"dota_page_match_details_header_match_id"	"マッチ ID"
"dota_page_match_details_header_game_mode"	"ゲームモード"
"dota_page_match_details_header_duration"	"時間"
"dota_page_match_details_header_timestamp"	"マッチ日 / 時間"
"dota_page_match_details_voting_votes"	"{i:num_votes} 票"
"dota_page_match_details_replay_existence_downloading"	"ダウンロード中..."
"dota_profile_recent_game_header_result"	"結果"
"dota_profile_recent_game_header_duration"	"時間"
"dota_profile_recent_game_header_type"	"タイプ"
"dota_profile_recent_game_result_win"	"勝利"
"dota_profile_recent_game_result_loss"	"敗北"
"dota_profile_recent_game_result_abandon"	"棄権"
"dota_profile_recent_game_icon_source1"	"S1"
"dota_profile_hero_with_index"	"{d:hero_index} {s:hero_name}"
"dota_profile_hero"	"{s:hero_name}"
"DOTA_tooltip_econ_item_name"	"{s:item_name}"
"DOTA_tooltip_econ_item_description"	"{s:item_description}"
"DOTA_tooltip_econ_item_rarity_label"	"希少性: "
"DOTA_tooltip_econ_item_rarity"	"{s:item_rarity}"
"DOTA_tooltip_econ_item_slot"	"Slot: {s:item_slot}"
"DOTA_tooltip_econ_item_gifter"	"{g:dota_persona:gifter_name}"
"DOTA_tooltip_econ_item_gift_received_date"	"受け取りました: {t:T:gift_received_date_time}"
"DOTA_tooltip_econ_item_trade_restriction_permanent"	"トレード不可"
"DOTA_tooltip_econ_item_trade_restriction_date"	"この日までトレード不可: {t:T:tradable_after_date_time} {t:s:tradable_after_date_time}"
"DOTA_tooltip_econ_item_market_restriction_permanent"	"マーケット不可"
"DOTA_tooltip_econ_item_gift_restriction_permanent"	"ギフト不可"
"DOTA_tooltip_econ_item_gift_restriction_date"	"この日までギフト不可: {t:T:giftable_after_date_time} {t:s:giftable_after_date_time}"
"DOTA_tooltip_econ_item_gem_type"	"{s:gem_type}"
"DOTA_tooltip_econ_item_gem_strange_count"	"{d:strange_count}"
"DOTA_tooltip_econ_item_gem_description"	"{s:gem_description}"
"DOTA_tooltip_econ_item_partner"	"{s:partner}"
"DOTA_econ_item_details_item_name"	"{s:item_name}"
"DOTA_econ_item_details_item_creation_date"	"作成日: {t:l:creation_date}"
"DOTA_econ_item_details_item_rarity"	"{s:item_rarity}"
"DOTA_econ_item_details_item_slot"	"スロット: {s:item_slot}"
"DOTA_econ_item_details_item_description"	"{s:item_description}"
"DOTA_econ_item_details_gem_type"	"{s:gem_type}"
"DOTA_econ_item_details_gem_strange_count"	"{d:strange_count}"
"DOTA_econ_item_details_gem_description"	"{s:gem_description}"
"DOTA_Treasure_Name"	"{s:treasure_name}"
"DOTA_Treasure_Rarity"	"<span class=\"ItemRarityColor\">{s:treasure_rarity}</span> トレジャー"
"custom_game_team_select_timer"	"{i:countdown_timer_seconds}"
"custom_game_team_select_shuffle"	"シャッフル"
"custom_game_team_select_join"	"参加"
"CompendiumPageError_ImageDL"	"Compendium イメージのダウンロード開始に失敗しました \\'%s1\\' (%s2)"
"DOTA_GlobalItems_Couriers"	"クーリエ"
"DOTA_GlobalItems_Pets"	"ペット"
"DOTA_GlobalItems_World"	"ワールド"
"DOTA_GlobalItems_Wards"	"ワード"
"DOTA_GlobalItems_Effigies"	"彫像"
"DOTA_GlobalItems_Weather"	"天候エフェクト"
"DOTA_GlobalItems_Interface"	"インターフェース"
"DOTA_GlobalItems_Emoticons"	"絵文字"
"DOTA_GlobalItems_LoadingScreens"	"ローディング画面"
"DOTA_GlobalItems_HUDs"	"HUDs"
"DOTA_GlobalItems_Audio"	"オーディオ"
"DOTA_GlobalItems_Announcers"	"アナウンサーパック"
"DOTA_GlobalItems_Music"	"ミュージック"
"DOTA_Search"	"検索"
"DOTA_Start"	"開始"
"DOTA_PleaseWait"	"お待ちください..."
"dota_lobby_settings"	"ロビー設定"
"dota_lobby_settings_edit"	"編集"
"dota_lobby_leave"	"このロービーを退出"
"DOTA_Custom_Game_View_Lobby_List"	"ロビーリストを表示"
"DOTA_Custom_Game_Lobby_List_Title"	"ロビーリスト"
"DOTA_Custom_Game_Browse_Sort"	"並び替え:"
"DOTA_Custom_Game_Sort_Popular_Today"	"好評 (今日)"
"DOTA_Custom_Game_Sort_Popular_Week"	"好評 (今週)"
"DOTA_Custom_Game_Sort_Top_Rated"	"好評 (これまで)"
"DOTA_WatchLive_Steam"	"STEAM"
"dota_settings_fullscreenbrightness"	"明るさ"
"dota_lobby_browser_header_name"	"ロビー名"
"dota_lobby_browser_header_game_mode"	"ゲームモード"
"dota_lobby_browser_lobby_name"	"ロビー名"
"Compendium_DefaultText_CD_Days"	"日"
"Compendium_DefaultText_CD_Hours"	"時間"
"Compendium_DefaultText_CD_Minutes"	"分"
"Compendium_DefaultText_CD_Seconds"	"秒"
"NetGraph_FPS"	"fps: {d:fps}"
"NetGraph_Ping"	"ping: {d:ping}ms"
"NetGraph_Loss"	"敗北: {d:loss}%"
"DOTA_ActorCredits_1_Name"	"Dee Bradley Baker"
"DOTA_ActorCredits_1_Heroes"	"techies"
"DOTA_ActorCredits_2_Name"	"Dennis Bateman"
"DOTA_ActorCredits_2_Heroes"	"invoker"
"DOTA_ActorCredits_3_Name"	"Tom Chantler"
"DOTA_ActorCredits_3_Heroes"	"centaur,lion,obsidian_destroyer,riki,slark,tusk,witch_doctor"
"DOTA_ActorCredits_4_Name"	"Merle Dandridge"
"DOTA_ActorCredits_4_Heroes"	"legion_commander,winter_wyvern"
"DOTA_ActorCredits_5_Name"	"Barry Dennen"
"DOTA_ActorCredits_5_Heroes"	"chaos_knight,phantom_lancer,rubick"
"DOTA_ActorCredits_6_Name"	"Dave Fennoy"
"DOTA_ActorCredits_6_Heroes"	"batrider,ember_spirit,faceless_void,jakiro,venomancer,skeleton_king"
"DOTA_ActorCredits_7_Name"	"Jim French"
"DOTA_ActorCredits_7_Heroes"	"elder_titan"
"DOTA_ActorCredits_8_Name"	"Michael Gregory"
"DOTA_ActorCredits_8_Heroes"	"bounty_hunter,clinkz,silencer"
"DOTA_ActorCredits_9_Name"	"Gin Hammond"
"DOTA_ActorCredits_9_Heroes"	"crystal_maiden,drow_ranger,enchantress,mirana,phantom_assassin,spectre,vengefulspirit"
"DOTA_ActorCredits_10_Name"	"John Patrick Lowrie"
"DOTA_ActorCredits_10_Heroes"	"ancient_apparition,dark_seer,doom_bringer,earthshaker,pudge,nevermore,storm_spirit"
"DOTA_ActorCredits_11_Name"	"Ellen McLain"
"DOTA_ActorCredits_11_Heroes"	"broodmother,death_prophet"
"DOTA_ActorCredits_12_Name"	"Bruce Miles"
"DOTA_ActorCredits_12_Heroes"	"alchemist,life_stealer,omniknight"
"DOTA_ActorCredits_13_Name"	"Linda K. Morris"
"DOTA_ActorCredits_13_Heroes"	"luna,naga_siren,queenofpain,templar_assassin"
"DOTA_ActorCredits_13_Extra"	"アナウンサー"
"DOTA_ActorCredits_14_Name"	"Sam A. Mowry"
"DOTA_ActorCredits_14_Heroes"	"antimage,beastmaster,rattletrap,necrolyte,slardar,warlock"
"DOTA_ActorCredits_14_Extra"	"秘密の店の店主"
"DOTA_ActorCredits_15_Name"	"Eric Newsome"
"DOTA_ActorCredits_15_Heroes"	"chen,leshrac,furion,razor,tidehunter,tiny,zuus"
"DOTA_ActorCredits_16_Name"	"Nolan North"
"DOTA_ActorCredits_16_Heroes"	"brewmaster,earth_spirit,gyrocopter,keeper_of_the_light,lone_druid,lycan,meepo,ogre_magi,shadow_demon,troll_warlord"
"DOTA_ActorCredits_17_Name"	"Dempsey Pappion"
"DOTA_ActorCredits_17_Heroes"	"magnataur,nyx_assassin,visage"
"DOTA_ActorCredits_18_Name"	"TJ Ramini"
"DOTA_ActorCredits_18_Heroes"	"abaddon,bristleback,skywrath_mage,shredder"
"DOTA_ActorCredits_19_Name"	"Harry S. Robins"
"DOTA_ActorCredits_19_Heroes"	"tinker"
"DOTA_ActorCredits_20_Name"	"Gary Schwartz"
"DOTA_ActorCredits_20_Heroes"	"lich,pugna"
"DOTA_ActorCredits_21_Name"	"David Scully"
"DOTA_ActorCredits_21_Heroes"	"bane,dazzle,juggernaut,morphling,sand_king,sven,weaver"
"DOTA_ActorCredits_22_Name"	"Mike Shapiro"
"DOTA_ActorCredits_22_Heroes"	"oracle"
"DOTA_ActorCredits_23_Name"	"David Sobolov"
"DOTA_ActorCredits_23_Heroes"	"terrorblade"
"DOTA_ActorCredits_24_Name"	"Jon St. John"
"DOTA_ActorCredits_24_Heroes"	"axe,bloodseeker,enigma,kunkka"
"DOTA_ActorCredits_25_Name"	"Fred Tatasciore"
"DOTA_ActorCredits_25_Heroes"	"disruptor,spirit_breaker,treant,undying,ursa"
"DOTA_ActorCredits_25_Extra"	"Warlock's Golem"
"DOTA_ActorCredits_26_Name"	"Jen Taylor"
"DOTA_ActorCredits_26_Heroes"	"lina,medusa,puck,windrunner"
"DOTA_ActorCredits_27_Name"	"Tony Todd"
"DOTA_ActorCredits_27_Heroes"	"dragon_knight,night_stalker,viper"
"DOTA_ActorCredits_28_Name"	""
"DOTA_ActorCredits_28_Heroes"	""
"DOTA_PlayerContextMenu_Trade"	"トレードに招待"
"DOTA_Custom_Game_Finished_Vote_Title"	"カスタムゲーム投票"
"DOTA_Custom_Game_Finished_Vote_Question"	"このカスタムゲームについてどう思いましたか？"
"DOTA_Custom_Game_Finished_Vote_Skip"	"スキップ"
"DOTA_TabName_ModsLobbyList"	"ロビーリスト"
"DOTA_WatchLive_Fullscreen"	"全画面"
"DOTA_JoinChatChannel_ChannelName"	"チャンネル名"
"DOTA_JoinChatChannel_ChannelMemberCount"	"メンバー"
"DOTA_Chat_ChannelMemberCount"	"{d:channel_member_count}"
"dota_settings_coop_fullscreen"	"デスクトップフレンドリー 全画面"
"DOTA_Trading_UI_Body_Outgoing"	"{s:player_name} があなたのリクエストに応えるのを待っています..."
"DOTA_GiftWrap_Item"	"{g:dota_item_name:gift_item_def}をギフト包装。"
"DOTA_GiftWrap_ConfirmDedication_Title"	"献呈の辞を確認"
