"novel"
{
	"DOTA_VisualNovel_seasonal_quartero_Actor_Quartero"		"Kvarten"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_4"		"Ånden! Jeg befalte: «Hør mitt første ønske!»"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_5"		"Vel, det viste seg at jeg ikke hadde sagt hver eneste lille stavelse i formelen helt riktig."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_6"		"Jeg hadde ikke tilkalt en ånd som oppfyller ønsker likevel, men en mye sjeldnere ånd som myrder mennesker."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_7"		"Jeg spurte om han ville la meg komme med et ønske uansett, så lenge det ikke involverte at han skulle myrde noen, og han svarte nei."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_8"		"Faktisk var ALT han ville vite, hvem som var den uforskammede tosken som hadde tilkalt ham, fordi han sa at han skulle ..."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_9"		"Og jeg siterer: «Denge skjelettet ut av dem og ta på seg huden som en jakke»."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_10"		"Så jeg sa: «Det var ham»."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm04_Quartero_11"		"Så pekte jeg på Ludolf."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_0"		"Jeg sparte det beste til slutt: Magma Fang!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_1"		"Så det beste med dette våpenet ... utenom at det er en glødende øks på størrelse med en hest, er ... se nøye."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_2"		"Den er ikke engang smidd! Den er bare et massivt skår av lavastein!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_3"		"Og jeg skal fortelle deg – den skjærer gjennom gitter som en varm kniv gjennom en overrasket fangevokter."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_4"		"Mordånden smeltet gitteret, grep Ludolf etter anklene, og knuste ham mot en vegg helt til skjelettet kom ut."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_5"		"Nå hadde teknisk sett ikke cellen gitter som blokkerte veien ut lenger. Men den HADDE en enorm mordånd i glødende rustning."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_6"		"Og han var nettopp gått tom for folk å myrde, så jeg håpte at han ... ikke la merke til det ..."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_7"		"... Han la merke til meg."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_8"		"Så. Jeg hadde en mordånd som trampet mot meg og holdt Magma Fang, med stakkars dumme Ludolf som jakke. Jeg hadde ryggen mot veggen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_9"		"Hva kunne jeg gjøre? Jeg ytret tilkallingsformelen igjen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set03_itm05_Quartero_10"		"Nå var det TO mordånder i rommet med meg."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm01_Quartero_0"		"Ah, Gilded Tyrant! Vulkansk forgylt med kvikksølv, mener jeg."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm01_Quartero_1"		"Ufattelig giftig, selvsagt, men det er ikke sånn at man tar den i munnen eller noe ..."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm01_Quartero_2"		"Eller på huden eller nær ansiktet ... Så! Der var jeg. "
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm01_Quartero_3"		"Jeg hadde sagt tilkallingsformelen IGJEN, og det som måtte være den første mordåndens VEILEDER dukket opp, for han hadde på seg samme rustning som førstnevnte ... bortsett fra at den så mye dyrere ut."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm01_Quartero_4"		"Han var også like sint som den første fyren. «Hvilken uforskammet tosk tilkalte meg? Jeg skal denge skjelettet ut av dem», akkurat det samme snakket. "
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm01_Quartero_5"		"Og jeg tenkte som så, det fungerte en gang, så jeg pekte på den første ånden og sa: «HAN tilkalte deg. Drep ham.»"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm01_Quartero_6"		"Fungerte det?"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm01_Quartero_7"		"(Latter)"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm01_Quartero_8"		"Det gjorde det ikke."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_0"		"Øynene dine bedrar deg ikke. De der glødende piggene på skuldrene? Ja. Det er ekte krystallisert brennestein fra Sekshelvete."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_1"		"Hver pigg hamret kjærlig ut for hånd."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_2"		"... hver hånd festet kjærlig til noen som ble kastet skrikende ned i en vulkan, etter hver eneste pigg."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_3"		"Legg øret inntil og lytt. Hører du?"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_4"		"Det stemmer. Hyl. Av stolthet, regner jeg med."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_5"		"Den utspekulerte planen min var i alle fall å bruke bedrageri for å sette åndene opp mot hverandre."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_6"		"En virkelig forvekslingskomedie, som i de klassiske skuespillene der en kjekk røver lurer to ånder til å drepe hverandre – du kjenner til dem."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_7"		"Men selvfølgelig – i DE skuespillene fungerer det kun fordi ingen stopper for å sammenligne notater og oppklare misforståelser – som disse åndene dessverre gjorde umiddelbart."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_8"		"Bazroth – sjefsånden – og Griknok – hans underordnede – fikk stell på alt før jeg var halvveis ut døren."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_9"		"Og hvis det finnes én ting ånder hater mer enn mennesker som tilkaller dem, er det tilsynelatende når de LYVER om det."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm02_Quartero_10"		"Ettersom de begynte å fortelle meg at de kom til å gjøre ting med skjelettet mitt som det ikke virket som var mulig hvis det ble gjort i rekkefølge. De måtte rett og slett bare velge én ting."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm03_Quartero_0"		"Ah. Godt øye, helt. Jeg ser at du har siktet deg inn på bakstykket. Det er obsidianseglet til det sjette helvetet."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm03_Quartero_1"		"Men jeg er ikke helt sikker på hvilken. Hold an. Jeg har en håndbok om segl liggende her et sted."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm03_Quartero_2"		"La oss se ... her ... å. «Nal Vorrth Oog-MUR-toh.» Grovt oversatt: «Gi all forsiktighet på båten.»"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm03_Quartero_3"		"Så trivelig. Vent litt, jeg så ikke tøddelen over o-en. Grovt oversatt: «Gi alle mennesker ned i vulkanen.» Hm."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm03_Quartero_4"		"La meg fullføre den fengslende fortellingen. Hvor var vi? Tilkallingsformelen, mordånden Griknok, død fangevokter, den ANDRE tilkallingsformelen, sjefsånden Bazroth, begge i ferd med å drepe meg, og meg som var tom for knep."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm03_Quartero_5"		"Henger du med? Vi fortsetter!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm03_Quartero_6"		"Så der var jeg: tom for triks. Griknok hadde trampet seg bort til meg og grep meg rundt halsen. «Dette blir moro», sa han."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm03_Quartero_7"		"Og helt? Jeg trodde på ham. Han så ut som han var i ferd med å more seg som aldri før."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm03_Quartero_8"		"Men så sa Bazroth «Åh nei, det kommer ikke på tale. Du kjenner reglene». Griknok mumlet og gikk til side, og så tok BAZROTH grep om halsen min."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm03_Quartero_9"		"Og jeg tenkte, «reglene»? DETTE kan være nyttig."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_0"		"Å, jeg ser du har fått øye på Ugmörtos gylne krigskilt."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_1"		"Øynene dine har god smak, helt. Smeltet i lavaen fra Sekshelveteskalderaen, og avkjølt i blodet til de stakkars sjelene som lagde skulderpiggene."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_2"		"Ser du belteseglet? Det er ikke pynt, det er en inneslutningsrune."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_3"		"Ingenting ondt, den bare ... ja, du vet. Holder alt innesluttet der nede."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_4"		"Så. Hvorfor KUNNE IKKE Griknok drepe meg?"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_5"		"Et veldig godt spørsmål, og jeg måtte finne en måte å få dette inn i samtalen, så jeg spurte: «Hei, hvorfor kan ikke Griknok drepe meg?»"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_6"		"Vel, ifølge Bazroth har alle ånder lov til å drepe den som tilkalte dem. Det er regelen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_7"		"Og fordi jeg fortalte Griknok at dumme stinkende Ludolf hadde tilkalt ham, fikk Griknok drepe dumme stinkende Ludolf."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_8"		"Jeg tilkalte Bazroth, så Bazroth fikk drepe meg. Det er vel derfor dette var det første begge to spurte om."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_9"		"Så jeg sa, faktisk: Jeg løy."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_10"		"Jeg tilkalte Griknok. Jeg hadde utført ALL tilkallelsen så langt. De hadde drept dumme stinkende Ludolf uten grunn."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_11"		"Og åndene sa INGENTING etter det, på lenge."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_12"		"Og så sa Griknok «faen». "
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm04_Quartero_13"		"Og Bazroth, etter en stund, sa også «faen»."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_0"		"Jeg presenterer Gilded Fang!"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_1"		"Smidd blant de svarte flammene til Sekshelveteskalderaen, der kun de tyngste metallene overlever."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_2"		"Drasset fra traktens rand, med kanten støpt og herdet i et kataklysmisk hav av smeltet stein og gjennomtrukket med gullårer fra mantelen til det sjette helvete."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_3"		"Og det er en masse teknisk vrøvl, men poenget er at denne øksen er kul som bare helvete, og den er din helt gratis."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_4"		"Dessuten kan jeg slenge med den spennende avslutningen på fengselsfortellingen min. Begge åndene synes å mene at de var i SKIKKELIG trøbbel, og de bønnfalte meg om å signere en slags kontrakt de hadde skissert på Ludolfs hud, om at Ludolf hadde tilkalt begge to."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_5"		"Jeg leste kjapt over kontrakten. Det så ikke ut som at det var noen skjulte klausuler i liten skrift, så jeg la til noen."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_6"		"Tross alt hadde jeg kommet til Ultimyr for å stjele utstyr, og så dukket disse to idiotene opp med rustning fra Sekshelveteskalderaen på seg. Bare skulderplatene var mer verdt enn hele universitetet."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_7"		"Så jeg sa til dem at jeg ville signere på én betingelse: at begge umiddelbart kledde seg nakne. "
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_8"		"Griknok så forvirret og noe engstelig ut, og ville vite om han kunne spørre om hvorfor før han sa ja. Jeg sa slapp av, jeg vil bare ha rustningen din – ta nå klærne av deg."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_9"		"Og vet du hva? De tok av seg klærne. Kledde helt av seg – Griknok var litt mer sjenert enn Bazroth. Med god grunn, viste det seg."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_10"		"Etter det signerte jeg kontrakten, sendte dem av gårde tilbake til det sjette helvete, og her er jeg og gir alt utbyttet ... til deg."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_11"		"Jeg håper denne opprivende fortellingen om tilegnelsen av disse øker tingenes verdi i dine øyne, nå som du kjenner til prøvelsene jeg overvant for å kunne gi d... Nei, tenkte jeg det ikke. Du har ikke hørt etter, har du vel?"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_q02_set04_itm05_Quartero_12"		"Nei, det er greit, det er sent. Ta den. Vi sees om noen måneder."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-200__title_0"		"Antikvitet 200"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-200_Quartero_0"		"Du ... TULLER ... ikke sant? Nivå 200? Hvordan klarte du ... hvordan klarte du det? Den går bare til nivå 100! Det er der den stoppet! Du er en maskin, vet du det? Jeg er imponert. Jeg er HINSIDES imponert. Herregud."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-300__title_0"		"Antikvitet 300"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-300_Quartero_0"		"Nivå 300? Det er ... helt uHØRT. Jeg har aldri ... Jeg fatter ikke ... Hvor god ER du i dette spillet? Du må bare være ... (Plystrer) Kan jeg ... kan jeg få autografen din? Den er ikke for meg, men for søsteren min, Jolixia, hun er en STOR fan."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-01__title_0"		"Antikvitetsintro"
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-01_Quartero_0"		"Sist jeg kom, sørget jeg for å gi alle sjanser til å vinne gratis ting, og responsen var samstemmig! Hver eneste person var sint."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-01_Quartero_1"		"Så! Denne gangen skal Kvarten sørge for at den første antikviteten du får, er en superbra spesiell en."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-01_Quartero_2"		"Så er det tilbake til de vanlige tingene. Men! Du får flere sjanser til å vinne."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-01_Quartero_3"		"Sist, men ikke minst! Nå får du plukke ut skatten fra et utvalg av alternativer."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-01_Quartero_4"		"Fornøyd? Alle ... endelig fornøyde med hvordan jeg gir bort alle tingene mine? Supert."
	"DOTA_VisualNovel_seasonal_winter_2025_Dialogue_antique-01_Quartero_5"		"Om noen skulle ha ytterligere forslag, kan de sendes direkte til Kvarten på Kyss-meg-bakveien 123."
	"DOTA_VisualNovel_seasonal_spring_2026_Actor_Quartero"		"Kvarten"
	"DOTA_VisualNovel_seasonal_spring_2026_Actor_Quintessa"		"Kvintessa"
	"DOTA_VisualNovel_seasonal_spring_2026_Actor_QuarteroAndQuintessa"		"Kvarten og Kvintessa"
	"DOTA_VisualNovel_seasonal_spring_2026_Actor_Sextus"		"Blake Sextus"
	"DOTA_VisualNovel_seasonal_spring_2026_Heading_itemset-01"		"The Blue Lotus"
	"DOTA_VisualNovel_seasonal_spring_2026_Heading_itemset-02"		"Stormfather"
	"DOTA_VisualNovel_seasonal_spring_2026_Heading_itemset-03"		"The Red Berserker"
	"DOTA_VisualNovel_seasonal_spring_2026_Heading_itemset-04"		"Worldsend"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quintessa_0"		"Å, hei."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quintessa_1"		"Er du en venn av broren min? Eller bryter du deg inn i huset hans?"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quintessa_2"		"Eller er du en venn av broren min OG du bryter du deg inn i huset hans?"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quintessa_3"		"Det spiller vel egentlig ikke en rolle. Den rustningen du stjeler, heter forresten Lotus Calyx."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quintessa_4"		"Og for å være ærlig ser det ut som den ble laget for deg."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quintessa_5"		"Slik jeg kjenner bror, er det vel en god sjanse for at du stjeler den TILBAKE fra ham."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quintessa_6"		"Bare behold den i så fall. Har du SETT bror, forresten?"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quintessa_7"		"Han bad meg om møte ham her, og det hørtes ut som det hastet i brevet."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quintessa_8"		"Som betyr at noen prøver å drepe ham igjen."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quartero_0"		"SØSTER! Kvintessa, du er ikke ..."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quartero_1"		"Å, hei, helt. Den rustningen ser veldig bra ut på deg."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm01_Quartero_2"		"Kvintessa, du kommer ikke til å tro dette, men noen prøver å drepe meg!"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quartero_0"		"Helt, kan du ta dette lotusskjørtet? Seremonielt skjørt, laget av en levende silke spunnet av orakelormene i Pran. Jeg insisterer på at du tar det."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quintessa_0"		"Det ser fint ut."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quartero_1"		"Det er nettopp derfor jeg insisterer."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quintessa_1"		"Bror, hvorfor gir du stadig denne personen gratis rustning?"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quartero_2"		"Har jeg ikke fortalt deg om forbannelsen min?"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quintessa_2"		"Er det den der tungen din detter ut hvis du lyver?"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quartero_3"		"Hæ? Nei, jeg fikk en spøkelsessjørøverkaptein til å frita meg fra den for LENGE siden."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quintessa_3"		"Å, det stemmer."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quartero_4"		"GANSKE så eventyrlig historie også, jeg har ikke noe imot å fortelle den."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quartero_5"		"Jeg kan jo bare fortelle den."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quartero_6"		"Der var jeg, i en synkende robåt utenfor Smuglerbukta ..."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm02_Quintessa_4"		"Bror. Fokus."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quintessa_0"		"Du skulle til å fortelle meg om forbannelsen din, bror."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quartero_0"		"Akkurat. Forbannelsen jeg er belemret med om dagen, er å gi denne helten her uvurderlige gjenstandssett, eller blir beinmargen min til insekter."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quintessa_1"		"Du tuller."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quartero_1"		"Kokende makk, tror jeg. For å være ærlig prøver jeg å ikke la forbannelsen komme så langt at jeg får tatt en titt."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quartero_2"		"Apropos ... lotuskronen. Seremonielt hodeplagg."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quartero_3"		"Også levende, tror jeg. Hvisker til deg hvis du har den på lenge nok."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quartero_4"		"Gnager seg til slutt inn i hodet på deg."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quartero_5"		"Ta et skritt bakover og la meg se på deg."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quartero_6"		"Hmmm. Ja."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quintessa_2"		"Å, ja da. Helt, ikke gi den tilbake."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm03_Quartero_7"		"Kanskje ikke ha den på hele tiden, da. Gnagingen."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quintessa_0"		"Kvarten, hvorfor prøver noen å drepe deg? Har du STJÅLET fra ham?"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_0"		"Nei!"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_1"		"Hold an, sa du «sjålet»? Å. Ja. MYE."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_2"		"Samtlige gjenstandssett her inne, egentlig."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_3"		"Apropos, helt, det du stirrer på, er lotussløret."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_4"		"Her, la meg hjelpe deg med å få det på."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_5"		"Å, det ser fantastisk ut."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quintessa_1"		"Bror. HVEM prøver å drepe deg?"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_6"		"Lover du å ikke bli sint når jeg sier det?"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quintessa_2"		"Jeg lover."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_7"		"Blake Sextus."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quintessa_3"		"Mestertyven Blake Sextus? Hevnmaskinen Blake Sextus? Det siste du ser i et mørkt rom Blake Sextus?"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_8"		"(Nervøs latter)"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quintessa_4"		"Helt, kommer det gjenstandssettet med et våpen? I så fall kan du spare litt tid og drepe oss begge med det."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_9"		"Det gjør det ikke, nei. Det kommer imidlertid med en sverm av insekter, så de kan vel drepe oss om det kniper."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm04_Quartero_10"		"Hvor la jeg ... svermen ... av ... insekter ... Å!"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm05_Quartero_0"		"Lotussvermen!"
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm05_Quartero_1"		"Én sverm av morderinsekter, som lovet."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm05_Quintessa_0"		"Så det er DET du har holdt på med de siste månedene. Å finne en jevn strøm av uvurderlige gjenstandssett å gi bort til denne helten her."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm05_Quartero_2"		"Denne utakknemlige helten, ja. Ikke så mye som et takk. Som du kanskje har lagt merke til."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm05_Quintessa_1"		"Jeg la merke til det. Bare tar og tar uten et snev av takknemlighet, virker det som."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm05_Quartero_3"		"Ikke bare du som har lagt merke til det."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm05_Quartero_4"		"Uansett, jeg satte ut rykter rundt Kvitspiret om at jeg var en mesterkriminell."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm05_Quintessa_2"		"Men du er ikke en mesterkriminell."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm05_Quartero_5"		"Det er jeg ikke, men jeg er en UTMERKET løgner."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm06_Quartero_0"		"Søster, mens jeg legger ut om min nåværende situasjon, kan du gi helten de lotusåndene der borte? Jeg kjenner et snev av forbannelsen komme snikende."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm06_Quintessa_0"		"Vær så god, helt."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm06_Quartero_1"		"Takk skal du ha. Hvor var jeg? Akkurat. Jeg sendte ut rykter om at jeg var en pensjonert mesterkriminell med et stakkars beinløst barn."
	"DOTA_VisualNovel_seasonal_spring_2026_Dialogue_q03_set01_itm06_Quartero_2"		"Eller muligens en nyreløs kone, jeg husker ikke helt hvem som ikke hadde hva, men en av dem var VELDIG syk, og skulle du sett, jeg var plutselig tilbake i krimlivet for en siste jobb."
