"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{

//INTRODUCTORY LOADSCREEN TIPS		(0 to 25 games played)
		"dota_tip_introduction_1"		"Próbálj a csapatod tornyainak hatósugarában harcolni a creepekkel és az ellenséges hősökkel."
		"dota_tip_hero_juggernaut_5"		"Juggernaut normál támadásai nem okoznak sebzést, amíg a Blade Fury aktív, kivéve tornyoknak és wardoknak."
		"dota_tip_hero_juggernaut_6"		"A Healing Ward rendkívül hatékony Juggernaut csapatának gyógyítására, így csapatharcokban az ellenség elsődleges célpontja lehet."

		"dota_tip_hero_keeper_of_the_light_1" "Amikor Keeper of the Light Spirit Form hatása alatt áll, Illuminate képessége a napszaktól függetlenül gyógyítja a szövetségeseket."

		"dota_tip_hero_kunkka_1" 			"Gyakran hasznos Aeon Disket építeni a játék késői szakaszában, sok sebzéstárggyal rendelkező Kunkkával kerülve szembe."

		"dota_tip_hero_legion_commander_1"	"Legion Commander Duelje a Black King Bar gyengítésimmunitásán ugyan áthatol, de egy Linken's Sphere megakadályozza a párbajt."

		"dota_tip_hero_leshrac_1"			"Leshrac Diabolic Edict képessége eltalálhat épületeket, ami hatásos ostromképességgé teszi azt."

		"dota_tip_hero_lich_1"				"Lich Sinister Gaze fenntartásának hatására a célegység lassan Lich felé halad. Creepen használva mérsékelt másodpercenkénti sebzést okoz."
		"dota_tip_hero_lich_2"				"Lich Frost Shieldje varázsolható szövetséges épületekre."

		"dota_tip_hero_life_stealer_1" 		"Lifestealer Shard adta Open Wounds képességétől Lifestealer szövetségesei életlopást kapnak az áldozat ellen bármilyen támadáskor, a varázslatokat is beleértve."

		"dota_tip_hero_lion_1"				"Lion Hex és Mana Drain képességei azonnal elpusztítják a gyenge illúziókat."

		"dota_tip_hero_lone_druid_1"		"Lone Druid Spirit Bearje többletsebzést okoz épületeknek, amitől nagyon hatásosan ostromol."
		"dota_tip_hero_lone_druid_2"		"Lone Druid Spirit Bearje fel tud venni rúnákat. Lone Druidnak ehhez nem kell a közelben lennie."

		"dota_tip_hero_luna_1"				"Luna Eclipse képessége a teljes időtartamon át hat még akkor is, ha Lunát elhallgattatják vagy megbénítják. Az Eclipse megszakad, ha Lunát megölik."

		"dota_tip_hero_lycan_2"				"Lycan Shapeshiftje kritikust találatot és mozgási sebességbónuszokat ad minden Lycan irányítása alatti egységnek."

		"dota_tip_hero_magnataur_1"			"Magnus Empower képessége Cleave-et ad a célpontnak, ami területre ható fizikai sebzést ad minden támadáshoz."

		"dota_tip_hero_medusa_1"			"Medusa Mystic Snake-je minden egymást követő megpattanással növeli sebzését és manaszerzését. A szerzett mana a célpont maximális manájának bizonyos százaléka."

		"dota_tip_hero_meepo_1"				"Meepo TP-t vagy aranyat kap, amikor bármelyik klónja TP-t vagy aranyat kap. Meepo meghal, amikor bármelyik klónja meghal."

		"dota_tip_hero_mirana_1"			"Mirana Sacred Arrow-ja átrepül a vele szövetséges egységeken."
		"dota_tip_hero_mirana_2"			"Mirana Moonlight Shadow képességével és Smoke of Deceit használatával a csapat nagyon hosszú ideig mozoghat láthatatlanul a pályán."
		"dota_tip_hero_mirana_3"			"Mirana Sacred Arrow-jának jelentős repülési ideje van. Egy olyan csapattárs, aki magatehetetlenné tudja tenni a célpontot, jelentősen növeli Mirana esélyét ellenséges hősök eltalálására."
		"dota_tip_hero_mirana_4"			"Mirana Sacred Arrow-ja nagyon hasznos lehet a pálya sötét részeinek felderítésére."
		"dota_tip_hero_mirana_5"			"Mirana Moonlight Shadow-ja támadólag is használható, az ellenséges csapaton való rajtaütés előkészítésére."
		"dota_tip_hero_mirana_6"			"Dust of Appearance vagy Sentry Ward magadnál tartása jelentheti a különbséget vereség és győzelem között, amikor Miranával állsz szemben."
		"dota_tip_hero_mirana_7"			"Erős megszüntetésű képességek, mint Abaddon Aphotic Shieldje, nagyszerűek a Mirana Sacred Arrow-ja okozta hosszú bénítás eltávolítására egy szövetségesről."

		"dota_tip_hero_monkey_king_1"		"Monkey King Boundless Strike-ja figyelmen kívül hagyja a kitérést, és nem tud célt téveszteni."

		"dota_tip_hero_morphling_1"			"A Silence hatásos lehet egy sikamlós Morphling leállítására."
		"dota_tip_hero_morphling_2"			"Morphling Waveform közben tud képességeket és tárgyakat használni, például Town Portal Scrollt."
		"dota_tip_hero_morphling_5"			"Az olyan képességek, amelyek megszüntetik a gyógyítást, mint Ancient Apparition Ice Blastja, megakadályozzák, hogy Morphling életerőt kapjon, amikor tulajdonságot vált."
		"dota_tip_hero_morphling_6"			"Morphling továbbra is váltja a tulajdonságokat, még ha magatehetetlenné tették vagy elhallgattatták is."

		"dota_tip_hero_naga_siren_1"		"Naga Siren a Mirror Image varázslása során rövid ideig sebezhetetlen és gyengítésimmunis, és lerázza a lövedékeket."
		"dota_tip_hero_naga_siren_2"		"Naga Siren Song of the Siren képessége nem altat el gyengítésimmunis ellenségeket, ami használható egy gyengítésimmunis hős elszigetelésére a csapatától."

		"dota_tip_hero_necrolyte_1"			"Necrophos Ghost Shroud képessége immunissá teszi őt a fizikai támadásokkal szemben, de ebben az állapotban mágikus többletsebzést szenved."
		"dota_tip_hero_necrolyte_2"			"Necrophos Reaper's Scythe-ja késleltetés után okoz sebzést. Az áldozat gyógyítás vagy sebződésgátló hatások által megmenthető a képesség animációja alatt."

		"dota_tip_hero_night_stalker_1"		"Night Stalker éjszakai bónuszai Luna Eclipse képességének ideje alatt is érvényesülnek."

		"dota_tip_hero_nyx_assassin_1" 		"Nyx Assassin Spiked Carapace képessége visszaveri a sebzést, bármilyen messze van is a támadó, még akkor is, ha a támadó láthatatlan."

		"dota_tip_hero_obsidian_destroyer_1" "Outworld Destroyer Arcane Orb képessége tiszta sebzést okoz, ami mágiaellenállással nem csökkenthető, de a gyengítésimmunitás teljesen semlegesíti."

		"dota_tip_hero_ogre_magi_1"			"Ogre Magi Bloodlustja varázsolható tornyokra."

		"dota_tip_hero_omniknight_1"		"Omniknight Purification képessége tiszta sebzést okoz, ami mágiaellenállással nem csökkenthető."

		"dota_tip_hero_oracle_1"			"Oracle Fate's Edict képessége meggátolja a mágikus sebzést a szövetséges célponton, beleértve a Purifying Flames sebzését is. Ez a kombó használható Oracle szövetségeseinek gyógyítására."
		"dota_tip_hero_oracle_2"			"Oracle Fortune's Endje az ellenséges hősök számos erősítését meg tudja szüntetni, beleértve a Purifying Flames gyógyító hatását."
		"dota_tip_hero_oracle_3"			"Oracle ultimate False Promise-a megduplázza a célponton végzett minden gyógyítást, amíg aktív. Ebbe az olyan tárgyak is beletartoznak, mint az Urn of Shadows, Magic Wand és Mekansm."
		"dota_tip_hero_oracle_4"			"Oracle False Promise képessége során, ha a célpont feletti gömb ég, akkor a célpont végzetes sebződést szenvedett, és a hatás lejártával meg fog halni, ha nem gyógyítják."

		"dota_tip_hero_pangolier_1"			"Pangolier Swashbuckle-je figyelmen kívül hagyja a kitérést, és nem tud célt téveszteni."

		"dota_tip_hero_phantom_assassin_1"	"Jó ötlet lehet Aeon Disket vagy Blade Mailt készíteni a nagy sebzéslöketű Phantom Assassinnal szemben."

		"dota_tip_hero_phantom_lancer_1"	"Phantom Lancer gyakran dönt Diffusal Blade készítése mellett; a Black King Bar gyengítésimmunitása használható e hatás kivédésére."
		"dota_tip_hero_phantom_lancer_2"	"Phantom Lancer számos illúziójára támaszkodik sebzése nagyjának okozásában. Olyan tárgyakba fektetni, amelyek lehetővé teszik ezen illúziók gyors megölését, mint a Shiva's Guard vagy a Mjollnir, nagyon hasznosnak bizonyulhat."
		"dota_tip_hero_phantom_lancer_3"	"Phantom Lancer használhatja a Doppelgangert egyes gyengítések megszüntetésére, valamint lövedékek lerázására."
		"dota_tip_hero_phantom_lancer_4"	"Phantom Lancer azon illúzióinak, amelyeket ellenséges képességek hoztak létre, mint Shadow Demon Disruptionje vagy Terrorblade Reflectionje, szintén esélyük van további illúziókra hasadni."
		"dota_tip_hero_phantom_lancer_5"	"Break alkalmazása Phantom Lanceren olyan tárgyakból mint a Silver Edge, vagy képességekből mint Viper Viper Strike-ja, megakadályozza, hogy Phantom Lancer további illúziókat hozzon létre a Juxtapose-ból."

		"dota_tip_hero_phoenix_1"			"Phoenix az Icarus Dive során tud tárgyakat és képességeket használni."

		"dota_tip_hero_puck_1"				"A Silence hatásos lehet egy trükkös Puck leállítására."
		"dota_tip_hero_puck_2"				"A Phase Shift lehetővé teszi Puck számára, hogy biztonságosan kivárja az Illusory Orb haladását vagy a Blink Dagger sebzés-újratöltődését, és azonnal mozogjon anélkül, hogy az ellenfelek reagálhatnának."
		"dota_tip_hero_puck_5"				"Pucknak sok területre ható képessége van, így létfontosságú a szétszórt alakzat fenntartása az ellenkező csapatban játszva."
		"dota_tip_hero_puck_6"				"Puck alacsony varázslási idővel rendelkező védekező képességei miatt az ellenfél csapatának ajánlottabb a Puckon való gyors kezdeményezést választani olyan tárgyakkal, mint a Blink Dagger vagy a Shadow Blade."

		"dota_tip_hero_pudge_1"				"Pudge Dismember képessége fenntartott, így megszakítható elhallgattatással vagy bénítással."
		"dota_tip_hero_pudge_2"				"Pudge gyakran támaszkodik nem várt szögekből való támadásra. Megfelelő látómező biztosítása Observer Wardokkal nagyban növeli az ellenséges csapat túlélőképességét."
		"dota_tip_hero_pudge_3"				"Pudge használhatja a Meat Hookot, hogy magához húzza a rúnákat, vagy biztonságos helyen hagyja azokat szövetségeseinek."
		"dota_tip_hero_pudge_4"				"Pudge Meat Hookja áthatol a gyengítésimmunitáson, lehetővé téve számára gyengítésimmunis ellenségek áthelyezését és fenntartott képességeik megszakítását."
		"dota_tip_hero_pudge_5"				"Pudge Rotja mágikus sebzést okoz mind magának, mind ellenfelének. Gyakran fektet be olyan tárgyakba, amelyek mágiaellenállást adnak, a saját magának okozta sebzés csökkentésére."
		"dota_tip_hero_pudge_6"				"Pudge Meat Hookja használatával biztonságba húzhatja szövetségeseit anélkül, hogy sebezné őket."
		"dota_tip_hero_pudge_8"				"A Meat Hook és a Dismember hanghatásai hallhatók a háború ködén keresztül, ami lehetővé teszi ellenségeinek, hogy kitalálják, mit csinál jelenleg Pudge."
		"dota_tip_hero_pudge_10"			"Pudge-nak alapvetően kevés páncélja van, és bármilyen fizikai támadás, különösen páncélcsökkentő képességekkel párosítva, végzetes lehet a hősnek."
		"dota_tip_hero_pudge_11"			"Ha hősödnek nincs bénítása vagy elhallgattatása megakadályozni Pudge-ot abban, hogy Dismembert használjon egy szövetségesen, akkor egy erős megszüntetés, mint Abaddon Aphotic Shieldje vagy Legion Commander Press the Attackje a célponton szintén beválhat."

		"dota_tip_hero_pugna_1"				"Pugna Nether Blast képessége épületeken fele akkora sebzést okoz."

		"dota_tip_hero_queenofpain_1"		"Queen of Pain Sonic Wave-je tiszta sebzést okoz, amit nem lehet mágiaellenállással csökkenteni. A gyengítésimmunitáson is áthatol."

		"dota_tip_hero_rattletrap_1"		"Az elhallgattatás, bénítás és elűzés nem akadályozza meg Clockwerk Battery Assaultját. Az egyetlen mód az idő előtti megállítására Clockwerk megölése."
		"dota_tip_hero_rattletrap_2"		"Clockwerk Hookshotja jelentős időre megbénítja az ellenfeleket, időt adva neki a helyváltoztatásra és Power Cogjainak stratégiai elhelyezésére, a kívánt irányba kényszerítve és tovább bénítva az ellenséget."
		"dota_tip_hero_rattletrap_3"		"A Force Staff segítségével elmenekülhetsz Clockwerk Power Cogs képességétől, de a legközelebbi fogaskerék hátralökését és manaégetését áthaladáskor aktiválni fogod."
		"dota_tip_hero_rattletrap_4"		"A Hookshot bármilyen egységhez odahúzza Clockwerket, akár ellenséges, akár szövetséges, ami hatásos módja lehet a menekülésnek."
		"dota_tip_hero_rattletrap_5"		"A hosszú varázslási vagy fenntartási idejű varázslatokkal, vagy alacsony támadási sebességgel rendelkező hősök akár teljesen cselekvésképtelenné tehetők, ha egyedül maradnak Clockwerk Battery Assaultjával szemben."
		"dota_tip_hero_rattletrap_6"		"Clockwerk Rocket Flare-je nagyon hasznos az ellenség mozgásának felderítésére, vagy olyan vonalak lassú eltolására, amelyek messze vannak a csapattól."

		"dota_tip_hero_razor_1"				"Razor Plasma Field képessége annál több sebzést okoz, minél távolabb van a célpont."
		"dota_tip_hero_razor_2"				"A Plasma Field látómezőt biztosít Razornek, lehetővé téve számára a fák között vagy a hegyeken rejtőző ellenségek keresését."
		"dota_tip_hero_razor_3"				"Razor Static Linkje hagyományos módon nem szüntethető meg vagy gyengíthető, ezért elengedhetetlen a kapcsolat mielőbbi megszakítása Razor hatótávolságának elhagyásával."
		"dota_tip_hero_razor_4"				"Bár Razor Static Linkje igazlátást nem ad a célponton, Razor attól még a láthatatlanság ellenére is követni tudja az összekapcsolt célpont mozgását."
		"dota_tip_hero_razor_5"				"Razor a gyors mozgási sebességére támaszkodik azon ellenségekkel való lépéstartásban, amelyeket az Eye of the Stormmal sebez, vagy a Static Linkkel merít. Az olyan tárgyak, amelyek meggátolják a mozgásban, mint a Rod of Atos, jó módja lehetnek a vele való elbánásnak."
		"dota_tip_hero_razor_6"				"Razor Eye of the Stormja előnyben részesíti a Static Linkkel összekötött célpontokat."
		"dota_tip_hero_razor_7"				"Refresher Orbbal vagy Refresher Sharddal másodszor Eye of the Stormot varázsolva egy második vihar jön létre, megduplázva az Eye of the Storm sebzését."

		"dota_tip_hero_riki_1"				"Riki a Tricks of the Trade ideje alatt sebezhetetlen és láthatatlan, és nem fedhető fel igazlátással."

		"dota_tip_hero_rubick_1"			"Rubick viszonylag alacsony varázslási idővel tudja varázsolni az ellopott varázslatokat még akkor is, ha az eredeti varázsló varázslási idői nagyon hosszúak (nagyon kevés kivételtől eltekintve)."

		"dota_tip_hero_sand_king_1"			"Sand King Epicenter képessége tovább pulzál a teljes időtartam alatt, még ha maga Sand King meg is hal."
		"dota_tip_hero_sand_king_2"			"Sand King használhatja a Sand Stormot és a Burrowstrike-ot ellenségek lerázásához és kicselezéséhez, láthatatlanná válással és átjárhatatlan terepen való áthaladással."
		"dota_tip_hero_sand_king_3"			"Olyan észlelési eszközök hordozása, mint a Dust of Appearance nagyon fontos lehet, amikor Sand Storm során próbálod elkapni Sand Kinget."
		"dota_tip_hero_sand_king_4"			"Sand King egyszerre több egységre alkalmazhat Caustic Finalét, ami nagy mennyiségű sebzést eredményezhet aktiválódáskor."

		"dota_tip_hero_shadow_demon_1" 		"Shadow Demon Disseminate képessége szövetségesre és ellenségre is varázsolható."

		"dota_tip_hero_shadow_fiend_1"		"Shadow Fiend halálakor a jelenlegi szintjének megfelelő ingyen Requiem of Soulst varázsol még akkor is, ha a képesség újratöltődésen van. Ez azonban kissé gyengébb lesz, mivel varázslás előtt elveszti a lelkeinek egy részét."
		"dota_tip_hero_shadow_fiend_2"		"Shadow Fiend Necromasteryje lényegi része sebzésokozásának. Halál után Shadow Fiend lényegesen gyengébb lesz, míg vissza nem nyeri elvesztett lelkeit."
		"dota_tip_hero_shadow_fiend_3"		"Shadow Fiend szakértő creepek és semlegesek nagyon gyors megölésében. E lehetőségek tőle való megtagadása jelentősen gátolja hatékonyságát a játék későbbi részében."
		"dota_tip_hero_shadow_fiend_4"		"Shadow Fiendnek viszonylag alacsony az életereje és a mozgékonysága. Sebzéslöketet okozó ellenségek elsődleges célpontja lehet."
		"dota_tip_hero_shadow_fiend_5"		"Shadow Fiend Requiem of Souls képességének hosszú a varázslási ideje. Shadow Fiend idő előtt megszakíthatja azt a jobb pozicionálás vagy időzítés érdekében, ellenségei pedig a varázslás során tudják megszakítani. A Requiem of Souls nem kerül újratöltődésre, míg varázslása teljesen be nem fejeződött."
		"dota_tip_hero_shadow_fiend_6"		"Hatalmas sebzésokozása azt jelenti, hogy Shadow Fiend sérülékeny lehet az ellenséges csapat által használt Blade Maillel szemben."

		"dota_tip_hero_shadow_shaman_1"		"Shadow Shaman Mass Serpent Wardjaira nem hat a sebzéskivédés, például egy Crimson Guardtól."

		"dota_tip_hero_shredder_1"			"Amikor Timbersaw Break hatása alatt áll, nem fog újabb Reactive Armor összeadódásokat kapni, de a már meglevő összeadódások továbbra is adnak páncélt és életerő-töltődést."

		"dota_tip_hero_skeleton_king_1"		"Wraith King Reincarnation képessége még akkor is aktiválódik, ha Wraith King Break hatása alatt áll. Akkor nem aktiválódik, ha Wraith Kingnek nincs elég manája. Az Aghanim's Shard nullára csökkenti a manaköltséget."

		"dota_tip_hero_skywrath_mage_1"		"Skywrath Mage Arcane Boltja jelentősen több sebzést okoz Skywrath intelligenciája alapján."

		"dota_tip_hero_slardar_1"			"Slardar Corrosive Haze képessége igazlátást és látómezőt ad a célponton."

		"dota_tip_hero_slark_1"				"Míg Slark a Shadow Dance hatása alatt áll, nem lehet felfedni igazlátással."

		"dota_tip_hero_sniper_1"			"Sniper Shrapnel képessége nem hat épületekre. Több Shrapnel hatása nem adódik össze ugyanazon a célponton."

		"dota_tip_hero_spectre_1"			"Spectre Dispersion képessége visszaveri az elszenvedett sebzés egy részét a körülötte levő összes ellenségre, ugyanolyan sebzéstípussal. A Spectre-hez közelebb eső egységekre több sebzést ver vissza, és ha több egység van körülötte, az nem csökkenti az egyes ellenségek által elszenvedett sebzést."

		"dota_tip_hero_spirit_breaker_1"	"Spirit Breaker Charge of Darkness képessége használható egy ellenség Linken's Sphere-jének beindítására bármilyen távolságból mindaddig, amíg Spirit Breaker látja a célpontot."

		"dota_tip_hero_storm_spirit_1"		"A Silence hatásos lehet egy nehezen eltalálható Storm Spirit leállítására."
		"dota_tip_hero_storm_spirit_2"		"Storm Spirit sebezhetetlen a Ball Lightning alatt, lehetővé téve számára, hogy kitérjen és lerázzon rengeteg bénítást és támadást."
		"dota_tip_hero_storm_spirit_3"		"A Ball Lightning alatt Storm Spirit használhat tárgyakat és képességeket, ami különösen hasznos gyanútlan ellenségeken való kezdeményezéskor, vagy a bázisra való visszateleportálás megkísérlésekor."
		"dota_tip_hero_storm_spirit_4"		"Az Overload Storm Spirit minden képességének használata után alkalmazásra kerül, beleértve a Ball Lightningot is. Minden képességhasználat után támadva maximalizálható Storm Spirit sebzésokozása."
		"dota_tip_hero_storm_spirit_5"		"A Ball Lightning nem csak remek mozgékonysági eszköz, de nagyszerű sebzésforrás is nagy távolságról használva. Ügyelni arra, hogy egy hosszú kezdeményezés eltaláljon egy ellenséget fontos komponense Storm Spirit sebzésének."
		"dota_tip_hero_storm_spirit_6"		"Storm Spirit nagyon manafüggő a harcban. A manamennyiségét támadó tárgyak és képességek, mint a Diffusal Blade vagy Nyx Assassin Vendettája pusztító lehet Storm Spirit számára."
		"dota_tip_hero_storm_spirit_7"		"Storm Spirit Ball Lightning alatti sebezhetetlensége azt jelenti, hogy teljesen figyelmen kívül hagyhatja a mozgásalapú varázslatok legtöbb negatív hatását, mint például Bloodseeker Rupture-je."

		"dota_tip_hero_sven_1"				"Sven Great Cleave képessége fizikai sebzést okoz egy területen a támadási célpont mögött. A páncél csökkenti a sebzést."
		"dota_tip_hero_sven_2"				"Sven Warcry képessége megnövelt mozgási sebességet és páncélt ad neki és szövetségeseinek."
		"dota_tip_hero_sven_3"				"Sven az ellenségekhez való közelségére támaszkodik az óriási sebzésmennyiség okozásához. Mozgékonyságának korlátozása olyan tárgyakkal, mint a Rod of Atos, vagy képességekkel, mint Nature's Prophet Sproutja, nagyszerű God's Strength képessége alatti sebzésének enyhítésére."
		"dota_tip_hero_sven_4"				"Sven sebzésének nagyja fizikai támadásaiból ered, és lefegyverzésekkel, például a Heaven's Halberdével meggátolható."
		"dota_tip_hero_sven_5"				"Sven támadásainak elkerülése kitérés-forrásokkal, mint például a Butterfly vagy a Heaven's Halberd, vagy a fizikai immunitás, például Ghost Scepterrel, hatékony módok Sven sebzésének túlélésére."
		"dota_tip_hero_sven_6"				"Sven God's Strength-je nem csak a csapatharcokban lehet hasznos, de célok elérésében is, mint ellenséges tornyok lerombolása vagy Roshan megölése."

		"dota_tip_hero_techies_2"			"A Techies Blast Off! képessége az ugrás alatt megszakítható a Techiesre kényszerített mozgáshatásokkal (mint a Force Staff vagy Rubick Telekinesise)."

		"dota_tip_hero_templar_assassin_1"	"Templar Assassin Refraction képessége bizonyos számú sebzéspéldányt blokkol, függetlenül attól, mennyi sebzést okozna az az adott példány."

		"dota_tip_hero_tidehunter_1"		"Tidehunter Kraken Shell képessége nagyon megnehezíti, hogy megakadályozzák őt a Ravage használatában, mivel elegendő sebzés okozása neki erős megszüntetést fog aktiválni, ami eltávolítja róla a bénításokat és az egyéb magatehetetlenné tevő hatások többségét."

		"dota_tip_hero_tinker_1"			"Tinker Heat Seeking Missiles képessége csak olyan célpontokat fog be, amelyekre Tinkernek a varázsláskor látómezeje van. A háború ködébe futás nem fogja lerázni azokat."

		"dota_tip_hero_tiny_2"				"Tiny Toss képessége megszakítja a fenntartott képességeket, még a szövetséges hősök által varázsoltakat is."
		"dota_tip_hero_tiny_3"				"Tiny Tree Grab képességének szétterülő sebzése fizikai, amit a páncél és a sebzéskivédések csökkentenek."
		"dota_tip_hero_tiny_4"				"A játék elején Tiny gyakran nagyon halálos mennyiségű mágikus sebzést okoz, amit enyhíteni lehet Infused Raindrops használatával."
		"dota_tip_hero_tiny_5"				"A játék kései szakaszában Tiny hirtelen sebzéskitörései Aeon Disk használatával megakadályozhatók."
		"dota_tip_hero_tiny_6"				"Tinynak nagyon alacsony támadási sebessége van, így tárgyakra és szövetségesei támadási sebességerősítéseire támaszkodik magas sebzésének fenntartásában."

		"dota_tip_hero_troll_warlord_1"		"Troll Warlord Fervor képessége nem kap példányokat, amikor a támadásait elkerülik, ami hatásos módszerré teszi a kitérést sebzésokozásának lelassítására."

		"dota_tip_hero_tusk_1"				"Tusk Snowballja mindegyik benne levő hős után több sebzést okoz."

		"dota_tip_hero_undying_1"			"Undying Tombstone-ja a közeli láthatatlan egységekhez nem hoz létre zombikat, és a zombik elpusztulnak, ha az egység, amelyet követtek, láthatatlanná válik."

		"dota_tip_hero_ursa_1"				"Ursa Fury Swipes képességének hatására minden egyes támadása egyazon célponton többet sebez az előzőnél. Ez Roshan ellen is hatásos, épületek ellen viszont nem."

		"dota_tip_hero_vengeful_spirit_2"	"Vengeful Spirit Nether Swapja megszakítja a fenntartott varázslatokat szövetségeseken valamint ellenségeken."

		"dota_tip_hero_viper_1"				"Viper Viper Strike képessége Breaket okoz a célpontokon, ami kiiktatja a passzív képességeket. Ez nagyon hatásos lehet olyan hősök ellen, mint Bristleback."

		"dota_tip_hero_visage_1"			"Visage Gravekeeper's Cloak képességének hatásossága csökken, ahogy játékosok sebzik Visage-t, de hamar helyreáll. A Gravekeeper's Cloak Visage familiárisaira is hat."
		"dota_tip_hero_visage_3"			"Visage Grave Chillje támadási- és mozgási sebességbónuszokat is ad a közeli familiárisoknak."
		"dota_tip_hero_visage_4"			"Visage familiárisai el tudják pusztítani a fákat a Stone Form fák fölötti varázslásával."

		"dota_tip_hero_warlock_1"			"Warlock Fatal Bonds képessége miatt az áldozatok által elszenvedett sebzés megoszlik köztük, az áldozatok közötti távolságtól függetlenül."

		"dota_tip_hero_weaver_1"			"Weaver The Swarm képességének bogarai fizikai sebzést okoznak, ami páncéllal enyhíthető, kitéréssel és sebzéskivédéssel viszont nem."

		"dota_tip_hero_windrunner_1" 		"Windranger dönthet úgy, hogy nem támadja Focus Fire célpontját, egy másik célpontot támadva vagy „Jelenlegi cselekvés visszavonását” használva."

		"dota_tip_hero_winter_wyvern_1"		"Winter Wyvern Splinter Blastjának szilánkjai eltalálják a láthatatlan, valamint a háború ködében levő egységeket."
		"dota_tip_hero_winter_wyvern_2"		"Winter Wyvern Winter's Curse képessége meggátolja, hogy a hatása alatt álló ellenségek Winter Wyvernen és az általa uralt egységeken kívül bárkitől sebzést szenvedjenek."

		"dota_tip_hero_wisp_1"				"Míg Io egy szövetségeshez van kötve, ugyanolyan sebességgel mozog, mint az a szövetséges."

		"dota_tip_hero_zuus_1"				"Zeus Lightning Bolt képessége varázsolható a földre közeli láthatatlan egységek felfedésére, a wardokat is beleértve."
		
	}
}
