"lang"
{ 
	"Language" "korean" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"체력"					// $health
		"dota_ability_variable_mana"				"마나"						// $mana
		"dota_ability_variable_armor"				"방어력"						// $armor
		"dota_ability_variable_damage"				"피해"					// $damage
		"dota_ability_variable_str"					"힘"					// $str
		"dota_ability_variable_int"					"지능"				// $int
		"dota_ability_variable_agi"					"민첩"					// $agi
		"dota_ability_variable_all"					"모든 능력치"			// $all
		"dota_ability_variable_primary_attribute"	"주 능력치"			// $primary_attribute
		"dota_ability_variable_attack"				"공격 속도"				// $attack
		"dota_ability_variable_attack_pct"			"기본 공격 속도 백분율"	// $attack_pct
		"dota_ability_variable_hp_regen"			"체력 재생"		// $hp_regen
		"dota_ability_variable_lifesteal"			"흡혈"					// $lifesteal
		"dota_ability_variable_mana_regen"			"마나 재생"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"마나 재생의 오라"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"주문 피해"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"약화 효과 지속시간"			// $debuff_amp
		"dota_ability_variable_move_speed"			"이동 속도"			// $move_speed
		"dota_ability_variable_evasion"				"회피"					// $evasion
		"dota_ability_variable_spell_resist"		"마법 저항력"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"주문 흡혈"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_spell_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_spell_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_spell_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_selected_attrib"		"선택 능력치"		// $selected_attribute
		"dota_ability_variable_attack_range"		"공격 범위<font color='#7d7d7d'>(원거리만)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"공격 범위 <font color='#7d7d7d'>(근접만)</font>"	// $attack_range_melee
		"DOTA_Tooltip_ability_terrorblade_conjure_image_illusion_duration"					"환영 지속시간:"
		"DOTA_Tooltip_ability_terrorblade_conjure_image_illusion_outgoing_tooltip"			"%환영 피해:"
		"DOTA_Tooltip_ability_terrorblade_conjure_image_illusion_incoming_damage_total_tooltip"			"%환영이 받는 피해:"
		"DOTA_Tooltip_ability_terrorblade_conjure_image_hp_cost_perc"						"%현재 소모 체력:"
		"DOTA_Tooltip_ability_terrorblade_metamorphosis"									"탈바꿈"
		"DOTA_Tooltip_ability_terrorblade_metamorphosis_Description"						"테러블레이드가 강력한 악마로 변신하여 원거리 공격 능력을 갖춥니다. %metamorph_aura_tooltip% 범위 내에 있는 테러블레이드의 환영도 함께 탈바꿈합니다."
		"DOTA_Tooltip_ability_terrorblade_metamorphosis_abilitydraft_note"					"<span class=\"ADBlue\">홀:</span> <span class=\"ADWhite\"><b>탈바꿈</b></span>의 자동 시전을 켜서 <span class=\"ADWhite\"><b>공포의 파동</b></span>을 사용할 수 있습니다."
		"DOTA_Tooltip_ability_terrorblade_metamorphosis_Lore"								"참고 또 참아야 할지니... 분노가 끓어올라 온 정신을 지배합니다. 테러블레이드의 가장 악독한 자아를 만나 보십시오."
		"DOTA_Tooltip_ability_terrorblade_metamorphosis_duration"							"지속시간:"
		"DOTA_Tooltip_ability_terrorblade_metamorphosis_transformation_time"				"변신 시간:"
		"DOTA_Tooltip_ability_terrorblade_metamorphosis_base_attack_time"					"기본 공격 시간:"
		"DOTA_Tooltip_ability_terrorblade_metamorphosis_tooltip_attack_range"				"공격 범위:"
		"DOTA_Tooltip_ability_terrorblade_metamorphosis_bonus_damage"						"보너스 피해:"
		"DOTA_Tooltip_ability_terrorblade_metamorphosis_metamorph_aura_tooltip"		"환영 오라 반경:"
		"DOTA_Tooltip_ability_terrorblade_metamorphosis_Note0"							"원거리와 근접 유닛에게 다르게 적용되는 아이템의 쿨다운은 사용 시 테러블레이드가 어떤 형상인지에 따라 다르게 적용됩니다."
		"DOTA_Tooltip_ability_terrorblade_sunder"											"분리"
		"DOTA_Tooltip_ability_terrorblade_sunder_Description"								"자신과 대상 영웅에게서 생명을 분리해 내고 현재 체력의 일정 비율을 서로 교환합니다. 영혼은 영웅의 체력을 백분율로 지닌 채 전달됩니다. 최소한의 체력은 꼭 남습니다."
		"DOTA_Tooltip_ability_terrorblade_sunder_Facet_terrorblade_condemned"			"분리가 시전된 적에게는 최소 체력 한도가 없습니다."
		"DOTA_Tooltip_ability_terrorblade_sunder_Note0"										"약화 효과 면역인 적은 체력이 변경되지 않습니다."
		"DOTA_Tooltip_ability_terrorblade_sunder_Lore"										"'그 생명 필요 없지 않았나? 악마 무법자는 가장 소중한 것을 빼앗습니다."
		"DOTA_Tooltip_ability_terrorblade_sunder_hit_point_minimum_pct"						"%최소 교환 체력:"
		
		"DOTA_Tooltip_ability_terrorblade_terror_wave"									"공포의 물결"
		"DOTA_Tooltip_ability_terrorblade_terror_wave_Description"              "모든 방향으로 뻗어 나가는 파동을 내뿜습니다. 적 영웅은 닿는 순간 공포에 질리며 피해를 받고, 테러블레이드는 짧은 시간 동안 탈바꿈 상태가 됩니다."
		"DOTA_Tooltip_ability_terrorblade_terror_wave_damage"					"피해:"
		"DOTA_Tooltip_ability_terrorblade_terror_wave_fear_duration"					"공포 지속시간:"
		"DOTA_Tooltip_ability_terrorblade_terror_wave_scepter_radius"					"반경:"
		"DOTA_Tooltip_ability_terrorblade_terror_wave_scepter_meta_duration"			"탈바꿈 지속시간:"

		"DOTA_Tooltip_ability_terrorblade_demon_zeal"									"악마의 열의"
		"DOTA_Tooltip_ability_terrorblade_demon_zeal_Description"              "현재 보유한 체력 일부를 소모하여 시전하면, 테러블레이드 자신과 주위 환영에게 보너스 이동 속도, 체력 재생, 공격 속도를 제공합니다. 투영 환영은 보너스의 %reflection_pct%%%를 얻습니다. 탈바꿈 상태일 때는 시전할 수 없으며, 탈바꿈을 시전하면 악마의 열의가 제거됩니다."
		"DOTA_Tooltip_ability_terrorblade_demon_zeal_health_cost_pct"		"%현재 체력 비용:"
		"DOTA_Tooltip_ability_terrorblade_demon_zeal_hp_regen"		"보너스 체력 재생:"
		"DOTA_Tooltip_ability_terrorblade_demon_zeal_berserk_bonus_movement_speed"		"보너스 이동 속도:"
		"DOTA_Tooltip_ability_terrorblade_demon_zeal_berserk_bonus_attack_speed"		"보너스 공격 속도:"
		"DOTA_Tooltip_ability_terrorblade_demon_zeal_duration"				"지속시간:"

		"DOTA_Tooltip_ability_terrorblade_dark_unity"									"어둠의 통합"
		"DOTA_Tooltip_ability_terrorblade_dark_unity_Description"						"범위 안에서 테러블레이드가 조종하는 환영은 피해 보너스를 받습니다. 범위 밖의 환영은 공격력 불이익을 받습니다."
		"DOTA_Tooltip_ability_terrorblade_dark_unity_radius"							"반경:"
		"DOTA_Tooltip_ability_terrorblade_dark_unity_inside_radius_bonus_damage_pct"	"%피해 보너스:"
		"DOTA_Tooltip_ability_terrorblade_dark_unity_outside_radius_bonus_damage_pct"	"%피해 불이익:"

		"DOTA_Tooltip_Facet_terrorblade_soul_fragment"							"영혼 조각"		
		"DOTA_Tooltip_Facet_terrorblade_soul_fragment_Description"				"환영 창조가 언제나 체력이 최대인 상태로 환영을 생성하며 마나 대신 체력을 소모합니다."
		"DOTA_Tooltip_Facet_terrorblade_condemned"							"유죄 선고"		
		"DOTA_Tooltip_Facet_terrorblade_condemned_Description"						"분리가 시전된 적에게는 최소 체력 한도가 없습니다."

		"DOTA_Tooltip_modifier_terrorblade_dark_unity"						"어둠의 통합"
		"DOTA_Tooltip_modifier_terrorblade_dark_unity_Description"			"테러블레이드에게 가까이 있으면 보너스를 받고 가까이 있지 않으면 공격력 불이익을 받음"

		"DOTA_Tooltip_modifier_terrorblade_reflection_slow"					"투영"
		"DOTA_Tooltip_modifier_terrorblade_reflection_slow_Description"		"이동 속도 %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% 감소, 테러블레이드의 환영에 공격받음"
		"DOTA_Tooltip_modifier_terrorblade_metamorphosis"					"탈바꿈"
		"DOTA_Tooltip_modifier_terrorblade_metamorphosis_Description"		"강력한 악마 형상으로 원거리 공격 능력을 갖춤"
		"DOTA_Tooltip_modifier_terrorblade_metamorphosis_transform_aura"					"탈바꿈"
		"DOTA_Tooltip_modifier_terrorblade_metamorphosis_transform_aura_Description"		"강력한 악마 형상으로 원거리 공격 능력을 갖춤"
		"DOTA_Tooltip_modifier_terrorblade_metamorphosis_transform_aura_applier"					"탈바꿈 오라"
		"DOTA_Tooltip_modifier_terrorblade_metamorphosis_transform_aura_applier_Description"					"주위 환영들도 테러블레이드의 현재 형상에 맞게 변화함"
		"DOTA_Tooltip_modifier_terrorblade_fear"							"공포"
		"DOTA_Tooltip_modifier_terrorblade_fear_Description"				"테러블레이드의 탈바꿈으로 공포에 걸림"
		"DOTA_Tooltip_modifier_terrorblade_demon_zeal"				"악마의 열의"
		"DOTA_Tooltip_modifier_terrorblade_demon_zeal_Description"	"이동 속도와 공격 속도 보너스 부여"
		"DOTA_Tooltip_modifier_terrorblade_demon_zeal_aura"			"악마의 열의"
		"DOTA_Tooltip_modifier_terrorblade_demon_zeal_aura_Description"	"테러블레이드와 주위 환영에게 이동 속도 및 공격 속도 보너스 부여 중"
		
		// ORACLE
		"DOTA_Tooltip_ability_oracle_fortunes_end"							"행운의 끝"
		"DOTA_Tooltip_ability_oracle_fortunes_end_Description"				"집중 기술 - 예지자가 힘을 정제의 에너지 줄기로 모읍니다. 이 에너지를 내보내면 피해를 주고 묶은 다음 대상 주변에 있는 적의 강화 효과를 해제합니다. 대상이 아군이면 약화 효과만 해제합니다. 묶기 지속시간은 정신 집중 시간과 일치합니다.\n\n해제 유형: 기본 해제"
		"DOTA_Tooltip_ability_oracle_fortunes_end_Lore"						"원 에너지가 뻗어 나올 때 별의 구체가 힘으로 요동치며 일시적으로 적 한 명과 신체와의 연결을 방해합니다."
		"DOTA_Tooltip_ability_oracle_fortunes_end_channel_time"					"최대 집중 시전 시간:"
		"DOTA_Tooltip_ability_oracle_fortunes_end_damage"					"피해:"
		"DOTA_Tooltip_ability_oracle_fortunes_end_radius"					"반경:"
		"DOTA_Tooltip_ability_oracle_fortunes_end_minimum_purge_duration"	"최소 묶기 지속시간:"
		"DOTA_Tooltip_ability_oracle_fortunes_end_maximum_purge_duration"	"최대 묶기 지속시간:"
		"DOTA_Tooltip_ability_oracle_fortunes_end_Note0"					"무적 상태의 유닛에게 시전할 수 있습니다."
		"DOTA_Tooltip_ability_oracle_fates_edict"							"운명의 칙령"
		"DOTA_Tooltip_ability_oracle_fates_edict_Description"				"예지자가 대상 하나를 황홀경에 빠뜨립니다. 대상이 적이면 무장 해제하고, 아군이면 %magic_damage_resistance_pct_tooltip%%%의 마법 저항력을 부여합니다."
		"DOTA_Tooltip_ability_oracle_fates_edict_scepter_Description"		"운명의 칙령으로 아군이 무장 해제되거나 적이 마법 피해에 면역 상태가 되지 않습니다."
		"DOTA_Tooltip_ability_oracle_fates_edict_Lore"						"깨지지 않는 예언 한 자락이 울려 퍼진다. 선택받은 동맹은 잠시 마법의 고통에서 벗어난다. 그러나 다른 고통은..."
		"DOTA_Tooltip_ability_oracle_fates_edict_duration"					"지속시간:"
		"DOTA_Tooltip_ability_oracle_purifying_flames"						"정화의 불길"
		"DOTA_Tooltip_ability_oracle_purifying_flames_Description"			"부정함을 태워 대상에게 큰 마법 피해를 준 다음 시간이 지나면서 체력을 회복시킵니다. 지속시간 동안 재생되는 체력이 최초 받은 피해보다 많습니다. 아군과 적군에게 사용할 수 있습니다."
		"DOTA_Tooltip_ability_oracle_purifying_flames_Lore"					"거울 회랑이 촛불 하나의 빛을 증폭시키듯, 우주의 부서진 벽은 예언의 빛을 타오르는 횃불로 변형시킵니다."
		"DOTA_Tooltip_ability_oracle_purifying_flames_damage"				"피해:"
		"DOTA_Tooltip_ability_oracle_purifying_flames_heal_per_second"		"초당 체력 회복:"
		"DOTA_Tooltip_ability_oracle_purifying_flames_total_heal_tooltip"		"총 치유:"
		"DOTA_Tooltip_ability_oracle_purifying_flames_duration"				"지속시간:"
		"DOTA_Tooltip_ability_oracle_purifying_flames_cooldown_scepter"		"홀 쿨다운:"
		"DOTA_Tooltip_ability_oracle_purifying_flames_castpoint_scepter"		"홀 장착 시 시전 지점:"
		"DOTA_Tooltip_ability_oracle_purifying_flames_Note0"				"정화의 불길로 주는 피해는 개별 중첩됩니다."
		"DOTA_Tooltip_ability_oracle_purifying_flames_Note1"				"아군은 정화의 불길로 주는 피해에 의해 죽지 않습니다."
		"DOTA_Tooltip_ability_oracle_false_promise"							"거짓 약속"
		"DOTA_Tooltip_ability_oracle_false_promise_Description"				"아군 한 명의 운명을 일시적으로 바꿉니다. 거짓 약속 효과가 지속하는 동안 모든 치유와 받는 피해 효과가 지연됩니다. 거짓 약속으로 지연된 치유 효과는 증폭됩니다. 최초 시전 시 해로운 상태 효과와 무력화 상태를 대부분 제거합니다. \n\n해제 유형: 강한 해제"
		"DOTA_Tooltip_ability_oracle_false_promise_scepter_description"		"거짓 약속 시 %shard_fade_time%초의 투명화 지연 시간이 적용되며, 아군에게 보너스 주문 공격력 %shard_spell_amp_bonus%%%를 부여하고 %shard_bat_bonus%의 기본 공격 시간 감소를 적용합니다."
		"DOTA_Tooltip_ability_oracle_false_promise_Lore"					"적과 거짓 예언자는 인간의 운명에 대해 거짓말을 합니다."
		"DOTA_Tooltip_ability_oracle_false_promise_duration"				"지속시간:"
		"DOTA_Tooltip_ability_oracle_false_promise_Note0"					"지연된 피해와 치유 효과는 해당 효과를 받았을 때의 방어력과 마법 저항력 감소를 고려하여 적용됩니다."
		"DOTA_Tooltip_ability_oracle_false_promise_Note1"					"지연된 피해와 치유는 대상이 무적 상태에서 벗어나자마자 적용됩니다."
		"DOTA_Tooltip_ability_oracle_false_promise_heal_amp_pct"						"%지연된 치유 증폭:"
		"DOTA_Tooltip_modifier_oracle_fortunes_end_purge"								"행운의 끝 묶기"
		"DOTA_Tooltip_modifier_oracle_fortunes_end_purge_Description"								"강화 효과가 해제된 다음 묶임"
		"DOTA_Tooltip_modifier_oracle_fates_edict"										"운명의 칙령"
		"DOTA_Tooltip_modifier_oracle_fates_edict_Description"				"무장 해제, 마법 피해 저항력 %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%% 증가"
		"DOTA_Tooltip_modifier_oracle_purifying_flames"					"정화의 불길 치유"
		"DOTA_Tooltip_modifier_oracle_purifying_flames_Description"					"정화의 불길로 치유받음"
		"DOTA_Tooltip_modifier_oracle_false_promise_timer"						"거짓 약속"
		"DOTA_Tooltip_modifier_oracle_false_promise_timer_Description"		"거짓 약속 효과가 지속하는 동안 모든 치유 및 피해 효과가 지연, 지연된 치유 효과는 두 배로 적용됨"

		"DOTA_Tooltip_ability_oracle_clairvoyant_curse"						"투시 저주"
		"DOTA_Tooltip_ability_oracle_clairvoyant_curse_Description"			"주문 증폭이 영웅 레벨당%spell_amplification%%% 증가합니다."
		"DOTA_Tooltip_ability_oracle_clairvoyant_cure"						"투시 치료"
		"DOTA_Tooltip_ability_oracle_clairvoyant_cure_Description"			"치유 증폭이 영웅 레벨당 %heal_amplification%%% 증가합니다."

		"DOTA_Tooltip_ability_oracle_rain_of_destiny"							"운명의 비"
		"DOTA_Tooltip_ability_oracle_rain_of_destiny_Description"				"대상 지역에 비를 내립니다. 범위 안에 있는 적은 피해를 받고 치유 증폭 효과가 감소합니다. 범위 안에 있는 아군은 체력을 회복하고 받는 치유 증폭 효과가 증가합니다."
		"DOTA_Tooltip_ability_oracle_rain_of_destiny_Lore"						"영적 세계와 대기를 섞어버림으로써, 네리프는 단 하나의 현실을 왜곡하여 역설적 정렬을 이루어냅니다."
		"DOTA_Tooltip_ability_oracle_rain_of_destiny_radius"					"반경:"
		"DOTA_Tooltip_ability_oracle_rain_of_destiny_duration"					"지속시간:"
		"DOTA_Tooltip_ability_oracle_rain_of_destiny_damage"					"초당 피해/치유:"
		"DOTA_Tooltip_ability_oracle_rain_of_destiny_heal_amp"					"%치유 증폭:"
		"DOTA_Tooltip_modifier_oracle_rain_of_destiny"					"운명의 비"
		"DOTA_Tooltip_modifier_oracle_rain_of_destiny_Description"		"치유 증폭 효과 %dMODIFIER_PROPERTY_HEAL_AMPLIFY_PERCENTAGE_TARGET%%%만큼 아군은 증가, 적은 감소"
		
		"DOTA_Tooltip_Ability_oracle_prognosticate"				"예견"
		"DOTA_Tooltip_Ability_oracle_prognosticate_Description"	"예지자가 다음 강화 룬이 생성되는 위치(상부 또는 하부)를 예측하고 아군에게 알려줍니다."
		"DOTA_Tooltip_modifier_oracle_prognosticate"				"예견"
		"DOTA_Tooltip_modifier_oracle_prognosticate_Description"	"예지자가 다음 강화 룬이 생성되는 위치를 예측할 수 있습니다! Alt 클릭으로 팀에 알려주세요."
		
		// TECHIES
		"DOTA_Tooltip_ability_techies_land_mines"						"근접 지뢰"
		"DOTA_Tooltip_ability_techies_land_mines_Lore"			"토터린이 파멸한 이유가 바로 이거지!"
		"DOTA_Tooltip_ability_techies_land_mines_Description"			"투명 지뢰를 설치합니다. 지뢰는 진실의 시야로 감지되지는 않지만, 발동하는 %radius% 효과 범위 안에 적이 들어오면 보입니다. 적이 %proximity_threshold%초 동안 발동 효과 범위 안에 서 있으면 지뢰가 폭발하며 피해를 주고 일시적으로 적의 마법 저항력을 감소시킵니다. 대상이 %min_distance% 반경 안에 있으면 전체 피해량을 모두 적용하고, 가장자리에서는 최대 %outer_damage%%% 감소합니다. 건물에는 %building_damage_pct%%%의 피해를 줍니다."
		"DOTA_Tooltip_ability_techies_land_mines_damage"				"피해:"
		"DOTA_Tooltip_ability_techies_land_mines_radius"	            "폭발 반경:"
		"DOTA_Tooltip_ability_techies_land_mines_building_damage_pct"   "%건물 피해:"
		"DOTA_Tooltip_ability_techies_land_mines_activation_delay"		"활성화 지연시간:"
		"DOTA_Tooltip_ability_techies_land_mines_mres_reduction"		"%마법 저항력 감소:"
		"DOTA_Tooltip_ability_techies_land_mines_burn_duration"			"약화 효과 지속시간:"
		"DOTA_Tooltip_ability_techies_land_mines_Note0"					"다른 근접 지뢰의 효과 범위 %placement_radius% 안에 설치할 수 없습니다."
		"DOTA_Tooltip_ability_techies_land_mines_Note1"					"근접 지뢰는 중립 크립 야영지에서 크립 생성을 방해하지 않습니다."
		"DOTA_Tooltip_ability_techies_land_mines_Note2"					"폭발하거나 파괴되기 전에는 사라지지 않습니다."
		"DOTA_Tooltip_ability_techies_land_mines_Note3"					"지뢰는 투명 유닛으로도 발동합니다."
		"DOTA_Tooltip_ability_techies_land_mines_Note4"					"적 영웅이 파괴하면 30골드를 획득합니다."
		"DOTA_Tooltip_ability_techies_land_mines_abilitydraft_note"		"지뢰밭 표지 능력도 부여합니다."
		"DOTA_Tooltip_ability_techies_stasis_trap"						"정지 덫"
		"DOTA_Tooltip_ability_techies_stasis_trap_Description"			"발동 시 즉시 주위 적 유닛을 묶는 투명 덫을 설치합니다."
		"DOTA_Tooltip_ability_techies_stasis_trap_Lore"			"덫사냥꾼 마을을 무너뜨린 그 재앙이야!"
		"DOTA_Tooltip_ability_techies_stasis_trap_activation_radius"	"발동 반경:"
		"DOTA_Tooltip_ability_techies_stasis_trap_stun_duration"		"묶기 지속시간:"
		"DOTA_Tooltip_ability_techies_stasis_trap_stun_radius"		    "묶기 반경:"
		"DOTA_Tooltip_ability_techies_stasis_trap_fade_time"		    "덫 투명화 진입 시간:"
		"DOTA_Tooltip_ability_techies_stasis_trap_cast_range_scepter_bonus"	"홀 장착 시 보너스 시전 범위:"
		"DOTA_Tooltip_ability_techies_stasis_trap_scepter_description"	"시전 범위가 증가합니다."
		"DOTA_Tooltip_ability_techies_stasis_trap_Note0"				"정지 덫이 폭발하면 효과 범위 안에 있는 다른 정지 덫이 모두 파괴됩니다."
		"DOTA_Tooltip_ability_techies_stasis_trap_Note1"				"투명 유닛으로는 정지 덫이 발동하지 않습니다."
		"DOTA_Tooltip_ability_techies_stasis_trap_Note2"				"정지 덫은 중립 크립 야영지에서 크립 생성을 방해하지 않습니다."
		"DOTA_Tooltip_ability_techies_suicide"							"날려 버려!"
		"DOTA_Tooltip_ability_techies_suicide_Description"				"기술단이 적진 한가운데로 돌진하여, 충돌하면서 폭약을 터뜨려 아주 넓은 범위에서 적에게 피해를 주고 기절시킵니다. 착륙 시, 돌격 자체로 기술단은 현재 체력의 일정 비율에 해당하는 양으로 치명적이지 않은 피해를 받습니다."
		"DOTA_Tooltip_ability_techies_suicide_Facet_techies_spleens_secret_sauce"	"날려 버려! 피해와 기술단 스스로 받는 피해가 증가했습니다."
		"DOTA_Tooltip_ability_techies_suicide_shard_description"		"날려 버려!의 시전 범위가 %shard_bonus_cast_range% 증가하고 영향 받은 적을 %shard_stun_duration%초 동안 기절시킵니다."
		"DOTA_Tooltip_ability_techies_suicide_Lore"				"우리 어디 가?"
		"DOTA_Tooltip_ability_techies_suicide_damage"					"전체 피해:"
		"DOTA_Tooltip_ability_techies_suicide_radius"				    "폭발 반경:"
		"DOTA_Tooltip_ability_techies_suicide_stun_duration"			"기절 지속시간:"
		"DOTA_Tooltip_ability_techies_suicide_hp_cost"				    "%현재 체력 자기 피해:"
		"DOTA_Tooltip_ability_techies_suicide_hp_dmg"					"%보너스 피해로 적용되는 최대 체력:"
		"DOTA_Tooltip_ability_techies_suicide_Note0"			"이 폭발에서 기술단 스스로 받는 피해는 순수 피해이며 치명적이지 않습니다."
		"DOTA_Tooltip_ability_techies_suicide_Note1"			"이 기술은 나무를 파괴합니다."
		"DOTA_Tooltip_ability_techies_sticky_bomb"						"끈끈이 폭탄"
		"DOTA_Tooltip_ability_techies_sticky_bomb_Description"			"대상 지역에 끈끈이 폭탄을 던집니다. 적 영웅 옆에 떨어지면, 폭탄이 해당 유닛에 달라붙어 이동 속도를 느려지게 합니다. 몇 초 후, 폭탄은 폭발하며 폭발 지점 주변 지역에 피해를 주고 %secondary_slow_duration%초 동안 2차로 둔화 효과를 적용합니다."
		"DOTA_Tooltip_ability_techies_sticky_bomb_Lore"			"그토록 혁명적으로 기발한 재치는 널리 공유되어야 합니다."
		"DOTA_Tooltip_ability_techies_sticky_bomb_radius"				"달라붙기 반경:"
		"DOTA_Tooltip_ability_techies_sticky_bomb_countdown"			"폭발 지연:"
		"DOTA_Tooltip_ability_techies_sticky_bomb_slow"					"%이동 둔화:"
		"DOTA_Tooltip_ability_techies_sticky_bomb_secondary_slow"					"%2차 이동 둔화:"
		"DOTA_Tooltip_ability_techies_sticky_bomb_explosion_radius"		"폭발 반경:"
		"DOTA_Tooltip_ability_techies_sticky_bomb_damage"				"피해:"
		"DOTA_Tooltip_ability_techies_reactive_tazer"						"고반응성 충격기"
		"DOTA_Tooltip_ability_techies_reactive_tazer_shard_description"		"고반응성 충격기를 아군에게 시전할 수 있습니다. 폭발 시 피해를 주며, 영향받은 아군을 공격하는 적에게도 피해를 줍니다."
		"DOTA_Tooltip_ability_techies_reactive_tazer_shard_damage"			"피해:"
		"DOTA_Tooltip_ability_techies_reactive_tazer_Description"			"기술단이 전하를 발동하여 짧은 시간 동안 보너스 이동 속도를 얻습니다. 기술단을 공격하는 적은 일시적으로 무장 해제되고 기본 해제가 적용됩니다. 효과가 끝날 때, 전하가 폭발하며 반경 안에 있는 적이 모두 무장 해제됩니다."
		"DOTA_Tooltip_ability_techies_reactive_tazer_Lore"			"폭탄을 꽉 잡고 있으려면 개인 공간이 넉넉하게 있는 것이 좋습니다."
		"DOTA_Tooltip_ability_techies_reactive_tazer_duration"				"강화 효과 지속시간:"
		"DOTA_Tooltip_ability_techies_reactive_tazer_stun_radius"			"폭발 반경:"
		"DOTA_Tooltip_ability_techies_reactive_tazer_disarm_duration"		"무장 해제 지속시간:"
		"DOTA_Tooltip_ability_techies_reactive_tazer_bonus_ms"				"%이동 보너스:"
		"DOTA_Tooltip_ability_techies_reactive_tazer_stop"					"충격기 터뜨리기"
		"DOTA_Tooltip_ability_techies_reactive_tazer_stop_Description"		"고반응성 충격기를 즉시 터뜨립니다."


		"DOTA_Tooltip_ability_techies_remote_mines"						"원격 지뢰"
		"DOTA_Tooltip_ability_techies_remote_mines_Description"			"발동 시 짧은 지연 후 폭발하는 투명 폭탄을 설치합니다. 건물에는 피해를 주지 않습니다."
		"DOTA_Tooltip_ability_techies_remote_mines_scepter_description"	"피해와 시전 범위가 증가합니다."
		"DOTA_Tooltip_ability_techies_remote_mines_abilitydraft_note"	"지뢰밭 표지 능력도 부여합니다."
		"DOTA_Tooltip_ability_techies_remote_mines_Lore"				"준설만이 몰락한 이유입니다!"
		"DOTA_Tooltip_ability_techies_remote_mines_radius"				"폭발 반경:"
		"DOTA_Tooltip_ability_techies_remote_mines_damage"				"피해:"
		"DOTA_Tooltip_ability_techies_remote_mines_activation_time"		"투명화 진입 시간:"
		"DOTA_Tooltip_ability_techies_remote_mines_duration"			"지뢰 지속시간:"
		"DOTA_Tooltip_ability_techies_remote_mines_cast_range_scepter_bonus"	"홀 장착 시 보너스 시전 범위:"
		"DOTA_Tooltip_ability_techies_remote_mines_damage_scepter"		"홀 피해:"
		"DOTA_Tooltip_ability_techies_remote_mines_Note0"					"적 영웅이 파괴하면 10골드를 획득합니다."
		"DOTA_Tooltip_ability_techies_focused_detonate"					"집중 폭발"
		"DOTA_Tooltip_ability_techies_focused_detonate_Description"		"대상 지역에 있는 원격 지뢰를 모두 폭발시킵니다."
		"DOTA_Tooltip_ability_techies_focused_detonate_Lore"		"도화선을 전부 불붙일 수 있는데 하나만 붙일 이유가 있겠어?"
		"DOTA_Tooltip_ability_techies_focused_detonate_radius"			"반경:"
		"DOTA_Tooltip_ability_techies_remote_mines_self_detonate"			"정밀조준점 폭발"
		"DOTA_Tooltip_ability_techies_remote_mines_self_detonate_Description"			"선택한 원격 지뢰를 모두 터뜨립니다."
		"DOTA_Tooltip_ability_techies_remote_mines_self_detonate_Lore"			"무너진다!"
		"DOTA_Tooltip_ability_techies_minefield_sign"						"지뢰밭 표지"
		"DOTA_Tooltip_ability_techies_minefield_sign_Description"			"경고 표지를 설치합니다. 해당 반경 안에 있는 끈끈이 폭탄과 근접 지뢰는 무적 상태가 되고 피해를 %bonus_mine_damage_pct%%% 더 줍니다. 표지는 동시에 하나만 존재할 수 있습니다. %lifetime%초 동안 지속합니다. "
		"DOTA_Tooltip_ability_techies_minefield_sign_lifetime"				"표지 지속시간:"
		"DOTA_Tooltip_ability_techies_minefield_sign_Lore"					"발밑을 조심해!"
		"DOTA_Tooltip_ability_techies_minefield_sign_aura_radius"			"효과 반경:"
		"DOTA_Tooltip_ability_techies_minefield_sign_scepter_description"	"지뢰밭 표지의 반경과 지속시간이 증가합니다. 적 영웅이 지뢰밭 표지의 %trigger_radius% 유닛 거리 안으로 들어오면, 표지 주변 %aura_radius% 유닛 범위가 %minefield_duration%초 동안 지뢰밭이 되어 진입 즉시 적 유닛에게 피해를 줍니다. 효과가 끝난 후, 지뢰밭 표지는 파괴됩니다."
		"DOTA_Tooltip_ability_techies_minefield_sign_scepter_move_damage"	"피해:"
		"DOTA_Tooltip_ability_techies_minefield_sign_scepter_move_amt"		"발동하는 이동 거리:"	


		"DOTA_Tooltip_ability_techies_squees_scope"						"스퀴의 관찰경"
