"lang"
{ 
	"Language" "portuguese" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"de vida"					// $health
		"dota_ability_variable_mana"				"de mana"						// $mana
		"dota_ability_variable_armor"				"de armadura"						// $armor
		"dota_ability_variable_damage"				"de dano"					// $damage
		"dota_ability_variable_str"					"de Força"					// $str
		"dota_ability_variable_int"					"de Inteligência"				// $int
		"dota_ability_variable_agi"					"de Agilidade"					// $agi
		"dota_ability_variable_all"					"a todos os atributos"			// $all
		"dota_ability_variable_primary_attribute"	"ao atributo principal"			// $primary_attribute
		"dota_ability_variable_attack"				"de rapidez de ataque"				// $attack
		"dota_ability_variable_attack_pct"			"de rapidez de ataque base"	// $attack_pct
		"dota_ability_variable_hp_regen"			"de regeneração de vida"		// $hp_regen
		"dota_ability_variable_lifesteal"			"de roubo de vida"					// $lifesteal
		"dota_ability_variable_mana_regen"			"de regeneração de mana"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"de regeneração de mana (aura)"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"de dano de feitiços"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"à duração de debuffs"			// $debuff_amp
		"dota_ability_variable_move_speed"			"de rapidez de movimento"			// $move_speed
		"dota_ability_variable_evasion"				"de evasão"					// $evasion
		"dota_ability_variable_spell_resist"		"de resistência a magia"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"de roubo de vida por habilidades"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_creep"	"de roubo de vida por habilidades (creeps)"	// $spell_lifesteal_creep
		"dota_ability_variable_spell_lifesteal_hero"	"de roubo de vida por habilidades (heróis)"	// $spell_lifesteal_hero
		"dota_ability_variable_selected_attrib"		"ao atributo selecionado"		// $selected_attribute
		"dota_ability_variable_attack_range"		"de alcance de ataque <font color='#7d7d7d'>(Só à distância)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"de alcance de ataque <font color='#7d7d7d'>(Só corpo a corpo)</font>"	// $attack_range_melee
		"dota_ability_variable_cast_range"			"de alcance de uso"				// $cast_range
		"dota_ability_variable_status_resist"		"de resistência a debuffs"			// $status_resist
		"dota_ability_variable_projectile_speed"	"à rapidez dos projéteis"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"de redução dos custos de mana"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"de redução de cooldowns"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"de mana máxima"			// $max_mana_percentage
		"dota_ability_variable_slow_resistance"		"de resist. a abrandamentos"			// $slow_resistance
		"dota_ability_variable_aoe_bonus"			"de área de efeito adicional"					// $aoe_bonus

		"DOTA_Tooltip_ability_forged_spirit_melting_strike_armor_removed"			"ARMADURA REMOVIDA POR GOLPE:"
		"DOTA_Tooltip_ability_forged_spirit_melting_strike_max_armor_removed"		"MÁX. DE ACUMULAÇÕES:"
		"DOTA_Tooltip_ability_forged_spirit_melting_strike_duration"				"DURAÇÃO:"
		"DOTA_Tooltip_ability_invoker_ice_wall"										"Ice Wall"
		"DOTA_Tooltip_ability_invoker_ice_wall_Description"							"Gera um muro de gelo sólido diretamente à frente de Invoker cuja duração é baseada no nível de <font color='#7998b5'>Quas</font>. O frio implacável que emana do muro causa um enorme abrandamento a inimigos por perto com base no nível de <font color='#7998b5'>Quas</font> e causa dano a cada segundo com base no nível de <font color='#cabe68'>Exort</font>."
		"DOTA_Tooltip_ability_invoker_ice_wall_shard_description"					"Permite que Ice Wall seja usado ao clicar e arrastar para indicar a direção da barreira e faz com que tenha um alcance de uso de 1100. Adiciona 320 unidades ao comprimento da barreira."
		"DOTA_Tooltip_ability_invoker_ice_wall_Lore"								"Muro Mortífero de Koryx."		
		"DOTA_Tooltip_ability_invoker_ice_wall_duration"							"DURAÇÃO DO MURO (<font color='#7998b5'>QUAS</font>):\n"		
		"DOTA_Tooltip_ability_invoker_ice_wall_slow"								"%ABRANDAMENTO (<font color='#7998b5'>QUAS</font>):\n"
		"DOTA_Tooltip_ability_invoker_ice_wall_slow_duration"						"DURAÇÃO DO ABRANDAMENTO:"	
		"DOTA_Tooltip_ability_invoker_ice_wall_damage_per_second"					"DANO POR SEGUNDO (<font color='#cabe68'>EXORT</font>):\n"		
		"DOTA_Tooltip_ability_invoker_deafening_blast"								"Deafening Blast"
		"DOTA_Tooltip_ability_invoker_deafening_blast_Description"					"Invoker solta uma onda sónica à sua frente, causando dano, com base no nível de <font color='#cabe68'>Exort</font>, a qualquer unidade inimiga com quem colidir. O grande impacto da explosão é suficiente para empurrar as unidades inimigas para trás por uma duração baseada no nível de <font color='#7998b5'>Quas</font>, e depois desarma os seus ataques por uma duração baseada no nível de <font color='#d671a9'>Wex</font>."
        "DOTA_Tooltip_ability_invoker_deafening_blast_Lore"							"Incapacitador Aureal de Buluphont."
		"DOTA_Tooltip_ability_invoker_deafening_blast_travel_distance"				"DISTÂNCIA PERCORRIDA:"
		"DOTA_Tooltip_ability_invoker_deafening_blast_damage"						"DANO (<font color='#cabe68'>EXORT</font>):\n"
		"DOTA_Tooltip_ability_invoker_deafening_blast_knockback_duration"			"DURAÇÃO DO EMPURRÃO (<font color='#7998b5'>QUAS</font>):\n"
		"DOTA_Tooltip_ability_invoker_deafening_blast_disarm_duration"				"DURAÇÃO DO DESARME (<font color='#d671a9'>WEX</font>):\n"

		"DOTA_Tooltip_modifier_invoker_quas_instance"							"Quas"
		"DOTA_Tooltip_modifier_invoker_quas_instance_Description"				"A conceder um valor fixo de roubo de vida."
		"DOTA_Tooltip_modifier_invoker_quas_instance_Description_facet_invoker_agnostic"	"Permite a manipulação dos elementos do gelo."
		"DOTA_Tooltip_modifier_invoker_wex_instance"							"Wex"
		"DOTA_Tooltip_modifier_invoker_wex_instance_Description"				"Rapidez de movimento aumentada em %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_invoker_wex_instance_Description_facet_invoker_agnostic"		"Permite a manipulação dos elementos da tempestade."

		"DOTA_Tooltip_modifier_invoker_exort_instance"							"Exort"
		"DOTA_Tooltip_modifier_invoker_exort_instance_Description"				"Os ataques aplicam um debuff que aumenta o dano sofrido por feitiços."
		"DOTA_Tooltip_modifier_invoker_exort_instance_Description_facet_invoker_agnostic"	"Permite a manipulação dos elementos do fogo."
		"DOTA_Tooltip_modifier_invoker_cold_snap"								"Cold Snap"
		"DOTA_Tooltip_modifier_invoker_cold_snap_Description"					"Quando atacado, receberá dano adicional e ficará congelado temporariamente."
		"DOTA_Tooltip_modifier_invoker_ghost_walk_self"							"Ghost Walk"
		"DOTA_Tooltip_modifier_invoker_ghost_walk_self_Description"				"Invisível. Rapidez de movimento alterada em %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. A abrandar inimigos por perto, a ganhar %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% de regeneração de vida e %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% de regeneração de mana."
		"DOTA_Tooltip_modifier_invoker_ghost_walk_enemy"						"Ghost Walk"
		"DOTA_Tooltip_modifier_invoker_ghost_walk_enemy_Description"			"Perto de um fantasma! Rapidez de movimento reduzida em %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_invoker_tornado"									"Tornado"
		"DOTA_Tooltip_modifier_invoker_tornado_Description"						"Levado ao ar por um tornado. Invulnerável mas não pode agir. Irá levar dano ao aterrar."
		"DOTA_Tooltip_modifier_invoker_alacrity"								"Alacrity"
		"DOTA_Tooltip_modifier_invoker_alacrity_Description"					"Rapidez de ataque aumentada em %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT% e dano aumentado em %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%."
		"DOTA_Tooltip_modifier_invoker_chaos_meteor_burn"						"Queimadura do Chaos Meteor"
		"DOTA_Tooltip_modifier_invoker_chaos_meteor_burn_Description"			"A receber dano a cada segundo."
		"DOTA_Tooltip_modifier_invoker_ice_wall_slow_debuff"					"Ice Wall"
		"DOTA_Tooltip_modifier_invoker_ice_wall_slow_debuff_Description"		"Abrandado pelo muro de gelo."
		"DOTA_Tooltip_modifier_invoker_deafening_blast_knockback"				"Empurrão de Deafening Blast"
		"DOTA_Tooltip_modifier_invoker_deafening_blast_knockback_Description"	"A cambalear devido à explosão ensurdecedora."
		"DOTA_Tooltip_modifier_invoker_deafening_blast_disarm"					"Desarmamento de Deafening Blast"
		"DOTA_Tooltip_modifier_invoker_deafening_blast_disarm_Description"		"Impossível atacar."
		"DOTA_Tooltip_modifier_forged_spirit_melting_strike_debuff"				"Melting Strike"
		"DOTA_Tooltip_modifier_forged_spirit_melting_strike_debuff_Description"	"Armadura reduzida em %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		"DOTA_Tooltip_modifier_invoker_emp_pull"								"E.M.P."
		"DOTA_Tooltip_modifier_invoker_emp_pull_Description"					"A ser puxado para o centro da detonação do E.M.P."
		"DOTA_Tooltip_modifier_invoker_magic_amp_debuff"						"Exort"
		"DOTA_Tooltip_modifier_invoker_magic_amp_debuff_Description"			"A sofrer mais dano de feitiços."

		// AD version of invoker abilities
		"DOTA_Tooltip_ability_invoker_cold_snap_ad"								"Cold Snap (SH)"
		"DOTA_Tooltip_ability_invoker_cold_snap_ad_Description"					"Invoker extrai o calor de um inimigo, congelando-o da cabeça aos pés durante um certo período. O inimigo sofre dano e fica congelado por breves momentos. Se o inimigo sofrer dano durante este estado, ele será congelado novamente e será causado dano adicional. O inimigo só pode ser congelado com uma certa frequência, mas o intervalo entre congelamentos diminui de acordo com o nível."
		"DOTA_Tooltip_ability_invoker_cold_snap_ad_Lore"						"Arrepio Prolongado de Sadron."
		"DOTA_Tooltip_ability_invoker_cold_snap_ad_Note0"						"O atordoamento congelante só é ativado em dano maior do que %damage_trigger%, após todas as reduções."
		"DOTA_Tooltip_ability_invoker_cold_snap_ad_duration"					"DURAÇÃO DE COLD SNAP:\n"
		"DOTA_Tooltip_ability_invoker_cold_snap_ad_freeze_duration"				"DURAÇÃO DO CONGELAMENTO:"
		"DOTA_Tooltip_ability_invoker_cold_snap_ad_freeze_damage"				"DANO DO CONGELAMENTO:"
		"DOTA_Tooltip_ability_invoker_cold_snap_ad_freeze_cooldown"				"INTERVALO ENTRE CONGELAMENTOS:"
		"DOTA_Tooltip_ability_invoker_ghost_walk_ad"							"Ghost Walk (SH)"
		"DOTA_Tooltip_ability_invoker_ghost_walk_ad_Description"				"Invoker manipula o gelo e energias elétricas à sua volta, tornando o seu corpo invisível. O desequilíbrio elemental resultante abranda inimigos próximos e também abranda o Invoker com base no nível."
		"DOTA_Tooltip_ability_invoker_ghost_walk_ad_Lore"						"Espectro-Impedidor de Myrault."
		"DOTA_Tooltip_ability_invoker_ghost_walk_ad_Note0"						"O efeito abrandante não funciona em inimigos imunes a debuffs."
		"DOTA_Tooltip_ability_invoker_ghost_walk_ad_self_slow"					"%RAPIDEZ DO INVOKER:\n"
		"DOTA_Tooltip_ability_invoker_ghost_walk_ad_duration"					"DURAÇÃO:"
		"DOTA_Tooltip_ability_invoker_ghost_walk_ad_area_of_effect"				"RAIO:"
		"DOTA_Tooltip_ability_invoker_ghost_walk_ad_enemy_slow"					"%ABRANDAMENTO EM INIMIGOS:\n"
		"DOTA_Tooltip_ability_invoker_tornado_ad"								"Tornado (SH)"
		"DOTA_Tooltip_ability_invoker_tornado_ad_Description"					"Cria um tornado que se desloca rapidamente e apanha unidades inimigas no seu caminho, suspendendo-as desamparadamente no ar por breves momentos antes de se despenharem. Viaja mais longe e suspende inimigos no ar numa duração com base no nível.\n\nTIPO DE DISSIPAÇÃO (DISPEL): Básico"
		"DOTA_Tooltip_ability_invoker_tornado_ad_Lore"							"Garras de Tornarus."
		"DOTA_Tooltip_ability_invoker_tornado_ad_Note0"							"As unidades são invulneráveis enquanto estiverem afetadas pelo Tornado e o dano é causado quando aterrarem."
		"DOTA_Tooltip_ability_invoker_tornado_ad_travel_distance"				"DISTÂNCIA PERCORRIDA:\n"
		"DOTA_Tooltip_ability_invoker_tornado_ad_area_of_effect"				"RAIO:"
		"DOTA_Tooltip_ability_invoker_tornado_ad_lift_duration"					"TEMPO DE SUSPENSÃO:\n"
		"DOTA_Tooltip_ability_invoker_tornado_ad_base_damage"					"DANO BASE:"
		"DOTA_Tooltip_ability_invoker_tornado_ad_wex_damage"					"DANO ADICIONAL:"
		"DOTA_Tooltip_ability_invoker_emp_ad"									"E.M.P. (SH)"
		"DOTA_Tooltip_ability_invoker_emp_ad_Description"						"Invoker carrega energia eletromagnética numa localização selecionada que se detona automaticamente depois de %delay% segundos. A detonação cobre uma área, drenando mana. Causa dano por cada ponto de mana drenado. Se EMP drenar mana de um herói inimigo, o Invoker ganha 50% da mana drenada."
		"DOTA_Tooltip_ability_invoker_emp_ad_Lore"								"Perturbação Malevolente de Endoleon."
		"DOTA_Tooltip_ability_invoker_emp_ad_Note0"								"Não irá afetar unidades levadas por ciclones (Tornado ou Eul's Scepter of Divinity)."
		"DOTA_Tooltip_ability_invoker_emp_ad_delay"								"TEMPO A CARREGAR:"
		"DOTA_Tooltip_ability_invoker_emp_ad_area_of_effect"					"RAIO:"
		"DOTA_Tooltip_ability_invoker_emp_ad_mana_burned"						"MÁX. DE MANA RETIRADA:\n"
		"DOTA_Tooltip_ability_invoker_emp_ad_damage_per_mana_pct"				"%DANO POR MANA RETIRADA:"
		"DOTA_Tooltip_ability_invoker_emp_ad_shard_description"					"Aumenta o dano por cada ponto de mana drenado por EMP e puxa inimigos para o centro da detonação a uma velocidade de %shard_drag_speed% unidades por segundo."
		"DOTA_Tooltip_ability_invoker_alacrity_ad"								"Alacrity (SH)"
		"DOTA_Tooltip_ability_invoker_alacrity_ad_Description"					"Invoker infunde um aliado com uma imensa onda de energia, aumentando a sua rapidez de ataque e o seu dano."
		"DOTA_Tooltip_ability_invoker_alacrity_ad_Lore"							"Mandato de Conflito Impetuoso de Gaster."
		"DOTA_Tooltip_ability_invoker_alacrity_ad_bonus_attack_speed"			"BÓNUS DE RAPIDEZ DE ATAQUE:\n"
		"DOTA_Tooltip_ability_invoker_alacrity_ad_bonus_damage"					"BÓNUS DE DANO:\n"
		"DOTA_Tooltip_ability_invoker_alacrity_ad_duration"						"DURAÇÃO:"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad"							"Chaos Meteor (SH)"		
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_Description"				"Invoker invoca um meteoro flamejante do espaço e atira-o para a posição alvo. Ao aterrar, o meteoro rola para a frente, constantemente causando dano com base no nível. Unidades atingidas pelo meteoro também se irão incendiar durante um curto período."
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_Lore"						"Chuva de Chamas de Tarak."
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_Note0"					"Causa mais dano às unidades inimigas por baixo do meteoro a cada %damage_interval% segundos e queima inimigos, causando uma quantidade menor de dano durante %burn_duration% segundos."
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_Note1"					"O meteoro desloca-se a uma velocidade de %travel_speed%."
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_land_time"				"TEMPO DO IMPACTO:"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_area_of_effect"			"RAIO:"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_travel_distance"			"DISTÂNCIA PERCORRIDA:\n"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_main_damage"				"DANO DE IMPACTO:\n"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_damage_interval"			"INTERVALO DE DANO:"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_burn_duration"			"DURAÇÃO DE QUEIMADURA:"
		"DOTA_Tooltip_ability_invoker_chaos_meteor_ad_burn_dps"					"DANO DE QUEIMADURA POR SEGUNDO:\n"
		"DOTA_Tooltip_ability_invoker_sun_strike_ad"							"Sun Strike (SH)"
		"DOTA_Tooltip_ability_invoker_sun_strike_ad_Description"				"Lança um raio catastrófico de energia ardente do sol para o local selecionado, incinerando todos os inimigos que estejam na área assim que o raio atingir o solo. O dano é dividido igualmente por todos os inimigos atingidos."
		"DOTA_Tooltip_ability_invoker_sun_strike_ad_Lore"						"Encantação de Incineração de Harlek."
		"DOTA_Tooltip_ability_invoker_sun_strike_ad_Note0"						"Concede visão sobre a área selecionada antes do ataque."
		"DOTA_Tooltip_ability_invoker_sun_strike_ad_Note1"						"O utilizador ganha experiência com mortes causadas por Sun Strike, mesmo se ocorrerem fora da área de atribuição de experiência."
		"DOTA_Tooltip_ability_invoker_sun_strike_ad_area_of_effect"				"RAIO:"
		"DOTA_Tooltip_ability_invoker_sun_strike_ad_delay"						"ATRASO:"
		"DOTA_Tooltip_ability_invoker_sun_strike_ad_damage"						"DANO:\n"
		"DOTA_Tooltip_ability_invoker_sun_strike_ad_scepter_description"		"Quando Sun Strike é selecionado duas vezes em rápida sucessão, cria %cataclysm_count% raios visíveis dentro de %cataclysm_min_range%-%cataclysm_max_range% de alcance entre cada herói inimigo. Cooldown: %cataclysm_cooldown% segundos."
		"DOTA_Tooltip_ability_invoker_forge_spirit_ad"							"Forge Spirit (SH)"
		"DOTA_Tooltip_ability_invoker_forge_spirit_ad_Description"				"Invoker forja um espírito que incorpora a força do fogo e a fortitude do gelo. O ataque ardente do espírito é capaz de derreter a armadura de heróis inimigos."
		"DOTA_Tooltip_ability_invoker_forge_spirit_ad_Lore"						"Criações Mais Astutas de Culween."
		"DOTA_Tooltip_ability_invoker_forge_spirit_ad_Note0"					"Usar esta habilidade irá substituir espíritos já invocados pela habilidade Forged Spirit."
		"DOTA_Tooltip_ability_invoker_forge_spirit_ad_spirit_damage"			"DANO:\n"
		"DOTA_Tooltip_ability_invoker_forge_spirit_ad_spirit_mana"				"MANA:\n"
		"DOTA_Tooltip_ability_invoker_forge_spirit_ad_spirit_armor"				"ARMADURA:\n"
		"DOTA_Tooltip_ability_invoker_forge_spirit_ad_spirit_attack_range"		"ALCANCE DE ATAQUE:\n"
		"DOTA_Tooltip_ability_invoker_forge_spirit_ad_spirit_hp"				"VIDA:\n"
		"DOTA_Tooltip_ability_invoker_forge_spirit_ad_spirit_duration"			"DURAÇÃO:\n"
		"DOTA_Tooltip_ability_invoker_ice_wall_ad"								"Ice Wall (SH)"
		"DOTA_Tooltip_ability_invoker_ice_wall_ad_Description"					"Gera um muro de gelo sólido diretamente à frente de Invoker durante algum tempo. O frio implacável que emana do muro causa um enorme abrandamento a inimigos por perto e causa dano a cada segundo."
		"DOTA_Tooltip_ability_invoker_ice_wall_ad_Lore"							"Muro Mortífero de Koryx."
		"DOTA_Tooltip_ability_invoker_ice_wall_ad_Note0"						"O abrandamento irá afetar unidades imunes a debuffs se a sua imunidade for criada após terem sido afetados por Ice Wall."
		"DOTA_Tooltip_ability_invoker_ice_wall_ad_duration"						"DURAÇÃO DO MURO:\n"		
		"DOTA_Tooltip_ability_invoker_ice_wall_ad_slow"							"%ABRANDAMENTO (MOVIMENTO):\n"
		"DOTA_Tooltip_ability_invoker_ice_wall_ad_slow_duration"				"DURAÇÃO DO ABRANDAMENTO:"	
		"DOTA_Tooltip_ability_invoker_ice_wall_ad_damage_per_second"			"DANO POR SEGUNDO:\n"		
		"DOTA_Tooltip_ability_invoker_deafening_blast_ad"						"Deafening Blast"
		"DOTA_Tooltip_ability_invoker_deafening_blast_ad_Description"			"Invoker solta uma onda sónica à sua frente, causando dano a qualquer unidade inimiga com quem colidir. O grande impacto da explosão é suficiente para empurrar as unidades inimigas para trás e depois desarma os seus ataques por breves momentos."
		"DOTA_Tooltip_ability_invoker_deafening_blast_ad_Lore"					"Incapacitador Aureal de Buluphont."
		"DOTA_Tooltip_ability_invoker_deafening_blast_ad_travel_distance"		"DISTÂNCIA PERCORRIDA:"
		"DOTA_Tooltip_ability_invoker_deafening_blast_ad_damage"				"DANO:\n"
		"DOTA_Tooltip_ability_invoker_deafening_blast_ad_knockback_duration"	"DURAÇÃO DO EMPURRÃO:\n"
		"DOTA_Tooltip_ability_invoker_deafening_blast_ad_disarm_duration"		"DURAÇÃO DO DESARME:\n"
		"DOTA_Tooltip_ability_invoker_mastermind"						"Mastermind"
		"DOTA_Tooltip_ability_invoker_mastermind_Description"			"Quando o Invoker nega um creep da lane, ele recebe %xp_on_deny_percent%%% do XP."

		//Silencer
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent"							"Arcane Curse"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_Lore"					"A falta de encantações de Nortrom é um problema mais pequeno para ele do que para os seus adversários."				
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_Description"				"Amaldiçoa a área selecionada, fazendo com que os heróis inimigos sofram dano ao longo do tempo e tenham menos rapidez de movimento. Se um alvo usar uma habilidade, este será silenciado por breves momentos. A duração é pausada enquanto o alvo estiver silenciado."
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_Note0"				    "Afeta creeps."
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_Note1"				    "A primeira instância de dano é causada de imediato."
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_damage"			        "DANO:"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_duration"				"DURAÇÃO BASE:"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_silence_duration"				"DURAÇÃO DO SILÊNCIO:"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_radius"					"RAIO:"
		"DOTA_Tooltip_ability_silencer_curse_of_the_silent_movespeed"				"%ABRANDAMENTO (MOVIMENTO):"
		

		"DOTA_Tooltip_Facet_silencer_irrepressible"					"Irrepressible"
		"DOTA_Tooltip_Facet_silencer_irrepressible_Description"		"Silencer não pode ser silenciado."
		"DOTA_Tooltip_Facet_silencer_reverberating_silence"						"Reverberating Silence"		
		"DOTA_Tooltip_Facet_silencer_reverberating_silence_Description"						"Quando Global Silence termina numa unidade pela primeira vez, os efeitos são aplicados novamente."


		"DOTA_Tooltip_ability_silencer_brain_drain"							"Brain Drain"
		"DOTA_Tooltip_ability_silencer_brain_drain_Description"				"Sempre que o Silencer matar um herói inimigo, ele rouba permanentemente %permanent_int_steal_amount% de Inteligência."
		"DOTA_Tooltip_ability_silencer_brain_drain_shard_Description"		"Aumenta em %permanent_int_steal_amount% a Inteligência roubada por vítima."		 
		"DOTA_Tooltip_ability_silencer_brain_drain_Note0"					"Para roubar Inteligência permanentemente, o Silencer não precisa de desferir o golpe final, desde que o herói inimigo tenha sido morto a menos de %permanent_int_steal_range% de alcance do Silencer ou tenha estado afetado por um debuff do Silencer no momento da morte."

		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom"							"Glaives of Wisdom"
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_Lore"						"Embora lhe faltem as encantações tradicionais, a linhagem de Nortrom dos Aeol Drias dá-lhe sabedoria misteriosa, a qual ele aplica em combate físico."
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_Description"				"Silencer encanta as suas armas com sabedoria, roubando a Inteligência do seu alvo com cada golpe e causando dano adicional com base na sua Inteligência. Após %stacks_for_silence% ataques no mesmo inimigo, este será silenciado durante %silence_duration%s."
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_Note0"						"Cada acumulação desaparece após %debuff_linger_duration% segundos."
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_Note1"						"Acumulações não podem ser ganhas enquanto o silêncio de Glaives of Wisdom estiver ativo."
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_shard_description"			"Aumenta a quantidade de Inteligência roubada por golpe e a duração do roubo."
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_intellect_damage_pct"		"%INTELIGÊNCIA PARA DANO:"
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_int_steal"					"ROUBO DE INTELIGÊNCIA:"
		"DOTA_Tooltip_ability_silencer_glaives_of_wisdom_int_steal_duration"		"DURAÇÃO DO ROUBO DE INT.:"
		"DOTA_Tooltip_ability_silencer_last_word"									"Last Word"
		"DOTA_Tooltip_ability_silencer_last_word_Lore"								"Nortrom assegura-se que feitiços proferidos pelos seus oponentes serão os seus últimos."
		"DOTA_Tooltip_ability_silencer_last_word_Description"						"Inimigos a menos de %radius% de alcance do Silencer são abrandados e sofrem dano a cada segundo por cada instância de silêncio que tiverem."
		"DOTA_Tooltip_ability_silencer_last_word_damage_per_silence"				"DANO POR SILÊNCIO:"
		"DOTA_Tooltip_ability_silencer_last_word_slow_per_silence"					"%ABRANDAMENTO POR SILÊNCIO:"
		"DOTA_Tooltip_ability_silencer_global_silence"								"Global Silence"
		"DOTA_Tooltip_ability_silencer_global_silence_Lore"							"Com um choque no chão, toda a magia e som pausam, e Nortrom cumpre a sua profecia."
		"DOTA_Tooltip_ability_silencer_global_silence_Description"					"Silencer pára todo o som, impedindo heróis e unidades inimigas no mapa de usar habilidades."
		"DOTA_Tooltip_ability_silencer_global_silence_scepter_Description"			"Global Silence aplica os efeitos da habilidade Arcane Curse a heróis."
		"DOTA_Tooltip_ability_silencer_global_silence_Facet_silencer_reverberating_silence"	"Quando Global Silence termina numa unidade pela primeira vez, os efeitos são aplicados novamente."
		"DOTA_Tooltip_ability_silencer_global_silence_Note0"						"Esta habilidade funciona em unidades invisíveis e com imunidade a debuffs, mas ganhar o efeito de imunidade a debuffs irá remover este efeito."
		"DOTA_Tooltip_ability_silencer_global_silence_abilityduration"				"DURAÇÃO:"
		"DOTA_Tooltip_ability_silencer_global_silence_first_duration"				"PRIMEIRA DURAÇÃO:"
		"DOTA_Tooltip_ability_silencer_global_silence_second_duration"				"SEGUNDA DURAÇÃO:"

		"DOTA_Tooltip_modifier_silencer_curse_of_the_silent"				"Arcane Curse	"
		"DOTA_Tooltip_modifier_silencer_curse_of_the_silent_Description"	"A sofrer dano. Rapidez de movimento reduzida em %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. A duração aumenta ao usar uma habilidade."
		"DOTA_Tooltip_modifier_silencer_last_word"							"Last Word"
		"DOTA_Tooltip_modifier_silencer_last_word_Description"				"Esta unidade receberá dano e será silenciada se a duração do feitiço terminar ou se usar uma habilidade."
		"DOTA_Tooltip_modifier_silencer_last_word_disarm"					"Silenciado"
		"DOTA_Tooltip_modifier_silencer_last_word_disarm_Description"		"Silenciado"
		"DOTA_Tooltip_modifier_silencer_last_word_aura"						"Roubo de Last Word"
		"DOTA_Tooltip_modifier_silencer_last_word_aura_Description"			"Total de inteligência roubada"
		"DOTA_Tooltip_modifier_silencer_last_word_silence_checker"			"Last Word"
		"DOTA_Tooltip_modifier_silencer_last_word_silence_checker_Description"		"Abrandado em %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. A sofrer %dMODIFIER_PROPERTY_TOOLTIP% de dano por segundo."
		"DOTA_Tooltip_modifier_silencer_glaives_of_wisdom_buff_counter"		"Glaives of Wisdom"
		"DOTA_Tooltip_modifier_silencer_glaives_of_wisdom_buff_counter_Description"		"A roubar Inteligência temporariamente"
		"DOTA_Tooltip_modifier_silencer_glaives_of_wisdom_silence_debuff_counter"				"Glaives of Wisdom"
		"DOTA_Tooltip_modifier_silencer_glaives_of_wisdom_silence_debuff_counter_Description"	"Ataques certeiros do Silencer."
		"DOTA_Tooltip_modifier_silencer_glaives_of_wisdom_debuff_bonus"							"Glaives of Wisdom"
		"DOTA_Tooltip_modifier_silencer_glaives_of_wisdom_debuff_bonus_Description"				"Silenciado."
